('https://image1.ljcdn.com/210100-inspection/91925fd1-4c5c-4156-aa19-5bfdf4ebed4f.JPG.296x216.jpg', '金域蓝湾，小高层精装修，双南双北四室两厅', '万科金域蓝湾  | 4室2厅 | 176.47平米 | 南 北 | 精装', '中楼层(共11层)2009年建板楼  -  浑南新区', '290万', '单价16434元/平米')
('https://image1.ljcdn.com/210100-inspection/fb42fb3b-ea3e-41c6-a976-2e185258b161.jpg.296x216.jpg', '月星 3室2厅 74万', '月星  | 3室2厅 | 79.61平米 | 南 北 | 精装', '低楼层(共31层)板楼  -  浑南新区', '74万', '单价9296元/平米')
('https://image1.ljcdn.com/210100-inspection/28ffe169-c86e-444b-983d-aeca8f85c598.JPG.296x216.jpg', '建大商圈 恒大江湾 精装3室 中间楼层', '恒大江湾  | 3室2厅 | 121.25平米 | 南 北 | 精装', '高楼层(共24层)2017年建板楼  -  浑南新区', '110万', '单价9073元/平米')
('https://image1.ljcdn.com/210100-inspection/b633c61f-80c1-4400-a0a6-5d7855b0684b.JPG.296x216.jpg', '浑南区 浑南中路 奥体 坤泰新界', '坤泰新界  | 3室2厅 | 140.68平米 | 东南 | 精装', '中楼层(共30层)2009年建板楼  -  浑南新区', '135万', '单价9597元/平米')
('https://image1.ljcdn.com/210100-inspection/be068c57-4abe-4694-a709-d8598481d34b.jpg.296x216.jpg', '雍华御景 82平60万 清水 送阁楼 南北通透 标准户型', '雍华御景  | 2室1厅 | 82平米 | 南 北 | 毛坯', '高楼层(共6层)2015年建板楼  -  浑南新区', '60万', '单价7318元/平米')
('https://image1.ljcdn.com/210100-inspection/e30bad17-272b-4489-b595-9221c8318c6f.jpg.296x216.jpg', '金地锦城西区 3室2厅 215万', '金地锦城西区  | 3室2厅 | 129.36平米 | 南 北 | 精装', '中楼层(共6层)2015年建板楼  -  浑南新区', '215万', '单价16621元/平米')
('https://image1.ljcdn.com/210100-inspection/64015334-5c5d-4f94-8ceb-5190be55b574.jpg.296x216.jpg', '首创光和城 2室2厅 70万', '首创光和城  | 2室2厅 | 79.87平米 | 南 | 毛坯', '高楼层(共34层)2017年建板楼  -  浑南新区', '70万', '单价8765元/平米')
('https://image1.ljcdn.com/210100-inspection/261c7f22-d1c3-4bbc-946c-2182190fb3cd.jpg.296x216.jpg', '保利达江湾城二期 精装修 全屋实木橱柜', '保利达江湾城二期  | 4室1厅 | 167平米 | 南 北 | 其他', '低楼层(共31层)2015年建板楼  -  浑南新区', '248万', '单价14851元/平米')
('https://image1.ljcdn.com/210100-inspection/824e4b64-2e2e-46d8-84af-2c4134fa66d2.JPG.296x216.jpg', '浑南  奥体 精装一室   装修保持的很好', '名流印象四期  | 1室1厅 | 63.97平米 | 东南 | 其他', '高楼层(共33层)2012年建板楼  -  浑南新区', '76万', '单价11881元/平米')
('https://image1.ljcdn.com/210100-inspection/86f9ce0a-3f4c-43c2-ac92-eb05df94d5d5.jpg.296x216.jpg', '百荷湾 2室婚装 68.95平 南向采光好 随时看房 楼层好', '百荷湾  | 2室2厅 | 68.95平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  浑南新区', '61万', '单价8847元/平米')
('https://image1.ljcdn.com/210100-inspection/c382b584-705a-41da-bbdd-ad7e835f693e.JPG.296x216.jpg', '浑南新区  奥体商圈 万科金域蓝湾 标准大三室 精装修', '万科金域蓝湾  | 3室2厅 | 143.49平米 | 南 北 | 精装', '低楼层(共29层)2009年建板楼  -  浑南新区', '260万', '单价18120元/平米')
('https://image1.ljcdn.com/210100-inspection/09bda84d-ccb2-4967-b1af-bedf02f9f726.JPG.296x216.jpg', '浑南奥体   金水花城   楼层高  采光充足', '金水花城二期  | 2室2厅 | 94.48平米 | 南 | 其他', '高楼层(共12层)2004年建板楼  -  浑南新区', '115万', '单价12172元/平米')
('https://image1.ljcdn.com/210100-inspection/aba22001-1215-405b-97b4-dc8fcb7d03f6.jpg.296x216.jpg', '荣盛爱家郦都 3室2厅 186万', '荣盛爱家郦都  | 3室2厅 | 143.59平米 | 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  浑南新区', '186万', '单价12954元/平米')
('https://image1.ljcdn.com/210100-inspection/d5b23b51-5499-4974-b106-a397f7206495.JPG.296x216.jpg', '浑南新区  伊湾尊府 标准两居室 精装修', '伊湾尊府  | 2室2厅 | 108.8平米 | 南 北 | 其他', '中楼层(共15层)2010年建板楼  -  浑南新区', '106万', '单价9743元/平米')
('https://image1.ljcdn.com/210100-inspection/f53a85b7-fcec-448e-a07c-fea5b84c60b2.jpg.296x216.jpg', '首创光和城 3室2厅 110万', '首创光和城  | 3室2厅 | 96.28平米 | 南 北 | 其他', '高楼层(共33层)2017年建板楼  -  浑南新区', '110万', '单价11426元/平米')
('https://image1.ljcdn.com/210100-inspection/298b3b61-12fc-4b16-9d41-6c02d7442a85.jpg.296x216.jpg', '浑南奥体 世纪大厦 亚泰国际花园 南北通透 三室两卫', '亚泰国际花园  | 3室2厅 | 166.64平米 | 南 北 | 精装', '中楼层(共10层)2008年建板楼  -  浑南新区', '125万', '单价7502元/平米')
('https://image1.ljcdn.com/210100-inspection/fce3b5cb-57ae-4025-b00b-2930c4f99e3a.jpg.296x216.jpg', '卓越平方小区 1室1厅 47万', '卓越平方小区  | 1室1厅 | 68.7平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  浑南新区', '47万', '单价6842元/平米')
('https://image1.ljcdn.com/210100-inspection/1dc3ef65-6c90-4930-8bc3-b61a4cfa3cd9.JPG.296x216.jpg', '浑南奥体附  精装三室 南北通透 格局方正', '名流印象四期  | 3室2厅 | 138.42平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  浑南新区', '180万', '单价13004元/平米')
('https://image1.ljcdn.com/210100-inspection/4b08d408-b7b5-46db-99b4-942953519692.JPG.296x216.jpg', '浑河国际城 2室1厅 66万', '浑河国际城  | 2室1厅 | 77.6平米 | 南 北 | 简装', '中楼层(共6层)板楼  -  浑南新区', '66万', '单价8506元/平米')
('https://image1.ljcdn.com/210100-inspection/77f4b4b5-5c84-4ea3-86bb-b06e80f19f80.jpg.296x216.jpg', '万科新榆公馆 简单装修 低楼层急售', '万科新榆公馆  | 2室1厅 | 95.5平米 | 南 北 | 简装', '低楼层(共24层)板楼  -  浑南新区', '78万', '单价8168元/平米')
('https://image1.ljcdn.com/210100-inspection/f983436a-d1a0-4f17-9b01-4b7944551c25.jpg.296x216.jpg', '小石城郡原望庄，电梯洋房，精装三室，满二无大税', '郡原小石城  | 3室2厅 | 124.91平米 | 南 北 | 其他', '中楼层(共5层)2018年建板楼  -  浑南新区', '150万', '单价12009元/平米')
('https://image1.ljcdn.com/210100-inspection/bb08f117-b3af-4ea5-9dd4-fc60a3e6cbb9.jpg.296x216.jpg', '伊丽雅特湾三期 3室2厅 165万', '伊丽雅特湾三期  | 3室2厅 | 163平米 | 南 北 | 其他', '高楼层(共30层)2009年建板楼  -  浑南新区', '165万', '单价10123元/平米')
('https://image1.ljcdn.com/210100-inspection/30731718-754e-4c80-9f53-4201c2ae0a38.JPG.296x216.jpg', '奥体商圈 万科金域蓝湾  小高层 精装修 南北通透 四室', '万科金域蓝湾  | 4室2厅 | 187.97平米 | 南 北 | 精装', '低楼层(共29层)2009年建板楼  -  浑南新区', '303万', '单价16120元/平米')
('https://image1.ljcdn.com/210100-inspection/84e1dc9f-e207-498e-a14a-8dbd6b837f99.JPG.296x216.jpg', '浑南瑞宝国际三室南北通透采光充足', '瑞宝国际花苑  | 3室2厅 | 157.12平米 | 南 北 | 精装', '高楼层(共30层)2011年建板楼  -  浑南新区', '145万', '单价9229元/平米')
('https://image1.ljcdn.com/210100-inspection/94722552-afd8-4758-86e9-bd48e99fd000.jpg.296x216.jpg', '名流印象二期 3室2厅 140万', '名流印象二期  | 3室2厅 | 134平米 | 南 北 | 其他', '高楼层(共32层)2012年建板楼  -  浑南新区', '140万', '单价10448元/平米')
('https://image1.ljcdn.com/210100-inspection/45a7db96-70df-427e-8857-f9a1a4e68d6e.jpg.296x216.jpg', '浑南奥体 融城时代 精装三室 看房方便', '融城时代  | 3室2厅 | 115.9平米 | 东南 北 | 其他', '中楼层(共11层)2006年建板楼  -  浑南新区', '121万', '单价10441元/平米')
('https://image1.ljcdn.com/210100-inspection/17ff8e8a-2c56-476b-850e-ee77192826f1.jpg.296x216.jpg', '君海朗郡 2室1厅 54.5万', '君海朗郡  | 2室1厅 | 67.13平米 | 南 北 | 其他', '中楼层(共17层)暂无数据  -  浑南新区', '54.5万', '单价8119元/平米')
('https://image1.ljcdn.com/210100-inspection/9999d898-2c6f-4465-8d53-9395bb743cb9.JPG.296x216.jpg', '浑南新区 华发岭南荟 两室精装修', '华发岭南荟  | 2室2厅 | 88.11平米 | 南 北 | 精装', '中楼层(共24层)2013年建板楼  -  浑南新区', '115万', '单价13052元/平米')
('https://image1.ljcdn.com/210100-inspection/3c831dfd-b223-4b88-8fc3-af030a0cd51c.jpg.296x216.jpg', '浑南富城铭邸 精装现房房主包税 好楼层视野开阔', '富城铭邸  | 2室2厅 | 84.17平米 | 西南 | 其他', '高楼层(共30层)2013年建板楼  -  浑南新区', '79万', '单价9386元/平米')
('https://image1.ljcdn.com/210100-inspection/c124c733-c1ad-412c-b3e9-c41af32fc1b3.JPG.296x216.jpg', '浑南音乐学院 雍熙金园 双南户型 精装两室 拎包入住', '雍熙金园  | 2室1厅 | 89.78平米 | 南 | 简装', '低楼层(共11层)2007年建板楼  -  浑南新区', '80万', '单价8911元/平米')
('https://image1.ljcdn.com/210100-inspection/7160c4dc-6d07-4483-93a3-4395c3a91aa8.JPG.296x216.jpg', '浑南奥体营盘街世纪新城多层顶楼小公摊', '世纪新城  | 2室1厅 | 60平米 | 南 北 | 简装', '高楼层(共6层)2005年建板楼  -  浑南新区', '41万', '单价6834元/平米')
('https://image1.ljcdn.com/210100-inspection/b6fb4f04-d139-4cb6-8139-f01bc75ddde4.jpg.296x216.jpg', '房主诚心出售 金地锦城 南北通透 3室 毛坯 看房方便', '金地锦城西区  | 3室2厅 | 110.56平米 | 南 北 | 毛坯', '高楼层(共27层)2015年建板楼  -  浑南新区', '128万', '单价11578元/平米')
('https://image1.ljcdn.com/210100-inspection/89ff3b2e-8d17-4937-b806-311888033cb1.JPG.296x216.jpg', '浑南区奥体富民长青公园华润旁万科金域蓝湾小区装修好', '万科金域蓝湾  | 3室2厅 | 146.82平米 | 南 北 | 其他', '低楼层(共29层)2009年建板楼  -  浑南新区', '220万', '单价14985元/平米')
('https://image1.ljcdn.com/210100-inspection/c57ef190-c168-4f03-a2c3-29210a5e308d.jpg.296x216.jpg', '名流印象二期 2室2厅 115万', '名流印象二期  | 2室2厅 | 104.79平米 | 南 | 其他', '中楼层(共18层)2012年建板楼  -  浑南新区', '115万', '单价10975元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0df663de-2294-44c7-92e7-124793796b1c.JPG.296x216.jpg', '浑南音乐学院 在水一方东园南北通透两室 赠送15平米', '在水一方东园  | 2室1厅 | 73.72平米 | 南 北 | 简装', '高楼层(共6层)2003年建板楼  -  浑南新区', '54.5万', '单价7393元/平米')
('https://image1.ljcdn.com/210100-inspection/68fc0f0d-286a-40d8-8531-aa4716a01e02.JPG.296x216.jpg', '东亚国际城 精装两室 标准南北户型 采光好 格局好', '东亚国际城  | 2室2厅 | 107.57平米 | 南 北 | 精装', '高楼层(共28层)2010年建板塔结合  -  浑南新区', '97万', '单价9018元/平米')
('https://image1.ljcdn.com/210100-inspection/ecad96b9-3972-4bf4-8322-37bb5af78e08.JPG.296x216.jpg', '荣盛紫提东郡 2室2厅 60万', '荣盛紫提东郡  | 2室2厅 | 64.34平米 | 南 | 精装', '低楼层(共24层)暂无数据  -  浑南新区', '60万', '单价9326元/平米')
('https://image1.ljcdn.com/210100-inspection/23cfdfe7-a3d2-4406-ac88-97c99922b371.jpg.296x216.jpg', '长白商圈 格林英郡 一楼带花园带地下室', '格林英郡  | 6室2厅 | 106.61平米 | 南 北 | 精装', '低楼层(共11层)2004年建板楼  -  浑南新区', '182万', '单价17072元/平米')
('https://image1.ljcdn.com/210100-inspection/d0f2ca39-4bfb-4387-ac41-338b55ab3ee5.jpg.296x216.jpg', '南北通透格局 户型方正满五年无大税 交通便利', '盛天家苑  | 2室2厅 | 112.22平米 | 南 北 | 简装', '低楼层(共6层)2006年建板楼  -  浑南新区', '62万', '单价5525元/平米')
('https://image1.ljcdn.com/210100-inspection/7bcd24bd-7f6f-4eca-b2ee-a40c6dcf1f04.JPG.296x216.jpg', '浑南新区 金地国际花园 高楼层 采光好 视野佳南北通透', '金地国际花园  | 3室2厅 | 119.34平米 | 南 北 | 毛坯', '高楼层(共24层)2007年建板楼  -  浑南新区', '128万', '单价10726元/平米')
('https://image1.ljcdn.com/210100-inspection/25701668-2b7e-440f-a2ff-24833e5a7e20.JPG.296x216.jpg', '华润奉天九里，建筑大学旁，拎包即住，户型方正', '华润奉天九里  | 2室1厅 | 99.19平米 | 南 北 | 简装', '中楼层(共25层)2017年建板楼  -  浑南新区', '188万', '单价18954元/平米')
('https://image1.ljcdn.com/210100-inspection/1b7d0084-d0ec-4145-88af-0e1c53344769.jpg.296x216.jpg', '浑南新市府大开发商 旭辉御府 南北通透2室 送家电', '旭辉御府  | 2室2厅 | 67.81平米 | 南 北 | 其他', '低楼层(共33层)2017年建板楼  -  浑南新区', '80万', '单价11798元/平米')
('https://image1.ljcdn.com/210100-inspection/b4d527fd-7b29-4ee8-ad14-f01d8d08045a.JPG.296x216.jpg', '金地滨河国际左岸 三室 清水房 不临街 南北通透', '金地滨河国际·左岸  | 3室2厅 | 112平米 | 南 北 | 毛坯', '高楼层(共34层)2015年建板楼  -  浑南新区', '140万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/dc6f6e4b-c07d-4e26-8b93-0e461b537e4a.JPG.296x216.jpg', '金地长青湾天阅 中间楼层 湖景 视野开阔 随时看房', '金地长青湾·天阅  | 5室1厅 | 214.97平米 | 南 北 | 精装', '中楼层(共29层)2013年建板楼  -  浑南新区', '355万', '单价16514元/平米')
('https://image1.ljcdn.com/210100-inspection/16991d8a-5087-4073-8544-be9b8b6501bf.jpg.296x216.jpg', '南北通透户型二期精装修送家具家电采光好', 'SR国际新城  | 3室2厅 | 136.94平米 | 南 北 | 其他', '低楼层(共30层)2009年建塔楼  -  浑南新区', '139万', '单价10151元/平米')
('https://image1.ljcdn.com/210100-inspection/d71fbfb1-0cdc-4e27-89e9-c3242add6bb3.JPG.296x216.jpg', '全明户型，低楼层方便 一梯三户  不是南北', '郡原小石城  | 2室2厅 | 87.22平米 | 东北 | 其他', '低楼层(共31层)2018年建板楼  -  浑南新区', '63万', '单价7224元/平米')
('https://image1.ljcdn.com/210100-inspection/58e75d41-0a35-4251-becc-70eccbe49614.JPG.296x216.jpg', '浑南 奥体 精装修3室 中间楼层 采光好无遮挡', '正大江南水乡一期  | 3室2厅 | 140.77平米 | 南 北 | 精装', '低楼层(共32层)2008年建板楼  -  浑南新区', '135万', '单价9591元/平米')
('https://image1.ljcdn.com/210100-inspection/ae5e67ed-0faa-4b0a-acf7-830db0dd295a.JPG.296x216.jpg', '名流五期精装修两室 西朝向 看房提前预约', '名流印象五期  | 2室1厅 | 73.46平米 | 西 | 其他', '高楼层(共33层)2015年建板塔结合  -  浑南新区', '80万', '单价10891元/平米')
('https://image1.ljcdn.com/210100-inspection/ffdf32e9-6612-4d46-b378-74b966a836cd.JPG.296x216.jpg', '奥体建大  在水一方  精装修  视野开阔  楼层好', '在水一方西园  | 3室2厅 | 143平米 | 南 北 | 精装', '高楼层(共16层)2006年建板楼  -  浑南新区', '118万', '单价8252元/平米')
('https://image1.ljcdn.com/210100-inspection/b408953e-fd27-4ab0-9881-565f38ee0b5e.JPG.296x216.jpg', '金地长青湾清水河景房，楼层好，采光好。', '金地长青湾  | 4室2厅 | 180.61平米 | 南 北 | 其他', '中楼层(共26层)2011年建板楼  -  浑南新区', '245万', '单价13566元/平米')
('https://image1.ljcdn.com/210100-inspection/b6e5c26f-5e0e-480e-8c6b-cd77ac73a4bc.JPG.296x216.jpg', '正大江南水乡一期 3室2厅 135万', '正大江南水乡一期  | 3室2厅 | 134.66平米 | 南 北 | 其他', '高楼层(共18层)2008年建板楼  -  浑南新区', '135万', '单价10026元/平米')
('https://image1.ljcdn.com/210100-inspection/1beaec70-5408-4eb6-9138-7da3f6259f9a.JPG.296x216.jpg', '浑南建大 泰荣湾精装南北两室! 楼层好无遮挡', '泰荣湾  | 2室2厅 | 99.44平米 | 南 北 | 其他', '中楼层(共15层)2010年建板楼  -  浑南新区', '100万', '单价10057元/平米')
('https://image1.ljcdn.com/210100-inspection/7ff556f5-38ce-4100-b98f-77c9d45922d5.jpg.296x216.jpg', '小石城E区 带南向花园 地下室', '郡原小石城  | 3室2厅 | 87.36平米 | 南 北 | 其他', '低楼层(共33层)2018年建板楼  -  浑南新区', '95万', '单价10875元/平米')
('https://image1.ljcdn.com/210100-inspection/ab529bfd-6236-4e30-9801-159649eea3c1.jpg.296x216.jpg', '浑南 万科新榆公馆 精装修 带车库中间楼层', '万科新榆公馆  | 3室1厅 | 120平米 | 南 北 | 精装', '中楼层(共6层)2008年建板楼  -  浑南新区', '145万', '单价12084元/平米')
('https://image1.ljcdn.com/210100-inspection/94d4b4de-6d27-47ec-b681-0fef55da4dbf.jpg.296x216.jpg', '绿城全运村百合苑A区 满五年 南北通透 楼层高 视野好', '绿城沈阳全运村·百合苑A区  | 2室2厅 | 93.38平米 | 南 北 | 精装', '高楼层(共17层)2012年建板楼  -  浑南新区', '145万', '单价15528元/平米')
('https://image1.ljcdn.com/210100-inspection/edee8a5c-ae5f-4a12-9f12-561dff600257.JPG.296x216.jpg', '塞纳家园，南北两室，交通便利。', '塞纳家园  | 2室2厅 | 102.03平米 | 南 北 | 简装', '低楼层(共6层)2011年建板楼  -  浑南新区', '96万', '单价9409元/平米')
('https://image1.ljcdn.com/210100-inspection/bf71e622-41ad-4190-bb33-4031b9c1f548.jpg.296x216.jpg', '金水花城一期 3室2厅 135万', '金水花城一期  | 3室2厅 | 170.65平米 | 南 | 其他', '低楼层(共33层)2005年建塔楼  -  浑南新区', '135万', '单价7911元/平米')
('https://image1.ljcdn.com/210100-inspection/ed2d3a00-e0d8-488a-8413-a5994aeb1582.jpg.296x216.jpg', '万科新榆公馆 2室2厅 51万', '万科新榆公馆  | 2室2厅 | 53.87平米 | 西 | 其他', '高楼层(共12层)板楼  -  浑南新区', '51万', '单价9468元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadff6f2c92-5d52-40f4-9551-860b6434ab66.JPG.296x216.jpg', '万科明天广场 精装修 南北通透 小三室户型 采光好', '万科明天广场  | 3室2厅 | 98.89平米 | 南 北 | 精装', '低楼层(共34层)板楼  -  浑南新区', '140万', '单价14158元/平米')
('https://image1.ljcdn.com/210100-inspection/580211d8-a3f4-40fa-9fb1-de8eca5555f6.JPG.296x216.jpg', '浑南 奥体 瑞宝国际花苑 视野好 采光好 拎包即住', '瑞宝国际花苑  | 2室1厅 | 82平米 | 南 | 其他', '高楼层(共30层)2011年建板楼  -  浑南新区', '86万', '单价10488元/平米')
('https://image1.ljcdn.com/210100-inspection/901d4d6e-f6a5-4bb9-ac2d-70ae23b9412b.jpg.296x216.jpg', '阳光新嘉园 2室2厅 75万', '阳光新嘉园  | 2室2厅 | 101平米 | 南 | 其他', '中楼层(共7层)2003年建板楼  -  浑南新区', '75万', '单价7426元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3eaa7341-7ff2-4fc5-bf8f-acc0248bc861.JPG.296x216.jpg', '融城时代五室双卫复式 精装 拎包就住 采光足', '融城时代  | 5室2厅 | 272.75平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  浑南新区', '237万', '单价8690元/平米')
('https://image1.ljcdn.com/210100-inspection/d4c2f6eb-e120-4569-80f9-7ec7a480a627.jpg.296x216.jpg', '浑南首创光和城 南北户型 三室 装修 中间楼层 随时看', '首创光和城  | 3室2厅 | 96.29平米 | 南 北 | 简装', '中楼层(共33层)2017年建板楼  -  浑南新区', '103万', '单价10697元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload08fb3de0-84b4-49f7-803b-169a7dd46191.JPG.296x216.jpg', '浑南奥体 浦江御景 交通便利 采光充足', '浦江御景湾  | 3室2厅 | 92.43平米 | 南 | 其他', '低楼层(共24层)2016年建板楼  -  浑南新区', '131万', '单价14173元/平米')
('https://image1.ljcdn.com/210100-inspection/e014f25f-a12b-4714-a54b-e8f4c4ff56e5.JPG.296x216.jpg', '金水花城两室  清水房 采光好', '金水花城二期  | 2室1厅 | 102平米 | 南 | 其他', '低楼层(共39层)2004年建板楼  -  浑南新区', '102万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/4cbfeea6-a3b4-4508-9271-b8895d229458.JPG.296x216.jpg', '奥体商圈 河畔精装三室 中间楼层 采光好  出入便利', '河畔新城四期  | 3室2厅 | 134.8平米 | 南 北 | 精装', '高楼层(共15层)2007年建板楼  -  浑南新区', '149万', '单价11054元/平米')
('https://image1.ljcdn.com/210100-inspection/1bee6364-c9c9-4232-a828-d14666ab2bd8.JPG.296x216.jpg', '浑南音乐学院雍熙金园112平大两居，南北通透', '雍熙金园  | 2室2厅 | 112.41平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  浑南新区', '85万', '单价7562元/平米')
('https://image1.ljcdn.com/210100-inspection/0dc02652-c2cc-47b7-a8c2-ef668cbfe5ab.jpg.296x216.jpg', '郡原小石城 4室2厅 86万', '郡原小石城  | 4室2厅 | 124.5平米 | 南 北 | 其他', '高楼层(共33层)2018年建板楼  -  浑南新区', '86万', '单价6908元/平米')
('https://image1.ljcdn.com/210100-inspection/84da5473-d9fa-44aa-8938-1203fa2930ba.jpg.296x216.jpg', '博信双e港 精装修 南北落地窗126.89平105万 无大税', '博信双E港  | 3室2厅 | 126.89平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  浑南新区', '105万', '单价8275元/平米')
('https://image1.ljcdn.com/210100-inspection/8a839ddc-386a-4250-b265-63c56a9b059e.JPG.296x216.jpg', '金地滨河国际四期 楼层好 视野好 精装南北两室', '金地滨河国际·上城  | 2室2厅 | 84.45平米 | 南 北 | 精装', '中楼层(共31层)2009年建板塔结合  -  浑南新区', '132万', '单价15631元/平米')
('https://image1.ljcdn.com/210100-inspection/0edbab5f-5d47-4c9f-b5a9-18509d91dc8c.JPG.296x216.jpg', '浑南建大金地檀溪 楼层好采光好精装修保持好拎包入住', '金地檀溪  | 3室2厅 | 124.12平米 | 南 北 | 精装', '中楼层(共30层)2014年建板楼  -  浑南新区', '187万', '单价15067元/平米')
('https://image1.ljcdn.com/210100-inspection/fa04e4ba-3216-4e6f-b15c-b92639f1704b.JPG.296x216.jpg', '亿丰南奥国际 奥体商圈 精装没怎么住 看房方便', '亿丰南奥国际  | 3室2厅 | 123.92平米 | 南 北 | 精装', '中楼层(共31层)2009年建板塔结合  -  浑南新区', '150万', '单价12105元/平米')
('https://image1.ljcdn.com/210100-inspection/bc4bdbf2-84e3-4cde-a610-82f907b06011.jpg.296x216.jpg', 'SR国际新城 2室1厅 80万', 'SR国际新城  | 2室1厅 | 78.45平米 | 南 | 其他', '高楼层(共32层)2009年建塔楼  -  浑南新区', '80万', '单价10198元/平米')
('https://image1.ljcdn.com/210100-inspection/6475532e-8e5b-42df-80c5-429baa3de26f.jpg.296x216.jpg', '浦江苑御品 4室2厅 198万', '浦江苑御品  | 4室2厅 | 133.91平米 | 南 北 | 其他', '低楼层(共18层)2014年建板楼  -  浑南新区', '198万', '单价14787元/平米')
('https://image1.ljcdn.com/210100-inspection/e7041d24-a75d-4fd6-9c23-5b787e55caa9.JPG.296x216.jpg', '浑南区建筑大学荣盛恒大旁其仕盛和祥小区', '其仕盛和祥  | 3室2厅 | 99平米 | 南 北 | 其他', '低楼层(共20层)2016年建板楼  -  浑南新区', '110万', '单价11112元/平米')
('https://image1.ljcdn.com/210100-inspection/dcdcb36f-1b05-4dae-b590-ad2d75fff72d.JPG.296x216.jpg', '金地檀郡洋房南北1楼带花园带地下室 精装修带车库', '金地檀郡  | 3室2厅 | 161.02平米 | 南 北 | 其他', '低楼层(共5层)2011年建板楼  -  浑南新区', '499万', '单价30990元/平米')
('https://image1.ljcdn.com/210100-inspection/93f1955e-da02-4ad4-a68f-a997335e52b3.jpg.296x216.jpg', '郡原小石城 2室1厅 55万', '郡原小石城  | 2室1厅 | 58.85平米 | 东北 | 其他', '低楼层(共33层)2018年建板楼  -  浑南新区', '55万', '单价9346元/平米')
('https://image1.ljcdn.com/210100-inspection/810f3708-0753-4e41-8885-7950e77a45b1.JPG.296x216.jpg', '浑南新区 次新小区 金地滨河国际左岸  建筑大学 北侧', '金地滨河国际·左岸  | 3室2厅 | 117.69平米 | 南 北 | 精装', '低楼层(共34层)2015年建板楼  -  浑南新区', '156万', '单价13256元/平米')
('https://image1.ljcdn.com/210100-inspection/527ec1ee-8cf2-40d0-8184-848642bfca97.jpg.296x216.jpg', '浑南建大 泰荣湾 精装修一室户型 送阁楼 看房方便', '泰荣湾  | 1室2厅 | 43.72平米 | 南 | 精装', '高楼层(共5层)2010年建板楼  -  浑南新区', '53万', '单价12123元/平米')
('https://image1.ljcdn.com/210100-inspection/92444246-8298-4558-bf9d-ce0d3e6d3c7f.jpg.296x216.jpg', '伊丽雅特湾一期 5室1厅 185万', '伊丽雅特湾一期  | 5室1厅 | 172.82平米 | 南 北 | 精装', '低楼层(共18层)2009年建板楼  -  浑南新区', '185万', '单价10705元/平米')
('https://image1.ljcdn.com/210100-inspection/39fc315a-b1ce-4917-9343-b7401b2c3bf0.JPG.296x216.jpg', '金地滨河国际四期 三室户型带赠送 浑南 建筑大学', '金地滨河国际·上城  | 3室2厅 | 93.79平米 | 南 北 | 精装', '中楼层(共31层)2009年建板塔结合  -  浑南新区', '135万', '单价14394元/平米')
('https://image1.ljcdn.com/210100-inspection/4cb6067b-0c62-4959-89c4-87970fae60f2.jpg.296x216.jpg', '急售1楼地下室+精装修+车库（不包含房款内12万）', '艾格尔e会展  | 2室2厅 | 66.78平米 | 南 北 | 其他', '低楼层(共6层)2012年建板楼  -  浑南新区', '92万', '单价13777元/平米')
('https://image1.ljcdn.com/210100-inspection/19340803-8da8-4a66-935f-d00baac5b40f.jpg.296x216.jpg', '长白岛 格林英郡 精装两居室 东南北朝向 采光好', '格林英郡  | 2室2厅 | 81.28平米 | 东 南 北 | 其他', '高楼层(共33层)2004年建暂无数据  -  浑南新区', '95万', '单价11688元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb2bd7bf6-23bd-48e5-ab2f-f98643f16b9a.jpg.296x216.jpg', '浑南 世纪大厦板块 同方世纪大厦 精装1室小户型', '同方世纪大厦  | 1室1厅 | 52.71平米 | 北 | 精装', '高楼层(共31层)板楼  -  浑南新区', '50万', '单价9486元/平米')
('https://image1.ljcdn.com/210100-inspection/33364d56-143a-4b8c-a907-e0f575f7f9e0.jpg.296x216.jpg', '奥体万达华发一期三室两厅标准户型采光视野好', '华发首府  | 3室2厅 | 168.12平米 | 南 北 | 其他', '高楼层(共32层)2015年建板楼  -  浑南新区', '265万', '单价15763元/平米')
('https://image1.ljcdn.com/210100-inspection/c47f0c50-7168-49e0-b318-55ea51c73545.jpg.296x216.jpg', '华新名筑 2室2厅 75万', '华新名筑  | 2室2厅 | 75.52平米 | 南 北 | 毛坯', '高楼层(共18层)2015年建板楼  -  浑南新区', '75万', '单价9932元/平米')
