('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb31e0f61-8216-4d82-80b1-485c6ce5f167.jpg.296x216.jpg', '鑫丰御景华庭 2室1厅 105万', '鑫丰御景华庭  | 2室1厅 | 77.73平米 | 东 南 北 | 其他', '高楼层(共10层)2010年建板楼  -  铁西区', '105万', '单价13509元/平米')
('https://image1.ljcdn.com/210100-inspection/3e72f0da-19db-4794-a8d1-11b394116ad4.JPG.296x216.jpg', '鑫丰御景华庭 南北通透不把山不临街 采光好 赠送露台', '鑫丰御景华庭  | 4室2厅 | 99.24平米 | 南 北 | 其他', '高楼层(共7层)2010年建板楼  -  铁西区', '145万', '单价14612元/平米')
('https://image1.ljcdn.com/210100-inspection/9fd5c275-aaef-463c-8842-8dca2e706dd7.jpg.296x216.jpg', '富雲花都 2室2厅 78万', '富雲花都  | 2室2厅 | 92.17平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  铁西区', '78万', '单价8463元/平米')
('https://image1.ljcdn.com/210100-inspection/544d3727-d435-4852-89ba-bc37ef5f3a8c.jpg.296x216.jpg', '万达广场C组团 2室1厅 72万', '万达广场C组团  | 2室1厅 | 78平米 | 西 | 其他', '低楼层(共33层)2011年建板楼  -  铁西区', '72万', '单价9231元/平米')
('https://image1.ljcdn.com/210100-inspection/bc37c44e-302e-409f-8e2a-daac4404ef48.JPG.296x216.jpg', '晶座 3室2厅 160万', '晶座  | 3室2厅 | 114.94平米 | 南 北 | 精装', '高楼层(共7层)2012年建板楼  -  铁西区', '160万', '单价13921元/平米')
('https://image1.ljcdn.com/210100-inspection/150774f1-4ad9-4aa3-9415-d2c247234a6a.JPG.296x216.jpg', '沈辽路铁西万达广场 南北通透 两室两厅 中间户 不把山', '万达广场E组团  | 2室2厅 | 103平米 | 南 北 | 简装', '高楼层(共33层)2011年建板楼  -  铁西区', '95万', '单价9224元/平米')
('https://image1.ljcdn.com/210100-inspection/3ba7e3c3-8ff6-423c-8466-713859d92e24.jpg.296x216.jpg', '第一城A组团 1室1厅 62万', '第一城A组团  | 1室1厅 | 53平米 | 东北 | 其他', '低楼层(共26层)2008年建板塔结合  -  铁西区', '62万', '单价11699元/平米')
('https://image1.ljcdn.com/210100-inspection/13efd229-75b4-4c23-995a-e324df8ad50a.JPG.296x216.jpg', '新湖峰尚 1室1厅 36万', '新湖峰尚  | 1室1厅 | 51平米 | 西南 | 其他', '低楼层(共17层)2006年建板楼  -  铁西区', '36万', '单价7059元/平米')
('https://image1.ljcdn.com/210100-inspection/a12e736b-e539-49ec-b699-f22edeb588fd.jpg.296x216.jpg', '金地名京二期 2室2厅 150万', '金地名京二期  | 2室2厅 | 89.8平米 | 南 北 | 其他', '高楼层(共9层)2012年建板楼  -  铁西区', '150万', '单价16704元/平米')
('https://image1.ljcdn.com/210100-inspection/49d4332b-6e56-4eb8-b164-647f19f43875.jpg.296x216.jpg', '园区仅此一栋的小高 清水房 省略了重新装修的烦恼', '鑫丰雍景豪城  | 2室2厅 | 108.44平米 | 南 北 | 其他', '高楼层(共11层)2013年建板楼  -  铁西区', '163万', '单价15032元/平米')
('https://image1.ljcdn.com/210100-inspection/62a41798-c5f1-4734-9087-ef0d723423d1.jpg.296x216.jpg', '第一城C组团 2室2厅 84万', '第一城C组团  | 2室2厅 | 76.59平米 | 西北 | 其他', '高楼层(共26层)2008年建板塔结合  -  铁西区', '84万', '单价10968元/平米')
('https://image1.ljcdn.com/210100-inspection/83258f3d-1da3-4de5-8093-421e48318b4b.jpg.296x216.jpg', '金地叠拼跃层，南北通透能贷款，带地下室带花园', '金地名京一期  | 4室2厅 | 205平米 | 南 北 | 其他', '低楼层(共6层)2012年建板楼  -  铁西区', '430万', '单价20976元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3e7f2243-fa30-4857-9944-4f3eac05c38e.jpg.296x216.jpg', '满五年，主卧南，南明厅，楼层高，采光好', '第一城B组团  | 3室2厅 | 112.63平米 | 西南 | 其他', '中楼层(共30层)2008年建板塔结合  -  铁西区', '110万', '单价9767元/平米')
('https://image1.ljcdn.com/210100-inspection/6b72d7f1-b201-45be-88d0-3dbd83fadfdf.jpg.296x216.jpg', '凯旋门 2室1厅 93万', '凯旋门  | 2室1厅 | 89.06平米 | 西 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '93万', '单价10443元/平米')
('https://image1.ljcdn.com/210100-inspection/6053fceb-d03c-4967-813e-8fa622113e17.jpg.296x216.jpg', '保利心语花园 5室3厅 120万', '保利心语花园  | 5室3厅 | 122平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  铁西区', '120万', '单价9837元/平米')
('https://image1.ljcdn.com/210100-inspection/d4307b70-3612-4a10-99b6-de1701de586b.jpg.296x216.jpg', '工业大学 金盛鑫园 多层 南北通透 两室两厅 毛坯房！', '金盛鑫园  | 2室2厅 | 102.42平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  铁西区', '97万', '单价9471元/平米')
('https://image1.ljcdn.com/210100-inspection/6578b010-b722-453a-b1d9-f707083a5223.JPG.296x216.jpg', '万达广场 南北两室精装修不把山不临街看房方便', '万达广场E组团  | 2室2厅 | 102.63平米 | 南 北 | 精装', '中楼层(共33层)2011年建板楼  -  铁西区', '110万', '单价10719元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload8ee0503b-0192-4fe0-8d68-637eae2d2a99.jpg.296x216.jpg', '铁西广场 024全时生活体 精装两室一厅 应昌', '024全时生活体  | 2室1厅 | 63.44平米 | 西北 | 其他', '低楼层(共26层)2013年建板楼  -  铁西区', '75万', '单价11823元/平米')
('https://image1.ljcdn.com/210100-inspection/91646db7-eacb-4799-8de8-73199fa531ca.jpg.296x216.jpg', '金地名京四期 3室2厅 320万', '金地名京四期  | 3室2厅 | 153平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  铁西区', '320万', '单价20916元/平米')
('https://image1.ljcdn.com/210100-inspection/923041b3-913f-49ff-a330-cd2a2663f1cb.JPG.296x216.jpg', '南风雅园一期 1室1厅 40万', '南风雅园一期  | 1室1厅 | 63平米 | 南 北 | 其他', '高楼层(共8层)板楼  -  铁西区', '40万', '单价6350元/平米')
('https://image1.ljcdn.com/210100-inspection/27a12188-d074-4165-aec5-9ca3b7dace58.jpg.296x216.jpg', '示范和平家园 2室2厅 85万', '示范和平家园  | 2室2厅 | 115.25平米 | 南 北 | 其他', '低楼层(共16层)2004年建板楼  -  铁西区', '85万', '单价7376元/平米')
('https://image1.ljcdn.com/210100-inspection/1642273a-b94e-453c-ab97-284cb989c3f9.jpg.296x216.jpg', '沈辽路 茂业百货 万达广场后纳帕采光好 房主诚心出售', '纳帕名门  | 2室1厅 | 77.23平米 | 南 | 其他', '高楼层(共27层)2013年建板楼  -  铁西区', '86万', '单价11136元/平米')
('https://image1.ljcdn.com/210100-inspection/1839cce7-2107-4c81-8a80-7df67bd70a56.JPG.296x216.jpg', '青年居易 1室1厅 55万', '青年居易  | 1室1厅 | 53平米 | 南 | 其他', '高楼层(共20层)2004年建板楼  -  铁西区', '55万', '单价10378元/平米')
('https://image1.ljcdn.com/210100-inspection/bf9bbe12-8fbc-468c-bf25-592d314a4514.jpg.296x216.jpg', '罗马假日 1室1厅 25万', '罗马假日  | 1室1厅 | 37.9平米 | 北 | 其他', '低楼层(共36层)2007年建板楼  -  铁西区', '25万', '单价6597元/平米')
('https://image1.ljcdn.com/210100-inspection/22ac0e22-ca22-41cc-b50b-9eb9c07df67b.jpg.296x216.jpg', '富云新都东区 3室2厅 140万', '富云新都东区  | 3室2厅 | 122.9平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  铁西区', '140万', '单价11392元/平米')
('https://image1.ljcdn.com/210100-inspection/b4aae5d0-641d-4f7e-a010-35d759d93a08.JPG.296x216.jpg', '欧尚一品 2室1厅 79万', '欧尚一品  | 2室1厅 | 69.96平米 | 南 北 | 其他', '低楼层(共16层)2007年建板楼  -  铁西区', '79万', '单价11293元/平米')
('https://image1.ljcdn.com/210100-inspection/0b2508d1-6394-48b3-916c-abcd92200939.JPG.296x216.jpg', '万达广场C组团 2室2厅 88万', '万达广场C组团  | 2室2厅 | 85.94平米 | 西南 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '88万', '单价10240元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload323b0a60-85df-4169-a05d-76054c36406a.jpg.296x216.jpg', '铁西秀水小区 多层 不顶楼 带装修', '秀水小区  | 2室1厅 | 73.13平米 | 西 | 简装', '高楼层(共7层)2005年建板楼  -  铁西区', '39万', '单价5333元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload710d54b3-aa33-4dd7-ba42-46bfcaa558b2.jpg.296x216.jpg', '兴华南街 沈辽路万达广场后 南北通透 装修好 小高层', '纳帕名门  | 3室2厅 | 139.66平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  铁西区', '235万', '单价16827元/平米')
('https://image1.ljcdn.com/210100-inspection/d43c7345-3d2c-438e-a937-72a722cd1f99.jpg.296x216.jpg', '凯旋门 多层洋房 清水 三室两厅 随时看房 有车库', '凯旋门  | 3室2厅 | 154.38平米 | 南 北 | 毛坯', '中楼层(共8层)2011年建板楼  -  铁西区', '300万', '单价19433元/平米')
('https://image1.ljcdn.com/210100-inspection/c950a28e-8f8b-400e-a3bd-1c228eb5e6b0.jpg.296x216.jpg', '宏伟金都 2室2厅 340万', '宏伟金都  | 2室2厅 | 282.4平米 | 南 | 精装', '低楼层(共3层)2007年建板楼  -  铁西区', '340万', '单价12040元/平米')
('https://image1.ljcdn.com/210100-inspection/32e27b4a-2ef0-4c51-a2c0-671801d6aa00.JPG.296x216.jpg', '巴塞罗那二期 3室2厅 196万', '巴塞罗那二期  | 3室2厅 | 133.48平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  铁西区', '196万', '单价14684元/平米')
('https://image1.ljcdn.com/210100-inspection/c5d90711-dc39-4cef-b2bf-e70d4933bf1e.JPG.296x216.jpg', '南风雅苑 三室两卫 南北通透 精装修不把山不临街', '南风雅苑  | 3室2厅 | 198.72平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  铁西区', '155万', '单价7800元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload038cb34d-89a5-44f9-b322-e1609389eaf7.jpg.296x216.jpg', '富云新都西区南北通透顶楼带阁楼精装修', '富云新都西区  | 2室2厅 | 88.89平米 | 南 北 | 其他', '高楼层(共7层)2005年建板楼  -  铁西区', '75万', '单价8438元/平米')
('https://image1.ljcdn.com/210100-inspection/9c31417c-0618-49cd-b766-d8efeae42000.JPG.296x216.jpg', '宏发国际名城 3室2厅 145万', '宏发国际名城  | 3室2厅 | 124平米 | 南 北 | 其他', '中楼层(共11层)2006年建板塔结合  -  铁西区', '145万', '单价11694元/平米')
('https://image1.ljcdn.com/210100-inspection/8f8d7a97-96a3-4dae-9d2d-0025266dd2ad.JPG.296x216.jpg', '万达E组团 三室2厅俩南卧一北卧', '万达广场E组团  | 3室2厅 | 133平米 | 南 北 | 其他', '高楼层(共33层)2011年建板楼  -  铁西区', '125万', '单价9399元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3c947fd1-4b0f-4ee9-96f2-b782b9b4bd4f.jpg.296x216.jpg', '北国之春 大户型 带阁楼 不把山 不临街', '新湖北国之春  | 5室3厅 | 115.56平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  铁西区', '150万', '单价12981元/平米')
('https://image1.ljcdn.com/210100-inspection/fc1dd040-3ceb-4d84-8563-9b7add9e0305.JPG.296x216.jpg', '鑫丰馨园/铁西广场商圈 5室3厅 顶楼带阁楼', '鑫丰馨园  | 5室3厅 | 121.54平米 | 南 北 | 其他', '高楼层(共7层)2008年建板楼  -  铁西区', '130万', '单价10697元/平米')
('https://image1.ljcdn.com/210100-inspection/5ebcd184-f38c-4126-b063-03287bd3992b.jpg.296x216.jpg', '第一城A组团 1室1厅 58万', '第一城A组团  | 1室1厅 | 59.24平米 | 东南 | 其他', '低楼层(共24层)2008年建板塔结合  -  铁西区', '58万', '单价9791元/平米')
('https://image1.ljcdn.com/210100-inspection/8b155df0-4809-4625-98d2-724c318781e5.jpg.296x216.jpg', '南北通透采光充足不临街双南卧赠送20平阁楼', '富云新都东区  | 3室2厅 | 122.9平米 | 南 北 | 其他', '高楼层(共7层)2005年建板楼  -  铁西区', '95万', '单价7730元/平米')
('https://image1.ljcdn.com/210100-inspection/9dce6223-c37b-46d7-ad09-caca4236d705.jpg.296x216.jpg', '保利心语花园 2室1厅 56万', '保利心语花园  | 2室1厅 | 63.36平米 | 西北 | 其他', '高楼层(共18层)2014年建板楼  -  铁西区', '56万', '单价8839元/平米')
('https://image1.ljcdn.com/210100-inspection/5837859e-6936-4677-825f-0f632f69be7e.jpg.296x216.jpg', '精装修 中间楼层  园区保持的好', '梦想之约  | 2室1厅 | 59.8平米 | 东北 | 其他', '中楼层(共18层)2007年建板楼  -  铁西区', '62万', '单价10368元/平米')
('https://image1.ljcdn.com/210100-inspection/e84c3083-133f-454a-b6d5-9e2230ed843c.jpg.296x216.jpg', '诗波特生活园 多层两室南北通透户型 园区安静', '诗波特生活园  | 2室2厅 | 138.11平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  铁西区', '95万', '单价6879元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade3f20947-6c88-449e-90b4-bdc34b753f91.jpg.296x216.jpg', '巴塞罗那 精装三室不临街 园区景观房 拎包即住 采光好', '巴塞罗那二期  | 3室2厅 | 125.63平米 | 东南 北 | 其他', '高楼层(共30层)2008年建板楼  -  铁西区', '165万', '单价13134元/平米')
('https://image1.ljcdn.com/210100-inspection/ae711a0f-39ee-4e31-bff6-0fbb079153a3.jpg.296x216.jpg', '黎明西部风情，优质房源，值得拥有', '黎明西部风情  | 3室2厅 | 86.65平米 | 南 北 | 其他', '低楼层(共10层)暂无数据  -  铁西区', '100万', '单价11541元/平米')
('https://image1.ljcdn.com/210100-inspection/aae71c12-aab7-491c-a8cf-3ad5f0ce13ef.jpg.296x216.jpg', '滑翔路城建花园  南北五室户型 不一不顶 有露台', '城建花园  | 5室2厅 | 240平米 | 东 南 北 | 精装', '高楼层(共25层)1999年建板楼  -  铁西区', '168万', '单价7000元/平米')
('https://image1.ljcdn.com/210100-inspection/6713ecdf-fc42-4800-9130-724870eeb1df.JPG.296x216.jpg', '天和人家 2室2厅 108万', '天和人家  | 2室2厅 | 86.35平米 | 南 北 | 其他', '中楼层(共6层)2010年建暂无数据  -  铁西区', '108万', '单价12508元/平米')
('https://image1.ljcdn.com/210100-inspection/f8532579-7255-43d9-a2c3-31709d80b250.jpg.296x216.jpg', '第壹城 小高层东南两室 高楼层采光好配套完善看房方便', '第一城A组团  | 2室2厅 | 90.72平米 | 东 | 精装', '高楼层(共16层)2008年建板塔结合  -  铁西区', '85万', '单价9370元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadec1dbd44-5546-4b9f-9bdc-5cf1c8ee534a.JPG.296x216.jpg', '千缘爱城园区中间东西标准两室，不临街', '千缘爱城  | 2室2厅 | 102.25平米 | 东 西 | 其他', '低楼层(共26层)2005年建板塔结合  -  铁西区', '92万', '单价8998元/平米')
('https://image1.ljcdn.com/210100-inspection/c5148848-3cbd-4aa9-80b2-45cfbd7d02de.JPG.296x216.jpg', '罗曼春天 2室1厅 105万', '罗曼春天  | 2室1厅 | 86.05平米 | 西南 | 其他', '低楼层(共24层)2007年建板塔结合  -  铁西区', '105万', '单价12203元/平米')
('https://image1.ljcdn.com/210100-inspection/3cb058df-90dc-4974-9c7a-0a8297887d39.JPG.296x216.jpg', '浅草绿阁六期枫丹白露 2室2厅 135万', '浅草绿阁六期枫丹白露  | 2室2厅 | 98.02平米 | 东 南 北 | 其他', '高楼层(共23层)2007年建板楼  -  铁西区', '135万', '单价13773元/平米')
('https://image1.ljcdn.com/210100-inspection/c6de3fa3-819f-4002-b4ce-8fbb7921cc40.jpg.296x216.jpg', '晶座 2室1厅 106万', '晶座  | 2室1厅 | 83.21平米 | 东南 | 其他', '中楼层(共32层)2012年建板楼  -  铁西区', '106万', '单价12739元/平米')
('https://image1.ljcdn.com/210100-inspection/38b4f7fc-dea4-42a2-aad5-9ff01666fa53.jpg.296x216.jpg', '铁西北四路南风雅苑不把山不临街四室两卫采光好保持好', '南风雅苑  | 4室2厅 | 198.5平米 | 南 北 | 精装', '高楼层(共6层)2000年建板楼  -  铁西区', '178万', '单价8968元/平米')
('https://image1.ljcdn.com/210100-inspection/c26650c4-7587-486e-ba68-e1aa6c9cbc2d.jpg.296x216.jpg', '华润凯旋门电梯洋房  阳台大 公摊小   装修好  双露台', '凯旋门  | 3室2厅 | 154.38平米 | 南 西 北 | 精装', '中楼层(共8层)2011年建板楼  -  铁西区', '285万', '单价18461元/平米')
('https://image1.ljcdn.com/210100-inspection/f702c701-96cc-47b0-a7f3-dc0ba30bf450.jpg.296x216.jpg', '北二路 万科 满五 东南两室 不临街 采光好 拎包住', '万科朗润园  | 2室1厅 | 86.56平米 | 东南 | 精装', '中楼层(共17层)板楼  -  铁西区', '110万', '单价12708元/平米')
('https://image1.ljcdn.com/210100-inspection/2f5a111f-56af-4d83-a10c-80d0709ca61e.JPG.296x216.jpg', '富雅豪临 三室两卫 精装修 实木家具家电赠送 带景观', '富雅豪临  | 3室2厅 | 167.65平米 | 南 北 | 精装', '高楼层(共17层)2006年建塔楼  -  铁西区', '257万', '单价15330元/平米')
('https://image1.ljcdn.com/210100-inspection/c0df1f6f-bb9d-417e-be5a-7f549ae5c338.jpg.296x216.jpg', '第一城B组团 2室2厅 105万', '第一城B组团  | 2室2厅 | 98平米 | 南 北 | 其他', '中楼层(共27层)2008年建板塔结合  -  铁西区', '105万', '单价10715元/平米')
('https://image1.ljcdn.com/210100-inspection/a637ce44-2dd7-4376-8804-4b6635d5e8b1.jpg.296x216.jpg', '美好愿景 3室2厅 116万', '美好愿景  | 3室2厅 | 120.48平米 | 东 南 北 | 其他', '低楼层(共18层)板楼  -  铁西区', '116万', '单价9629元/平米')
('https://image1.ljcdn.com/210100-inspection/ede55136-d963-45da-a01d-e34e11197f59.jpg.296x216.jpg', '第一城B组团 3室2厅 105万', '第一城B组团  | 3室2厅 | 111.93平米 | 西南 | 其他', '高楼层(共30层)2008年建板塔结合  -  铁西区', '105万', '单价9381元/平米')
('https://image1.ljcdn.com/210100-inspection/2c2d81d6-9429-4911-a23f-c77310d4501c.jpg.296x216.jpg', '精装修   西明厅  南北通透户型', '金地名京一期  | 3室2厅 | 118.76平米 | 南 西 北 | 其他', '中楼层(共32层)2012年建板楼  -  铁西区', '225万', '单价18946元/平米')
('https://image1.ljcdn.com/210100-inspection/c7f9f8e6-c1e1-4fc2-bfb9-68e4cb277eca.jpg.296x216.jpg', '鑫丰雍景豪城 2室2厅 136万', '鑫丰雍景豪城  | 2室2厅 | 92.71平米 | 南 北 | 其他', '低楼层(共27层)2013年建板楼  -  铁西区', '136万', '单价14670元/平米')
('https://image1.ljcdn.com/210100-inspection/19aac1ae-acb9-48ab-862b-3a9b32042f7c.jpg.296x216.jpg', '方大胜景 4室4厅 280万', '方大胜景  | 4室4厅 | 145平米 | 南 北 | 其他', '中楼层(共5层)2015年建板楼  -  铁西区', '280万', '单价19311元/平米')
('https://image1.ljcdn.com/210100-inspection/603cb2e3-9725-4a47-8ba7-1c3f6a2d8d72.jpg.296x216.jpg', '浅草绿阁六期枫丹白露 2室2厅 185万', '浅草绿阁六期枫丹白露  | 2室2厅 | 120.16平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  铁西区', '185万', '单价15397元/平米')
('https://image1.ljcdn.com/210100-inspection/0eaff004-edd6-4a8e-905e-d7834b133544.JPG.296x216.jpg', '铁西广场万象汇 兴华北街北四路 华润置地 精装两室', '华润置地广场  | 2室2厅 | 102.17平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  铁西区', '153万', '单价14976元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9b6cffae-4795-498a-8af4-4da89805eade.jpg.296x216.jpg', '第壹城东区精装两室 南卧室 南明厅 看房方便', '第一城D组团  | 2室2厅 | 101.49平米 | 南 北 | 其他', '中楼层(共26层)2008年建板塔结合  -  铁西区', '112万', '单价11036元/平米')
('https://image1.ljcdn.com/210100-inspection/4953a65e-9d2e-4567-96de-f6cc74930a69.JPG.296x216.jpg', '君临天下杏花雅居 2室1厅 75万', '君临天下杏花雅居  | 2室1厅 | 57.68平米 | 南 西 北 | 其他', '中楼层(共6层)2007年建板楼  -  铁西区', '75万', '单价13003元/平米')
('https://image1.ljcdn.com/210100-inspection/5adc9351-4b9b-4d38-89e9-87c2c08b97c6.jpg.296x216.jpg', '富海铭尊 3室2厅 118万', '富海铭尊  | 3室2厅 | 110.25平米 | 南 北 | 其他', '低楼层(共6层)2005年建板楼  -  铁西区', '118万', '单价10703元/平米')
('https://image1.ljcdn.com/210100-inspection/18a099e9-e988-44ff-bb76-140f90c04d6e.JPG.296x216.jpg', '万达广场 交通方便 商圈成熟 园区安静', '万达广场C组团  | 2室1厅 | 85.96平米 | 西南 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '80万', '单价9307元/平米')
('https://image1.ljcdn.com/320100-inspection/7afe10c2-6ff0-413a-a742-2780c1371d80.JPG.296x216.jpg', '北二路 鑫丰国际 南向 2室 不把山 精装 看房方便', '鑫丰国际  | 2室1厅 | 63.99平米 | 南 | 其他', '高楼层(共26层)2007年建板楼  -  铁西区', '52万', '单价8127元/平米')
('https://image1.ljcdn.com/210100-inspection/834090d3-5353-4a7e-9709-dba0e2b0db1b.jpg.296x216.jpg', '第壹城B组团 两室 南北通透 小高层 不把山 不临街', '第一城B组团  | 2室2厅 | 102.94平米 | 南 北 | 精装', '中楼层(共17层)2008年建板塔结合  -  铁西区', '125万', '单价12143元/平米')
('https://image1.ljcdn.com/210100-inspection/fa1e6c18-3d8c-45ae-a31c-8e9c3027af5d.jpg.296x216.jpg', '南十东路新上南北两室 简单装修 交通便利', '南十东路  | 2室1厅 | 84.18平米 | 南 北 | 其他', '中楼层(共8层)1997年建板楼  -  铁西区', '63万', '单价7484元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadb92b0360-d16a-405b-b645-f7d6d12df6f9.jpg.296x216.jpg', '启工街第壹城南北通透精装二室不把山不临街', '第一城B组团  | 2室2厅 | 95.11平米 | 南 北 | 其他', '高楼层(共30层)2008年建板塔结合  -  铁西区', '123万', '单价12933元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadef1ed7dc-967d-49c9-a694-d93187fe11f6.jpg.296x216.jpg', '南北通透不临街不把山不挡光赠送50平阁楼拎包入住', '宏伟金都  | 2室2厅 | 97.68平米 | 南 北 | 其他', '高楼层(共6层)2007年建板塔结合  -  铁西区', '85万', '单价8702元/平米')
('https://image1.ljcdn.com/210100-inspection/14ebc7f4-4868-4640-9f92-59ae87da06db.JPG.296x216.jpg', '南北户型  小两室复式 交通便利 拎包入住', '罗马假日  | 2室1厅 | 39.32平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  铁西区', '58万', '单价14751元/平米')
('https://image1.ljcdn.com/210100-inspection/66f17dcf-bf4a-4510-b673-752fb1df525d.jpg.296x216.jpg', '宏伟小区东西朝向精装修拎包入住', '宏伟小区  | 2室2厅 | 58.8平米 | 东 西 | 其他', '中楼层(共8层)板楼  -  铁西区', '46万', '单价7824元/平米')
('https://image1.ljcdn.com/210100-inspection/79938436-3403-460f-895a-489efa437487.jpg.296x216.jpg', '金硕园 南北标户 不把山不临街 精装修 拎包即住中间层', '金硕园  | 2室3厅 | 168平米 | 南 北 | 精装', '中楼层(共12层)2003年建板楼  -  铁西区', '155万', '单价9227元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade81feaa2-1ad8-4d62-9167-c01a37515180.jpg.296x216.jpg', '此房南北通透，视野开阔，楼层好方便，', '万达广场A组团  | 2室1厅 | 113.01平米 | 南 北 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '110万', '单价9734元/平米')
('https://image1.ljcdn.com/210100-inspection/eeb9099a-1457-4935-830f-c077dca19b79.jpg.296x216.jpg', '万达广场c组团 中间楼层 精装修 视野开阔', '万达广场C组团  | 2室2厅 | 90.74平米 | 西南 | 精装', '低楼层(共33层)2011年建板楼  -  铁西区', '88万', '单价9699元/平米')
('https://image1.ljcdn.com/210100-inspection/70eaedfc-846b-4d33-8f37-560a11797790.JPG.296x216.jpg', '精装修   多层   南北通透   不把山', '保利百合花园南园  | 2室2厅 | 92.51平米 | 南 北 | 其他', '低楼层(共16层)2007年建板楼  -  铁西区', '132万', '单价14269元/平米')
('https://image1.ljcdn.com/320100-inspection/3c1a1fe1-0520-4b8a-9bd2-4a49897908c6.JPG.296x216.jpg', '新湖御和园 南明厅 南北三室 精装 过五年 有车位', '新湖御和园  | 3室2厅 | 117.44平米 | 西南 北 | 精装', '高楼层(共19层)2011年建板楼  -  铁西区', '205万', '单价17456元/平米')
('https://image1.ljcdn.com/210100-inspection/test-d491722f-1bd2-49b3-930a-65fd8bb63821.png.296x216.jpg', '小北一路 简单装修标户两室 不临街', '金地名京三期  | 2室2厅 | 92.47平米 | 南 北 | 其他', '中楼层(共32层)2013年建板楼  -  铁西区', '137万', '单价14816元/平米')
('https://image1.ljcdn.com/210100-inspection/b6321c73-24fb-4c88-b06b-6f5764dec555.jpg.296x216.jpg', '阳光嘉园二期 2室1厅 62万', '阳光嘉园二期  | 2室1厅 | 59.8平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  铁西区', '62万', '单价10368元/平米')
('https://image1.ljcdn.com/210100-inspection/a8fb9015-daeb-4656-a1aa-d5c209308416.jpg.296x216.jpg', '本房源满五年  采光好 封闭园区 交通便利 配套齐全', '欧尚一品  | 2室1厅 | 94平米 | 南 北 | 其他', '中楼层(共6层)2007年建板楼  -  铁西区', '130万', '单价13830元/平米')
('https://image1.ljcdn.com/210100-inspection/abf0d1fb-732a-4311-92bd-c19da3e7004d.jpg.296x216.jpg', '罗曼春天 勋望 大面积 视野开阔 南北通透', '罗曼春天  | 3室2厅 | 128平米 | 南 北 | 其他', '高楼层(共6层)2007年建板塔结合  -  铁西区', '157万', '单价12266元/平米')
('https://image1.ljcdn.com/210100-inspection/84985502-a5a1-444b-85f8-dac79ab4d062.jpg.296x216.jpg', '鑫丰雍景豪城 2室2厅 158万', '鑫丰雍景豪城  | 2室2厅 | 97.25平米 | 南 北 | 其他', '高楼层(共27层)2013年建板楼  -  铁西区', '158万', '单价16247元/平米')
('https://image1.ljcdn.com/210100-inspection/268f6fa9-8915-490d-a825-aab48e332253.JPG.296x216.jpg', '欧尚一品 3室2厅 145万', '欧尚一品  | 3室2厅 | 124.32平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  铁西区', '145万', '单价11664元/平米')
('https://image1.ljcdn.com/320100-inspection/65d7418f-bae4-4a58-943b-919d4e9868e6.JPG.296x216.jpg', '鑫丰俪城 3室2厅 125万', '鑫丰俪城  | 3室2厅 | 119.48平米 | 南 北 | 其他', '高楼层(共26层)2008年建板楼  -  铁西区', '125万', '单价10463元/平米')
