('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/d810f3be-74c0-4cbb-84c4-6866f7aa26f4.jpg.296x216.jpg', '学军十三中，大两房，厨卫全明，使用率高', '文二路37号  | 2室1厅 | 56.81平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1983年建板楼  -  学军', '480万', '单价84493元/平米')
('https://image1.ljcdn.com/330100-inspection/8210a30d-54be-4e83-be8f-1262c615f564.jpg.296x216.jpg', '精装两房 户型方正 看房方便 有大院子', '马塍路37号  | 2室1厅 | 57.45平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1994年建板楼  -  学军', '520万', '单价90514元/平米')
('https://image1.ljcdn.com/330100-inspection/fa7a6a9d-2e9d-4b0e-b708-168d1a4b9752.jpg.296x216.jpg', '明珠公寓大户型，电梯房，业主诚心出售', '明珠公寓  | 3室2厅 | 157.58平米 | 南 北 | 简装 | 有电梯', '中楼层(共10层)2000年建板楼  -  翠苑', '680万', '单价43153元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf08b50c1-d538-4ceb-b9f5-225c2dc51672.jpg.296x216.jpg', '金田花园 2室1厅 230万', '金田花园  | 2室1厅 | 56.49平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '230万', '单价40716元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5b78455b-825e-46ae-8ea7-5a449a1f752c.jpg.296x216.jpg', '古荡少有的三房户型，楼层居间，看房方便', '古荡新村西区  | 3室1厅 | 65.16平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1985年建板楼  -  古荡', '265万', '单价40670元/平米')
('https://image1.ljcdn.com/330100-inspection/d4ab1a98-de62-478c-a7d8-a8dd2ec6cc5c.jpg.296x216.jpg', '紫金公寓，赠送20方，超低总价三房', '紫金公寓  | 3室1厅 | 49.65平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '248万', '单价49950元/平米')
('https://image1.ljcdn.com/330100-inspection/4405e2e1-cf7b-48ef-a2d0-71beb6deb9a8.jpg.296x216.jpg', '和苑沿河景观房 大四房 户型正气 纯毛坯 可随意装修', '和苑小区  | 4室2厅 | 133.28平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共12层)2009年建板楼  -  申花', '650万', '单价48770元/平米')
('https://image1.ljcdn.com/330100-inspection/2a5d9b2b-ee71-47b3-b9e1-3285d41d1981.jpg.296x216.jpg', '九莲新村   小户型楼层好    给您一个温馨的小家', '九莲新村  | 1室1厅 | 46.66平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1987年建板楼  -  九莲', '180万', '单价38577元/平米')
('https://image1.ljcdn.com/330100-inspection/069978b7-ce70-4345-b24b-b898ca9f6429.jpg.296x216.jpg', '中兴公寓 两房朝南 不沿马路 诚心出售', '中兴公寓  | 2室2厅 | 75.05平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  文三西路', '335万', '单价44637元/平米')
('https://image1.ljcdn.com/330100-inspection/7a6040d5-b6db-40ad-b7f3-4a630fef11a92.jpg.296x216.jpg', '翠苑五区 满五年，好楼层3房诚心卖', '翠苑五区  | 3室1厅 | 96.14平米 | 西南 | 简装 | 有电梯', '高楼层(共18层)1998年建塔楼  -  翠苑', '430万', '单价44727元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c4b745b2-78e7-4630-87e3-9067bf7bb56c.png.296x216.jpg', '墩莳家园两房，自住精装修，满五唯一，东边套', '墩莳家园  | 2室1厅 | 62.79平米 | 南 北 | 精装', '高楼层(共27层)2012年建板楼  -  良渚', '190万', '单价30260元/平米')
('https://image1.ljcdn.com/330100-inspection/10bb8d75-6471-4767-8881-9dd639183e4e.jpg.296x216.jpg', '莲花新村西区 3室2厅 380万', '莲花新村西区  | 3室2厅 | 74.5平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  文三西路', '380万', '单价51007元/平米')
('https://image1.ljcdn.com/330100-inspection/04c7a245-7d99-4fe4-9ed5-aea8d204c072.jpg.296x216.jpg', '格局好，高楼层采光好，房东诚心出售', '朗郡庭园  | 5室2厅 | 210平米 | 南 | 毛坯 | 有电梯', '低楼层(共27层)2011年建塔楼  -  转塘', '600万', '单价28572元/平米')
('https://image1.ljcdn.com/330100-inspection/91522971-6da6-4096-8b2b-ad498befb250.jpg.296x216.jpg', '满五不唯一、优质小区，户口可迁', '世贸丽晶城  | 2室2厅 | 81平米 | 南 | 简装 | 有电梯', '21层2006年建板楼  -  九莲', '625万', '单价77161元/平米')
('https://image1.ljcdn.com/330100-inspection/a6ac19a3-97dd-4f31-a94e-e26940fda9e5.jpg.296x216.jpg', '翠苑东四区，一梯两户型，环境幽静，送地下室和露台', '翠苑东四区  | 4室2厅 | 116.86平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  翠苑', '530万', '单价45354元/平米')
('https://image1.ljcdn.com/330100-inspection/d0a1ab06-5f5a-46a1-9ce2-8316c404ec85.jpg.296x216.jpg', '金都城市芯宇 13年电梯房 精装交付', '金都城市芯宇  | 2室1厅 | 89.15平米 | 南 北 | 精装 | 有电梯', '中楼层(共28层)2013年建板楼  -  文教', '579万', '单价64947元/平米')
('https://image1.ljcdn.com/330100-inspection/b0565229-0e09-437a-a87b-91e86875f0f9.jpg.296x216.jpg', '西荡苑中间楼层，两房朝南户型，南北通透。', '西荡苑桃苑  | 2室2厅 | 59.39平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2003年建板楼  -  文三西路', '282万', '单价47483元/平米')
('https://image1.ljcdn.com/330100-inspection/edfb58a9-5249-41f1-b511-3a1dc280aebc.jpg.296x216.jpg', '新出4楼好房，户型佳，房东诚心出售', '嘉绿西苑  | 3室2厅 | 98.3平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1999年建板楼  -  嘉绿', '440万', '单价44761元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadaa8fa727-a1ae-4c12-80e7-e4c3df0656b5.jpg.296x216.jpg', '求是星洲 文华站旁 星洲花园3室改善 房东急售', '星洲花园格兰馨芦  | 3室2厅 | 144平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2000年建塔楼  -  文一西路', '750万', '单价52084元/平米')
('https://image1.ljcdn.com/330100-inspection/883e20a2-77af-4866-a487-2e86da38213d.jpg.296x216.jpg', '保小大户型，两套打通，户型正气，诚心出售，随时看房', '胜利新村  | 3室2厅 | 100.36平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1990年建板楼  -  黄龙', '592万', '单价58988元/平米')
('https://image1.ljcdn.com/330100-inspection/bd22ae8e-970a-457c-b63b-8544606de1cf.jpg.296x216.jpg', '雅仕苑三期红房子，南北双露台，商品房70年产权住宅！', '雅仕苑  | 3室2厅 | 96.49平米 | 东 南 北 | 简装 | 无电梯', '高楼层(共6层)2001年建板楼  -  文一西路', '500万', '单价51819元/平米')
('https://image1.ljcdn.com/330100-inspection/1d1af6d9-c5c8-47a1-95d6-91ca1547edae.JPG.296x216.jpg', '新世纪花苑 地铁三墩站450米 不沿马路 跃层结构', '新世纪花苑  | 4室2厅 | 123.7平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  三墩', '365万', '单价29507元/平米')
('https://image1.ljcdn.com/330100-inspection/6af67070-e44c-44b6-8e0a-27836cbe59f6.jpg.296x216.jpg', '金都新城不沿马路，南面就是篮球场，视野开阔，采光好', '金都新城  | 2室2厅 | 88.77平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  文三西路', '399万', '单价44948元/平米')
('https://image1.ljcdn.com/330100-inspection/ca044170-fceb-4864-b5b5-7fe30517d03c.jpg.296x216.jpg', '教工路65号 带院子 看房方便 适合自住', '教工路65号院  | 3室1厅 | 66.12平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1989年建板楼  -  九莲', '280万', '单价42348元/平米')
('https://image1.ljcdn.com/330100-inspection/037d4703-958f-47ec-a4df-b32fd46c10a8.jpg.296x216.jpg', '山水人家美林泉 产权清晰 诚心出售', '山水人家美林泉  | 4室2厅 | 161.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2003年建板楼  -  文三西路', '698万', '单价43116元/平米')
('https://image1.ljcdn.com/330100-inspection/c3d518d0-e4cd-4a90-9684-5640231ddf28.jpg.296x216.jpg', '新出两房中高层、视野采光好、近2号线学院路站', '枫华府第  | 2室1厅 | 88.77平米 | 东 南 | 精装 | 有电梯', '中楼层(共25层)2008年建板楼  -  翠苑', '440万', '单价49567元/平米')
('https://image1.ljcdn.com/330100-inspection/530530ee-f666-4897-a01e-e52a7707d503.jpg.296x216.jpg', '坤和和家园 坤和开发商精装  跃层送地下一层 带南花园', '坤和和家园  | 4室2厅 | 191.96平米 | 南 北 | 精装 | 有电梯', '低楼层(共16层)2013年建板楼  -  西溪', '870万', '单价45322元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf08f30d1-56d2-4ae2-b6be-8f21ab25b38f.jpg.296x216.jpg', '金成不占学籍朝南两房，送花园，有车库，宜居好房。', '金成花园  | 2室1厅 | 70.43平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  文一西路', '360万', '单价51115元/平米')
('https://image1.ljcdn.com/330100-inspection/c9953248-d754-452b-9de9-35a461f568bd.jpg.296x216.jpg', '别墅区内的小面积住宅，幽静自然', '梦湖山庄  | 1室1厅 | 49.69平米 | 东南 | 精装 | 有电梯', '中楼层(共9层)板楼  -  之江', '165万', '单价33206元/平米')
('https://image1.ljcdn.com/330100-inspection/test-8ed392d9-4acb-4777-aa7a-865572101e8e.png.296x216.jpg', '翠苑四区，精装修两房，中间楼层', '翠苑四区  | 2室1厅 | 53平米 | 东 西 | 精装 | 无电梯', '中楼层(共7层)1993年建板楼  -  翠苑', '220万', '单价41510元/平米')
('https://image1.ljcdn.com/330100-inspection/ed922042-ec80-4d24-a334-bbd314388b9c.jpg.296x216.jpg', '金都花园 经典两房 全明户型 明厨明卫 户型方正精装修', '金都花园  | 2室2厅 | 77.3平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1997年建板楼  -  文三西路', '329万', '单价42562元/平米')
('https://image1.ljcdn.com/330100-inspection/80cd1c16-beab-428c-9352-4960ddd0ef2b.jpg.296x216.jpg', '西边套 门口有块菜地 采光无遮挡', '翠苑四区  | 3室1厅 | 72.53平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)1993年建板楼  -  翠苑', '310万', '单价42741元/平米')
('https://image1.ljcdn.com/330100-inspection/61fe30bd-8c53-4d49-b793-9ac318a26d45.jpg.296x216.jpg', '嘉绿西苑新上东边套三房，房东诚心出售，看房方便', '嘉绿西苑  | 3室2厅 | 112.86平米 | 南 | 简装 | 无电梯', '低楼层(共5层)2000年建板楼  -  嘉绿', '450万', '单价39873元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload2ac3c361-739d-4d40-bb09-ea6df91b9840.jpg.296x216.jpg', '新上文三街 3房 本周聚焦 全明户型 看房方便', '文三新村  | 3室1厅 | 63.43平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  文三', '420万', '单价66215元/平米')
('https://image1.ljcdn.com/330100-inspection/a4d21d5c-9798-4602-a97f-1ec7fd07abd5.jpg.296x216.jpg', '白荡海人家新上毛坯房 任您装修 学籍不占 看房有钥匙', '白荡海人家  | 2室2厅 | 86.31平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2000年建板楼  -  文教', '508万', '单价58858元/平米')
('https://image1.ljcdn.com/330100-inspection/201c5c19-13ef-470d-97f2-786ef7bf00e5.jpg.296x216.jpg', '此房满五年唯一，沿河大三房，西边套。坏境好。安静', '天苑花园  | 3室1厅 | 101平米 | 南 北 | 简装 | 有电梯', '低楼层(共23层)1998年建塔楼  -  翠苑', '418万', '单价41387元/平米')
('https://image1.ljcdn.com/330100-inspection/0d3db614-1ee7-4b7e-b972-c58d1187da68.jpg.296x216.jpg', '南北通透格局，小区绿化环境好，配套设施成熟', '信鸿花园北区  | 2室1厅 | 56.34平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  三墩', '175万', '单价31062元/平米')
('https://image1.ljcdn.com/330100-inspection/64ed7055-f513-44df-9761-7df0854159c4.jpg.296x216.jpg', '满两年，无综合税，有车位另算，户型好送面积赠送', '坤和西溪里  | 3室2厅 | 137平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共15层)2010年建板楼  -  西溪', '660万', '单价48176元/平米')
('https://image1.ljcdn.com/330100-inspection/ad8bd893-8431-4c88-8b2a-43a21ffa397a.jpg.296x216.jpg', '铁路新村，环境安静，离西湖近，房改房', '铁路新村  | 3室1厅 | 84.76平米 | 南 | 简装 | 无电梯', '低楼层(共4层)1985年建板楼  -  黄龙', '415万', '单价48962元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload9e32aabb-5e23-452f-831d-3575c3066bd2.jpg.296x216.jpg', '物华小区 精装中楼层西边套 看房方便', '物华小区  | 2室1厅 | 60.32平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1998年建板楼  -  嘉绿', '320万', '单价53051元/平米')
('https://image1.ljcdn.com/330100-inspection/d6726399-4bfa-45a8-8672-f55b9fa08b72.jpg.296x216.jpg', '翠苑一区 2室1厅 220万', '翠苑一区  | 2室1厅 | 47.28平米 | 南 北 | 简装 | 无电梯', '低楼层(共5层)1988年建板楼  -  翠苑', '220万', '单价46532元/平米')
('https://image1.ljcdn.com/330100-inspection/1b8499d4-c925-4f0a-b090-7eb6ca679561.jpg.296x216.jpg', '精装两房，中高楼层视野开阔，免双税！', '中海紫藤苑  | 2室2厅 | 88.28平米 | 南 北 | 精装 | 有电梯', '高楼层(共21层)2011年建板楼  -  三墩', '346万', '单价39194元/平米')
('https://image1.ljcdn.com/330100-inspection/46e1c9e5-42b2-483a-8813-9ce78cfa1c51.jpg.296x216.jpg', '两房朝南一房朝北，东边套，带院子', '外东山弄  | 3室1厅 | 75.13平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1987年建板楼  -  黄龙', '500万', '单价66552元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7e1c20b1-d9e2-44db-baa5-efac71bea9d0.jpg.296x216.jpg', '嘉绿苑精装小三房 中间楼层 不沿马路', '益乐路20号  | 3室2厅 | 84.79平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  嘉绿', '400万', '单价47176元/平米')
('https://image1.ljcdn.com/330100-inspection/35a550d3-97d3-4a8a-bc7d-6cecb6ada12c.jpg.296x216.jpg', '枫华府第 1室0厅 255万', '枫华府第  | 1室0厅 | 48.3平米 | 东 东南 | 精装 | 有电梯', '低楼层(共25层)2008年建板楼  -  翠苑', '255万', '单价52796元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c5c9b03d-e22b-4997-97b9-d6719314fd5e.png.296x216.jpg', '视野采光棒棒的。业主诚心出售 产权清晰。', '嘉绿景苑东园  | 2室1厅 | 63.99平米 | 南 北 | 简装 | 有电梯', '中楼层(共15层)2007年建板楼  -  文三西路', '280万', '单价43757元/平米')
('https://image1.ljcdn.com/330100-inspection/c6ec1e9f-5c90-4e9e-b18c-aacaff1ccbf8.jpg.296x216.jpg', '一区新上两房，南北朝向 诚心卖', '翠苑一区  | 2室1厅 | 51.54平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1986年建板楼  -  翠苑', '249万', '单价48312元/平米')
('https://image1.ljcdn.com/330100-inspection/dfe930e4-18cb-4162-8a41-4e660aaebd9c.jpg.296x216.jpg', '金田花园 经典两房 中间楼层 诚心出售 不沿街 采光好', '金田花园  | 2室1厅 | 75.75平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  文三西路', '340万', '单价44885元/平米')
('https://image1.ljcdn.com/330100-inspection/e560c09e-c1c4-4b44-952b-79a1beb821c2.jpg.296x216.jpg', '西苑小区 户型方正 视野好 房东诚售 不沿路', '西苑小区  | 3室1厅 | 88.18平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  嘉绿', '410万', '单价46496元/平米')
('https://image1.ljcdn.com/330100-inspection/c16460a2-b2b4-4f7d-bb7e-6f4348cb2c6a.jpg.296x216.jpg', '嘉绿板块不多的小户型，总价低，业主诚心出售', '嘉绿西苑  | 2室2厅 | 88.53平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2000年建板楼  -  嘉绿', '445万', '单价50266元/平米')
('https://image1.ljcdn.com/330100-inspection/54a79fa1-3618-4345-9ea2-3523cf22e2c1.jpg.296x216.jpg', '满五唯一，满北通透，视野开阔，配套成熟，交通方便', '金田花园  | 3室1厅 | 87.57平米 | 南 西南 | 简装 | 无电梯', '高楼层(共7层)1998年建塔楼  -  文三西路', '290万', '单价33117元/平米')
('https://image1.ljcdn.com/330100-inspection/735040b6-41be-4def-ab86-7cfeb60d9f4e.jpg.296x216.jpg', '有车位， 高楼层，阳光好，三室朝南，南北通透', '中大文锦苑  | 3室2厅 | 124.77平米 | 南 北 | 精装 | 有电梯', '中楼层(共15层)2001年建塔楼  -  学军', '980万', '单价78545元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7ec7d732-cc80-420a-ae8b-9cea1b376bd1.jpg.296x216.jpg', '此房满五年，户型方正，客厅朝西边带阳台，采光很足。', '天苑花园  | 3室2厅 | 124.65平米 | 西 北 | 简装 | 有电梯', '高楼层(共25层)1998年建塔楼  -  翠苑', '350万', '单价28079元/平米')
('https://image1.ljcdn.com/330100-inspection/66363de7-74f5-4459-8d2e-d191792ca2e5.jpg.296x216.jpg', '满五不唯一、文三街学籍、送三个阳台、优质小区', '世贸丽晶城  | 3室2厅 | 117平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2006年建板楼  -  九莲', '910万', '单价77778元/平米')
('https://image1.ljcdn.com/330100-inspection/1300e2d3-edb6-4bb7-8f90-7814d19d3c97.jpg.296x216.jpg', '物华小区 经典两房户型 中楼层 不沿街', '物华小区  | 2室1厅 | 81.5平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  嘉绿', '330万', '单价40491元/平米')
('https://image1.ljcdn.com/330100-inspection/1ab83176-ec6b-44d6-870e-229598edb211.jpg.296x216.jpg', '文一街十三中本部  户型方正 两房朝南 采光好', '莫干山路515号  | 2室1厅 | 61.89平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  文教', '333万', '单价53806元/平米')
('https://image1.ljcdn.com/330100-inspection/fbbdba3e-7da9-4974-a17b-e672ddf46431.jpg.296x216.jpg', '雅仕苑50万精装修3房2卫，刚入住，中间楼层，品牌家具', '雅仕苑  | 3室2厅 | 107.49平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1998年建板楼  -  文一西路', '560万', '单价52098元/平米')
('https://image1.ljcdn.com/330100-inspection/d2366236-54a2-405f-9a94-2bebe148769c.JPG.296x216.jpg', '自住精装修，看房方便，楼层好，满两年。', '中海紫藤苑  | 2室2厅 | 89平米 | 南 北 | 精装 | 有电梯', '高楼层(共21层)2011年建板楼  -  三墩', '345万', '单价38765元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0f0e3035-3ad1-4b94-b954-98810c727ca4.jpg.296x216.jpg', '边套，采光好，中间楼层，房东诚心出售。', '香樟公寓  | 3室2厅 | 92.44平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1997年建板楼  -  文三西路', '420万', '单价45435元/平米')
('https://image1.ljcdn.com/330100-inspection/d9c6fc3b-9989-4b04-aac7-29554adda188.jpg.296x216.jpg', '一房改两房 中间楼层 全明户型', '翠苑三区  | 2室1厅 | 42.54平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  翠苑', '185万', '单价43489元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadf33da40f-c39b-449c-ab3f-46e4b3a9f2ff.jpg.296x216.jpg', '满五年免交双税，产权清晰随时签约，精装2房拎包入住', '亚洲城花园  | 2室1厅 | 63.68平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  古荡', '290万', '单价45541元/平米')
('https://image1.ljcdn.com/330100-inspection/db3f13eb-6764-4f79-ad69-857b0255a6b2.jpg.296x216.jpg', '翠苑一区，采光视野好，204万，满五年。', '翠苑一区  | 2室0厅 | 41.28平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1986年建板楼  -  翠苑', '199万', '单价48208元/平米')
('https://image1.ljcdn.com/330100-inspection/b6bf82cf-e130-4357-9d5f-f808382941ba.jpg.296x216.jpg', '天河西苑 两房朝南 采光好 视野开阔 通风好', '天河西苑  | 3室1厅 | 78.57平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  文一西路', '340万', '单价43274元/平米')
('https://image1.ljcdn.com/330100-inspection/b4f96c99-03e9-4c97-b387-2981a04df58c.jpg.296x216.jpg', '天苑花园 2室1厅 250万', '天苑花园  | 2室1厅 | 75.86平米 | 南 | 简装 | 有电梯', '低楼层(共18层)1998年建塔楼  -  翠苑', '250万', '单价32956元/平米')
('https://image1.ljcdn.com/330100-inspection/dda255c8-bab6-4f8f-b703-d68deafc2430.jpg.296x216.jpg', '交通便利  小区环境优美  位置优越', '润达花园  | 2室1厅 | 72.64平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  三墩', '265万', '单价36482元/平米')
('https://image1.ljcdn.com/330100-inspection/c36e3338-ce41-444f-adca-94d858802a30.jpg.296x216.jpg', '毛家桥精装修舒适两房室 南北通风业主诚心出售随时看', '毛家桥公寓  | 2室2厅 | 87.34平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2005年建板楼  -  嘉绿', '500万', '单价57248元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadffcf19ad-e6a5-4650-99ae-43d126cb81e8.jpg.296x216.jpg', '嘉绿苑精装两房 拎包入户  业主诚售', '嘉绿名苑  | 2室1厅 | 79.75平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2004年建板塔结合  -  嘉绿', '440万', '单价55173元/平米')
('https://image1.ljcdn.com/330100-inspection/ff80a6a8-8644-4434-8127-be9e8ace9aa4.JPG.296x216.jpg', '金地自在城   开发商精装修  户型方正', '金地自在城  | 3室2厅 | 88.47平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  三墩', '440万', '单价49735元/平米')
('https://image1.ljcdn.com/330100-inspection/6f31d722-38b7-46f7-ad07-61ec10f0b015.jpg.296x216.jpg', '文三自住精装大二房，满五年唯一一套，诚心出售', '文三新村  | 2室1厅 | 68.36平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1988年建板楼  -  文三', '470万', '单价68754元/平米')
('https://image1.ljcdn.com/330100-inspection/555220e4-4d27-4bd2-915a-8799ccb29fb3.jpg.296x216.jpg', '兴财名都苑 大户型可四代同堂 精装修', '兴财名都苑  | 5室2厅 | 195.81平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2003年建板楼  -  文教', '980万', '单价50049元/平米')
('https://image1.ljcdn.com/330100-inspection/0d31b4b5-ed6c-4b4b-a109-3034d633ce69.jpg.296x216.jpg', '嘉绿西苑 大三房 西边套 带一个大露台', '嘉绿西苑  | 3室2厅 | 114平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  嘉绿', '550万', '单价48246元/平米')
('https://image1.ljcdn.com/330100-inspection/ae752f4a-7334-479b-a422-a8beed1398cd.jpg.296x216.jpg', '户型方正    2009年房龄新', '沈塘新村  | 3室2厅 | 89.75平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1984年建板楼  -  学军', '635万', '单价70753元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload72a5d189-8388-4b41-87d7-617652e74126.jpg.296x216.jpg', '九莲新村 大三房 格局舒适 交通便捷 中间楼层', '九莲新村  | 3室1厅 | 80.52平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1987年建板楼  -  九莲', '325万', '单价40363元/平米')
('https://image1.ljcdn.com/330100-inspection/04604d4d-c709-46b1-aaaf-abb4f15854c4.JPG.296x216.jpg', '都市阳光乐苑，毛坯任性装，高楼层采光视野好', '都市阳光乐苑  | 2室2厅 | 62.57平米 | 南 | 毛坯', '高楼层(共27层)暂无数据  -  良渚', '180万', '单价28768元/平米')
('https://image1.ljcdn.com/330100-inspection/35687fb8-c804-4e5f-9eec-4731fb058d06.jpg.296x216.jpg', '满五唯一免双税  地铁房  全明户型', '沈塘新村  | 2室1厅 | 75.79平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1986年建板楼  -  学军', '470万', '单价62014元/平米')
('https://image1.ljcdn.com/330100-inspection/343f6b4e-35d8-435d-8a12-7795f44b2c1a.jpg.296x216.jpg', '哎哟，这是双拼的排屋，西边的有好大的花园，欢迎品鉴', '湖畔花园太子苑   | 双拼别墅 | 4室2厅 | 160.63平米 | 南 北 | 精装 | 无电梯', '2层1997年建暂无数据  -  文一西路', '1050万', '单价65368元/平米')
('https://image1.ljcdn.com/330100-inspection/a43c9d46-39a2-4908-b9a0-d7c07859893f.jpg.296x216.jpg', '桃园新村，四室朝南。两卫精装修东边套,全地暖设计!', '桃园新村  | 4室2厅 | 120.7平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1988年建板楼  -  黄龙', '880万', '单价72909元/平米')
('https://image1.ljcdn.com/330100-inspection/107f12e8-bb67-436b-a463-67c5856088fb.jpg.296x216.jpg', '业主诚心出售  两房朝南户型好 送自行车库', '文三新村  | 3室1厅 | 78.91平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  文三', '535万', '单价67799元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadec926f37-0bde-4b12-bc12-fd5ae6d99152.jpg.296x216.jpg', '景观大三房，前可远眺西湖群山，后可俯瞰小区花园', '西溪诚园知敬苑  | 3室2厅 | 156.27平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2013年建板楼  -  西溪', '1298万', '单价83062元/平米')
('https://image1.ljcdn.com/330100-inspection/1efc1ab8-f8d3-4442-bb60-b078742b6599.jpg.296x216.jpg', '和家园三房户型，环境优美，视野开阔', '坤和和家园  | 3室2厅 | 88.8平米 | 南 北 | 简装 | 有电梯', '中楼层(共14层)2014年建板楼  -  西溪', '420万', '单价47298元/平米')
('https://image1.ljcdn.com/330100-inspection/3d3903ff-5ee9-4bd1-9131-8903885aaa1f.jpg.296x216.jpg', '文鼎苑经典西边套户型3房2卫不沿街。', '耀江文鼎苑  | 3室1厅 | 134.44平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  申花', '830万', '单价61738元/平米')
('https://image1.ljcdn.com/330100-inspection/13cc355b-0f52-484f-9a69-b57f4738d224.jpg.296x216.jpg', '南北双露台 六房三卫 边套结构 价格包含车位一个', '天河西苑  | 6室3厅 | 243.6平米 | 南 | 毛坯 | 有电梯', '高楼层(共8层)2007年建板楼  -  文一西路', '865万', '单价35510元/平米')
