('https://image1.ljcdn.com/330100-inspection/df63673a-b304-46da-a708-6c0f9c85ab3a.jpg.296x216.jpg', '降低身价，只为遇见你，急降40万诚心卖', '钱塘景苑  | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '630万', '单价36735元/平米')
('https://image1.ljcdn.com/330100-inspection/9066a5ba-a002-4c35-aede-67573e985238.JPG.296x216.jpg', '地铁口 loft 采光好  精装修公寓', '东方商务会馆  | 2室1厅 | 39.01平米 | 东 西 | 精装 | 有电梯', '中楼层(共16层)2000年建板楼  -  长河', '123万', '单价31531元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4631a1f7-9f9d-44fd-9ac7-07d9c3e6e701.JPG.296x216.jpg', '江滨澜廷，精装LOFT，两房，绿城物业，智能家居', '江滨澜廷  | 2室2厅 | 42.06平米 | 东 | 精装', '24层2014年建板楼  -  滨江区政府', '270万', '单价64195元/平米')
('https://image1.ljcdn.com/330100-inspection/test-c9fd8473-90d6-41ca-8aa7-440ab33ca3a8.png.296x216.jpg', '精装带地暖 大三房 税费少 业主诚售', '彩虹城  | 3室2厅 | 139.42平米 | 东南 | 精装 | 有电梯', '高楼层(共30层)2007年建板楼  -  彩虹城', '675万', '单价48415元/平米')
('https://image1.ljcdn.com/330100-inspection/198c660e-faac-4e9f-b75b-693733432bb8.JPG.296x216.jpg', '风雅钱塘精装四房改三房。满五唯一', '风雅钱塘  | 4室1厅 | 162.41平米 | 西 | 精装 | 有电梯', '高楼层(共22层)2006年建板楼  -  滨江区政府', '763万', '单价46980元/平米')
('https://image1.ljcdn.com/330100-inspection/225f9292-6590-425b-b958-53820a11a2c7.JPG.296x216.jpg', '新州花苑 2室2厅 460万', '新州花苑  | 2室2厅 | 101.3平米 | 南 北 | 简装 | 有电梯', '高楼层(共14层)2004年建板楼  -  滨江区政府', '460万', '单价45410元/平米')
('https://image1.ljcdn.com/330100-inspection/010af2e1-ff76-4258-b408-067e33f7a2d1.jpg.296x216.jpg', '金盛曼城 满五唯一 东边套 精装', '金盛曼城  | 2室2厅 | 88.38平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2010年建板楼  -  浦沿', '355万', '单价40168元/平米')
('https://image1.ljcdn.com/330100-inspection/59731c79-658b-4298-b2de-a1514ac2a921.jpg.296x216.jpg', '贺田二期高层住宅，自住精装修满五年可见江景户型方正', '贺田尚城  | 3室2厅 | 139平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2003年建板楼  -  浦沿', '560万', '单价40288元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadde7a60c6-f3ae-4dcf-9057-2e5d61bee16c.JPG.296x216.jpg', '精装LOFT公寓   地铁口   4.75米超大空间', '玲珑府  | 3室2厅 | 49.13平米 | 南 | 精装 | 有电梯', '中楼层(共21层)2016年建塔楼  -  西兴', '178万', '单价36231元/平米')
('https://image1.ljcdn.com/330100-inspection/72a47bda-e886-4e68-8a75-3a0bdcc77479.JPG.296x216.jpg', '寰宇天下 丹枫闻涛 高品质两房 看房方便 诚心出售', '寰宇天下  | 2室1厅 | 89平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2014年建板楼  -  滨江区政府', '460万', '单价51686元/平米')
('https://image1.ljcdn.com/330100-inspection/e9e05980-449b-44c7-a4ac-f4dadc6f86c5.JPG.296x216.jpg', '玲珑府 3室1厅 183万', '玲珑府  | 3室1厅 | 51.29平米 | 西 | 精装 | 有电梯', '21层2016年建板楼  -  西兴', '183万', '单价35680元/平米')
('https://image1.ljcdn.com/330100-inspection/56afd819-e2d6-4631-9200-04b8f9ef9522.JPG.296x216.jpg', '绿城小区，此房南北通透，户型格局好，带售车位', '绿城明月江南  | 4室2厅 | 184平米 | 南 北 | 精装 | 有电梯', '低楼层(共24层)2014年建板楼  -  滨江区政府', '1080万', '单价58696元/平米')
('https://image1.ljcdn.com/330100-inspection/dd119dfc-3572-476a-8191-61d645361cb8.jpg.296x216.jpg', '潮人汇 2室1厅 168万', '潮人汇  | 2室1厅 | 80平米 | 南 | 简装 | 有电梯', '高楼层(共21层)板塔结合  -  彩虹城', '168万', '单价21000元/平米')
('https://image1.ljcdn.com/330100-inspection/7e313b5b-504f-406b-a27f-8e9523fe93f0.jpg.296x216.jpg', '业主置换，诚心出售，精装修，看房方便', '钱江湾花园  | 4室2厅 | 166.02平米 | 南 西 | 精装 | 有电梯', '中楼层(共7层)2003年建板楼  -  浦沿', '690万', '单价41562元/平米')
('https://image1.ljcdn.com/330100-inspection/bd237e69-403a-43c4-834d-c92a6db05b8d.jpg.296x216.jpg', '开轩面场圃，把酒话桑麻。彩虹城板块两百多方大露台。', '临江花园  | 4室2厅 | 162.5平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2005年建板楼  -  彩虹城', '766万', '单价47139元/平米')
('https://image1.ljcdn.com/330100-inspection/00cbbc33-8514-4536-9d04-7ec97c5147e9.jpg.296x216.jpg', '观邸国际精装大三房，三房朝南，采光充足，视野开阔', '观邸国际  | 3室2厅 | 131.04平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2008年建板塔结合  -  浦沿', '525万', '单价40065元/平米')
('https://image1.ljcdn.com/330100-inspection/test-495d7900-7f2f-4371-ab04-ac0f361f2e38.png.296x216.jpg', '绿城高品质小区  精装修  中间楼层采光好 带车位', '瑞立中央花城  | 3室2厅 | 139.33平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2009年建板楼  -  滨江区政府', '730万', '单价52394元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload45172e16-c8ef-42d8-90fe-cd56d20b5feb.jpg.296x216.jpg', '150万装修200方露台5个房间一次性价格可谈', '银色港湾公寓  | 5室3厅 | 230.65平米 | 南 北 | 精装 | 有电梯', '高楼层(共16层)2006年建板楼  -  彩虹城', '880万', '单价38154元/平米')
('https://image1.ljcdn.com/330100-inspection/79799568-e3e1-410a-8515-2c8be6c9c8eb.jpg.296x216.jpg', '滨江浦沿精装小三房户型，拎包入住', '星汇荣邸  | 3室1厅 | 89.41平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2011年建板楼  -  浦沿', '375万', '单价41942元/平米')
('https://image1.ljcdn.com/330100-inspection/3ec87b50-d578-406f-9077-703b88394c7e.JPG.296x216.jpg', '拎包入住 。生活方便。 品质之选', '中奥江锦国际  | 1室1厅 | 53.7平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  滨江区政府', '140万', '单价26071元/平米')
('https://image1.ljcdn.com/330100-inspection/8dc13e02-0a3c-4dbf-8824-055e2857acf1.JPG.296x216.jpg', '倾城158经典边套4房，三房南一房北', '倾城之恋  | 4室2厅 | 158.67平米 | 东 | 精装 | 有电梯', '高楼层(共15层)2005年建板楼  -  滨江区政府', '770万', '单价48529元/平米')
('https://image1.ljcdn.com/330100-inspection/8377d10e-37da-473d-b6b9-d0a181017c90.JPG.296x216.jpg', '小区环境优美，满两年，户型方正，精装带车位', '水印城  | 2室1厅 | 62.19平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2008年建板楼  -  长河', '380万', '单价61104元/平米')
('https://image1.ljcdn.com/330100-inspection/768d5770-855c-4d0f-86f9-dedbee19809b.jpg.296x216.jpg', '贺田二期，满五不唯一，全明户型，可做四房！', '贺田尚城  | 4室2厅 | 140.14平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共16层)2003年建板楼  -  浦沿', '528万', '单价37677元/平米')
('https://image1.ljcdn.com/330100-inspection/test-cb1ee3b0-0f7e-4e87-866b-e8a28a7566e0.png.296x216.jpg', '盛元慧谷江景大户型诚心出售，三房全朝南带车位', '盛元慧谷  | 3室2厅 | 158.35平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共40层)2008年建板楼  -  彩虹城', '750万', '单价47364元/平米')
('https://image1.ljcdn.com/330100-inspection/test-9ad29e47-8d55-43f5-b7ef-2f9c36fe0c19.png.296x216.jpg', '东方郡纯西边套赠送3露台采光好', '欣盛东方郡东区  | 2室1厅 | 88.97平米 | 南 西 北 | 简装 | 有电梯', '中楼层(共30层)2009年建板楼  -  滨江区政府', '525万', '单价59009元/平米')
('https://image1.ljcdn.com/330100-inspection/test-eb17dc5e-7744-4658-a0ed-da0b63dd5ca0.png.296x216.jpg', '奥体江景房，可以满两年过户，中高层！', '莱蒙水榭春天  | 4室1厅 | 132.16平米 | 南 | 毛坯 | 有电梯', '中楼层(共32层)2016年建板楼  -  奥体', '800万', '单价60533元/平米')
('https://image1.ljcdn.com/330100-inspection/79c0b3b9-3318-493e-b684-5b58a3707c35.jpg.296x216.jpg', '钱塘江边，朝南小户型，一室一厅，自住装修，满二年', '贺田尚城  | 1室1厅 | 52.44平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  浦沿', '230万', '单价43860元/平米')
('https://image1.ljcdn.com/330100-inspection/eb322bf0-ff9b-4e00-bd0a-9d4edc41317c.JPG.296x216.jpg', '高楼层，大阳台，精装修，四开间朝南，户型方正', '江南豪园  | 3室2厅 | 147.75平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2005年建板塔结合  -  滨江区政府', '720万', '单价48731元/平米')
('https://image1.ljcdn.com/330100-inspection/b35f8ea4-3628-462f-a2e3-26a00d30dc65.jpg.296x216.jpg', '现代印象广场 1室1厅 80万', '现代印象广场  | 1室1厅 | 37.69平米 | 南 | 简装 | 有电梯', '高楼层(共30层)2007年建塔楼  -  彩虹城', '80万', '单价21226元/平米')
('https://image1.ljcdn.com/330100-inspection/test-04708dfe-f782-44fb-a5e1-8a5acf3e1ea5.png.296x216.jpg', '瑞立中央花城 3室2厅 705万', '瑞立中央花城  | 3室2厅 | 139平米 | 南 | 简装 | 有电梯', '高楼层(共30层)2009年建板楼  -  滨江区政府', '705万', '单价50720元/平米')
('https://image1.ljcdn.com/330100-inspection/aa4d168f-7f44-4fe1-a8f4-e00de107f957.JPG.296x216.jpg', '风景蝶院留园 小区中间位置 环境优雅 全明全南户型', '风景蝶院留园  | 2室2厅 | 83.57平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2011年建板楼  -  白马湖', '310万', '单价37095元/平米')
('https://image1.ljcdn.com/330100-inspection/f0cc9c7a-4130-4a2f-b955-5b0815b07235.jpg.296x216.jpg', '全明户型，户型方正，采光充足，三房两卫，精装修', '时代长岛之春  | 3室2厅 | 114.67平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  浦沿', '365万', '单价31831元/平米')
('https://image1.ljcdn.com/330100-inspection/test-1b535fd6-f6bb-4333-8ebf-18f3b58154c0.png.296x216.jpg', '滨文苑 精装修大三房户型方正 边套 厨卫全明 好楼层', '滨文苑  | 3室2厅 | 132.6平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  浦沿', '400万', '单价30166元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload55658417-99de-45ea-ae3a-d81f9f28ffff.JPG.296x216.jpg', '锦绣江南江景西边套，满五年就个个税，自住精装。', '锦绣江南  | 4室2厅 | 174平米 | 南 北 | 精装 | 有电梯', '高楼层(共16层)2008年建板楼  -  长河', '750万', '单价43104元/平米')
('https://image1.ljcdn.com/330100-inspection/8ceb41cf-44a5-49a9-a6dc-6694dbc05f3a.JPG.296x216.jpg', '海威钱塘之星 精装LOFT 拎包入住', '海威钱塘之星  | 3室2厅 | 65平米 | 南 | 精装', '中楼层(共18层)2016年建板楼  -  滨江区政府', '330万', '单价50770元/平米')
('https://image1.ljcdn.com/330100-inspection/a920864d-37d8-446c-9e01-e9903d88d785.JPG.296x216.jpg', '地铁口，精装修，层高4.79LOFT公寓，吃喝玩乐集一体', '星耀城  | 3室1厅 | 61.3平米 | 东 东南 | 精装 | 有电梯', '中楼层(共20层)2014年建板楼  -  滨江区政府', '270万', '单价44046元/平米')
('https://image1.ljcdn.com/330100-inspection/891e8028-e034-44eb-96c3-89f766ca8952.JPG.296x216.jpg', '江南实验 江陵路地铁口 配套齐全四房', '钱塘春晓  | 4室2厅 | 157.02平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2005年建板楼  -  滨江区政府', '710万', '单价45218元/平米')
('https://image1.ljcdn.com/330100-inspection/6928b53c-b907-4573-9d48-9137e097485e.JPG.296x216.jpg', '康康谷 朝南精装修 户型方正配套齐全 交通便利', '中赢康康谷  | 2室1厅 | 45.68平米 | 北 | 精装', '14层2017年建板楼  -  滨江区政府', '200万', '单价43783元/平米')
('https://image1.ljcdn.com/330100-inspection/e17835ae-df83-4a4d-ba68-6ffb5e74a395.JPG.296x216.jpg', '一线江景房，大户型边套满两年，很诚心卖价格可以面谈', '锦绣江南  | 4室2厅 | 191.67平米 | 南 | 简装 | 有电梯', '高楼层(共31层)2008年建板楼  -  长河', '815万', '单价42521元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload98d8e63a-fc10-4908-9797-780a58c5bee6.jpg.296x216.jpg', '盛元慧谷 3室2厅 600万', '盛元慧谷  | 3室2厅 | 142平米 | 南 | 精装 | 有电梯', '34层2008年建板楼  -  彩虹城', '600万', '单价42254元/平米')
('https://image1.ljcdn.com/330100-inspection/21c2a80a-f2d1-437a-993f-c94f75195fd9.jpg.296x216.jpg', '滨江大三房，三开间朝南，带花园', '滨文苑  | 3室2厅 | 117.05平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  浦沿', '333万', '单价28450元/平米')
('https://image1.ljcdn.com/330100-inspection/4371f762-43f9-4309-b4f6-530bae62cb5c.jpg.296x216.jpg', '金盛曼城满五年刚需两房，东边套', '金盛曼城  | 2室2厅 | 88.34平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2010年建板楼  -  浦沿', '340万', '单价38488元/平米')
('https://image1.ljcdn.com/330100-inspection/add2c6af-bb90-4a25-94c5-59ad85d2ffdf.JPG.296x216.jpg', '钱塘春晓 精装3房 满五唯一 保养不错', '钱塘春晓  | 3室2厅 | 146平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2005年建塔楼  -  滨江区政府', '680万', '单价46576元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada70446e7-bf6b-4c03-98b4-03613728f1de.JPG.296x216.jpg', '绿地旭辉城 精装修中楼层 户型方正视野好 拎包入住', '绿地旭辉城  | 4室2厅 | 130平米 | 南 北 | 精装 | 有电梯', '低楼层(共48层)2017年建板楼  -  奥体', '800万', '单价61539元/平米')
('https://image1.ljcdn.com/330100-inspection/6de45000-3e17-4682-90e0-83bcd92f2243.JPG.296x216.jpg', '玲珑府精装修LOFT公寓丨一房户型', '玲珑府  | 1室1厅 | 60.11平米 | 东 | 精装 | 有电梯', '21层2016年建板楼  -  西兴', '190万', '单价31609元/平米')
('https://image1.ljcdn.com/330100-inspection/7fd26bd7-17bb-4d7b-9927-57715a7321e2.JPG.296x216.jpg', '江滨澜庭 精装修 一线江景公寓', '江滨澜廷  | 1室1厅 | 60.85平米 | 北 | 精装', '24层2014年建板楼  -  滨江区政府', '295万', '单价48480元/平米')
('https://image1.ljcdn.com/330100-inspection/5aab6c28-eff3-46f5-864c-ed581e6868ae.jpg.296x216.jpg', '滨江区地铁口 低总价 刚需两房 配套齐全', '金盛曼城  | 2室1厅 | 85.13平米 | 南 | 简装 | 有电梯', '低楼层(共27层)2010年建板楼  -  浦沿', '328万', '单价38530元/平米')
('https://image1.ljcdn.com/330100-inspection/bc6f7581-6cad-4ee3-bb05-172d4cad049e.JPG.296x216.jpg', '星光国际公馆  精装修中高层 光线视野好', '星光国际公馆  | 3室2厅 | 127.67平米 | 西南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  滨江区政府', '320万', '单价25065元/平米')
('https://image1.ljcdn.com/330100-inspection/83f2fbd9-072b-44a6-8042-986562f7f731.JPG.296x216.jpg', '绿城品质，大户型东边套，看小区内景色', '绿城明月江南  | 4室2厅 | 179平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2014年建板楼  -  滨江区政府', '1150万', '单价64246元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload59c247d6-25ea-4a96-9676-f7649b7d9854.jpg.296x216.jpg', '70年产权，高新实验，滨江宝龙城旁，户型方正', '龙禧大酒店  | 2室1厅 | 79.97平米 | 北 | 简装 | 有电梯', '中楼层(共28层)2003年建板楼  -  彩虹城', '265万', '单价33138元/平米')
('https://image1.ljcdn.com/330100-inspection/86f592be-5cae-41c0-8784-bdbe5e5c31c8.JPG.296x216.jpg', '价格合适，开发商统一精装修，业主诚心出售', '汉峰峰公馆  | 1室1厅 | 57.65平米 | 东 | 精装 | 有电梯', '高楼层(共22层)2013年建板楼  -  滨江区政府', '178万', '单价30876元/平米')
('https://image1.ljcdn.com/330100-inspection/d326bcc7-813a-4b6f-a301-7bc9ec638904.JPG.296x216.jpg', '温馨人家，滨和路地铁口400米，3房朝南，双阳台。', '温馨人家  | 3室2厅 | 144.68平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2005年建板楼  -  滨江区政府', '650万', '单价44927元/平米')
('https://image1.ljcdn.com/330100-inspection/9ffc1b3d-f9ae-4fcc-9b70-91c12b16ace8.JPG.296x216.jpg', '缤纷小区三房，楼层好，视野宽阔。', '缤纷小区  | 3室2厅 | 125.65平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2004年建板楼  -  滨江区政府', '465万', '单价37008元/平米')
('https://image1.ljcdn.com/330100-inspection/c393fc50-8b6a-4c01-b8ca-cb37ec7b8d93.JPG.296x216.jpg', '迎春南苑 3室2厅 418万', '迎春南苑  | 3室2厅 | 125.1平米 | 南 | 简装 | 有电梯', '中楼层(共16层)2000年建板楼  -  西兴', '418万', '单价33414元/平米')
('https://image1.ljcdn.com/330100-inspection/d0a36efc-d24a-4969-ba35-aac0c557fbdd.JPG.296x216.jpg', 'loft精装，楼层好视野宽阔，楼下便是综合体', '兴耀鑫都汇  | 2室1厅 | 49.14平米 | 西 | 简装', '高楼层(共20层)2016年建板楼  -  西兴', '179万', '单价36427元/平米')
('https://image1.ljcdn.com/330100-inspection/test-325fa439-263e-4bce-8c25-a95211bf351f.png.296x216.jpg', '彩虹城四房户型，南北通透，可望江景，自住精装修。', '彩虹城  | 4室2厅 | 146.93平米 | 南 北 | 精装 | 有电梯', '高楼层(共25层)2006年建板楼  -  彩虹城', '700万', '单价47642元/平米')
('https://image1.ljcdn.com/330100-inspection/test-d8c1547f-60d9-4ef8-b766-60bad42db7a0.png.296x216.jpg', '寰宇天下新上优质好房！西边套，可看江景！', '寰宇天下  | 2室2厅 | 89.21平米 | 南 北 | 简装 | 有电梯', '高楼层(共34层)2014年建板楼  -  滨江区政府', '460万', '单价51564元/平米')
('https://image1.ljcdn.com/330100-inspection/03cae8e1-c47a-43a4-ad0f-f7a6f36aa107.jpg.296x216.jpg', '精装修江景房 彩虹城平层四房，家电家具都送。', '彩虹城  | 4室2厅 | 202.88平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2007年建板楼  -  彩虹城', '970万', '单价47812元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4137b6d9-f673-4827-87c9-f2af681a1000.JPG.296x216.jpg', '精装公寓房，配套成熟，滨江区政府板块', '中奥江锦国际  | 1室1厅 | 54平米 | 西 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '140万', '单价25926元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4984b09e-8d62-481f-a691-caeae05b9840.JPG.296x216.jpg', '江南实验本部  自住30万精装修 诚心出售 看房方便！！', '江南豪园  | 2室2厅 | 111.59平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  滨江区政府', '520万', '单价46600元/平米')
('https://image1.ljcdn.com/330100-inspection/896d0b0a-f69c-492e-96f2-b0c15deecae1.jpg.296x216.jpg', '彩虹城大户型诚心出售看房方便值得拥有', '彩虹城  | 4室2厅 | 202平米 | 西南 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  彩虹城', '1010万', '单价50000元/平米')
('https://image1.ljcdn.com/330100-inspection/ffdb9749-c9e2-4b67-8959-4253cdc05d98.JPG.296x216.jpg', '半岛国际精装40万，三房两卫，诚心出售', '半岛国际  | 3室2厅 | 86.7平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2014年建板楼  -  长河', '530万', '单价61131元/平米')
('https://image1.ljcdn.com/330100-inspection/5eb518b0-7371-4347-a3cb-c1019e54dd05.jpg.296x216.jpg', '精装大三房，满五年，房东诚售看房方便', '临江花园  | 3室1厅 | 151平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  彩虹城', '550万', '单价36424元/平米')
('https://image1.ljcdn.com/330100-inspection/test-86e7e135-2533-4bd6-a029-3764a9b7033b.png.296x216.jpg', '欣盛东方郡 满五年唯一  中间楼层  诚心出售', '欣盛东方郡东区  | 2室2厅 | 88.61平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2009年建板楼  -  滨江区政府', '500万', '单价56428元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadaf9247cc-9ea1-4940-b741-2df972c6cbb7.JPG.296x216.jpg', '长河商厦 3室2厅 380万', '长河商厦  | 3室2厅 | 116平米 | 南 西 | 精装 | 有电梯', '高楼层(共11层)2010年建板楼  -  白马湖', '380万', '单价32759元/平米')
('https://image1.ljcdn.com/330100-inspection/test-fe5700d3-c3f7-4f7a-b531-9d21c4fe8782.png.296x216.jpg', '风景蝶院 经典子套户型 高楼层视野开阔 精装修 诚售', '风景蝶院留园  | 2室1厅 | 55.19平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2011年建板楼  -  白马湖', '245万', '单价44393元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload82bf28f6-1b0c-41f7-a2f0-e1825231eba0.JPG.296x216.jpg', '房子满五年  小区环境优美 诚心出售', '江南豪园  | 2室2厅 | 111.59平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2005年建板楼  -  滨江区政府', '558万', '单价50005元/平米')
('https://image1.ljcdn.com/330100-inspection/31cf4280-95cc-4b10-b558-c6832eb77f04.JPG.296x216.jpg', '绿城品质 满两年有车位 开发商精装 楼层好', '绿城明月江南  | 3室2厅 | 161.25平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2014年建板楼  -  滨江区政府', '960万', '单价59535元/平米')
('https://image1.ljcdn.com/330100-inspection/204c7999-6707-494f-bc24-5ae4b16f87bf.jpg.296x216.jpg', '白马湖小区，次新房三房一卫，纯毛坯送车位，看房方便', '中南白马湖壹号  | 3室2厅 | 80.88平米 | 南 北 | 毛坯', '低楼层(共18层)2017年建板楼  -  白马湖', '290万', '单价35856元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload42162b52-717f-4db2-b065-330865087854.jpg.296x216.jpg', '东和云第 精装修三房 中间楼层采光充足 满两年', '东和云第  | 3室2厅 | 87.08平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2014年建板楼  -  浦沿', '355万', '单价40768元/平米')
('https://image1.ljcdn.com/330100-inspection/343de5a3-7888-4235-a964-95c543f5da24.jpg.296x216.jpg', '配套齐全 ，房东诚心出售，看房方便', '彩虹城  | 4室2厅 | 162.37平米 | 南 | 简装 | 有电梯', '低楼层(共10层)2007年建板楼  -  彩虹城', '718万', '单价44220元/平米')
('https://image1.ljcdn.com/330100-inspection/1a778c75-f49c-4c3d-b2af-1972b8061524.JPG.296x216.jpg', '龙湖朝南户型，楼层好 ， 奥体旁', '龙湖春江彼岸  | 4室2厅 | 159.11平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2015年建板楼  -  奥体', '960万', '单价60336元/平米')
('https://image1.ljcdn.com/330100-inspection/308f2829-bc1a-4b27-87bb-b808ca595cf3.jpg.296x216.jpg', '经典小三房，全明户型，刚需好房！', '星汇荣邸  | 3室1厅 | 87.16平米 | 南 | 精装 | 有电梯', '中楼层(共29层)2011年建板楼  -  浦沿', '345万', '单价39583元/平米')
('https://image1.ljcdn.com/330100-inspection/c208b8b3-a490-46e9-95be-abf03412de73.JPG.296x216.jpg', '中怏空调地暖 精装60万 高楼层 滨和站地铁口！', '瑞立中央花城  | 4室1厅 | 139.35平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2009年建板楼  -  滨江区政府', '749万', '单价53750元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload97c376b1-5144-451f-a215-3b539a97320f.JPG.296x216.jpg', '开发商精装修loft公寓，可拎入住。', '海威钱塘之星  | 2室3厅 | 66.8平米 | 南 | 精装', '高楼层(共18层)2016年建板楼  -  滨江区政府', '367万', '单价54941元/平米')
('https://image1.ljcdn.com/330100-inspection/6b05018a-e712-4c71-ae24-8e8154d52ba0.jpg.296x216.jpg', '钱塘帝景经典户型 好楼层 视野开阔', '钱塘帝景  | 5室1厅 | 252平米 | 南 | 毛坯 | 有电梯', '高楼层(共45层)2013年建板楼  -  彩虹城', '1450万', '单价57540元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4d26f184-f401-4ab9-bead-e84c8abe53c4.JPG.296x216.jpg', '倾城之恋 4室2厅 768万', '倾城之恋  | 4室2厅 | 160.12平米 | 西 | 精装 | 有电梯', '低楼层(共15层)2005年建板塔结合  -  滨江区政府', '768万', '单价47965元/平米')
('https://image1.ljcdn.com/330100-inspection/072ab119-a03e-4790-8800-0d0b2a8fce00.jpg.296x216.jpg', '户型方正两房  总价低  可落户  诚心出售', '超级星期天  | 2室2厅 | 72平米 | 南 | 精装 | 有电梯', '低楼层(共13层)2008年建板楼  -  浦沿', '270万', '单价37500元/平米')
('https://image1.ljcdn.com/330100-inspection/d8cc7f18-d244-4170-97a2-a1e290396fde.jpg.296x216.jpg', '白马湖壹号房东诚心出售，未满2年，毛坯，户型方正', '中南白马湖壹号  | 3室2厅 | 79.83平米 | 南 | 毛坯', '中楼层(共18层)2017年建板楼  -  白马湖', '275万', '单价34449元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload4dc915db-0c23-4dd7-a102-23b2f5baf64e.JPG.296x216.jpg', '绿城品质 199方四房全明大户型西边套 质量生活', '绿城明月江南  | 4室2厅 | 199.76平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2014年建板楼  -  滨江区政府', '1270万', '单价63577元/平米')
('https://image1.ljcdn.com/330100-inspection/4126d7f4-b31b-40c3-b370-8b743288eeaa.jpg.296x216.jpg', '滨江多层的两房得房率高，自住精装', '时代长岛之春  | 2室2厅 | 80.92平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  浦沿', '315万', '单价38928元/平米')
('https://image1.ljcdn.com/330100-inspection/test-700be0d5-48a9-4333-b1e1-222e07a72bb1.png.296x216.jpg', '此房户型方正，满两年一线江景房，看房有钥匙', '中海钱塘山水  | 3室1厅 | 89平米 | 南 | 简装 | 有电梯', '低楼层(共34层)2009年建板楼  -  浦沿', '420万', '单价47192元/平米')
('https://image1.ljcdn.com/330100-inspection/3f933e10-ffb5-4c7e-8de2-e6a1165f8ca4.jpg.296x216.jpg', '新上 一线江景 纯毛坯 西边套 全明户型 仅此一套', '太阳国际公寓  | 4室2厅 | 175.75平米 | 南 西 北 | 毛坯 | 有电梯', '高楼层(共31层)2007年建板楼  -  彩虹城', '800万', '单价45520元/平米')
('https://image1.ljcdn.com/330100-inspection/test-afcd805d-64de-413b-a5c9-407086275c45.png.296x216.jpg', '江南文苑 2室2厅 360万', '江南文苑  | 2室2厅 | 87平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  浦沿', '360万', '单价41380元/平米')
