('https://image1.ljcdn.com/210200-inspection/77c04763-38bb-4103-afb3-4104b70b0036.jpg.296x216.jpg', '金润三室 前后带院 门头已开好 位置好 适宜居住', '金润小区B区  | 3室1厅 | 102.18平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2010年建板楼  -  金润', '90万', '单价8808元/平米')
('https://image1.ljcdn.com/210200-inspection/1d9f17dc-4521-4d88-9514-329c523a2538.jpg.296x216.jpg', '连大文润金宸一二期 3室2厅 170万', '连大文润金宸一二期  | 3室2厅 | 121平米 | 南 北 | 精装 | 有电梯', '低楼层(共7层)2010年建板楼  -  连大', '170万', '单价14050元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadc5998342-6e6c-481b-8a9d-695158464610.jpg.296x216.jpg', '古城甲区三室两厅简单装修拎包入住', '古城甲区  | 3室2厅 | 113.7平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  古城汇金', '80万', '单价7037元/平米')
('https://image1.ljcdn.com/210200-inspection/a40268c0-32fd-49d4-bf50-c45a225a31c0.jpg.296x216.jpg', '金润多层一楼精装修大三室带花园拎包入住南北通厅', '金润小区A区  | 3室2厅 | 137.6平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  金润', '150万', '单价10902元/平米')
('https://image1.ljcdn.com/210200-inspection/2066b894-a92a-4336-9d20-99edef762a7a.jpg.296x216.jpg', '南北通透，楼层好，精装修 ，101 ，实验', '劳动局小区  | 2室2厅 | 109平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  光明', '88万', '单价8074元/平米')
('https://image1.ljcdn.com/210200-inspection/0a3898a3-d06a-4b8a-ad65-402855dd23fd.jpg.296x216.jpg', '胜利西小区，84平二室二厅，南北通透，送仓房', '胜利西小区  | 3室1厅 | 84.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  光明', '62万', '单价7364元/平米')
('https://image1.ljcdn.com/210200-inspection/3531ed2a-04b1-4ba5-a93e-b04b1b71bcf7.jpg.296x216.jpg', '育才小区 2室1厅 63.5万', '育才小区  | 2室1厅 | 80平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1989年建板楼  -  光明', '63.5万', '单价7938元/平米')
('https://image1.ljcdn.com/210200-inspection/b67a2a65-767a-485c-9459-daf545aa5348.jpg.296x216.jpg', '站前精装修 楼层好  采光充足  户型好 大户型居家之选', '盛滨花园D区  | 9室1厅 | 237平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2004年建塔楼  -  站前', '146万', '单价6161元/平米')
('https://image1.ljcdn.com/210200-inspection/00bb6e6c-db66-4a88-b793-2a4e9b00ee9c.jpg.296x216.jpg', '碧海尚城 南北通厅三居室精装修 楼层好', '碧海尚城  | 3室2厅 | 140平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2007年建板楼  -  碧海', '136万', '单价9715元/平米')
('https://image1.ljcdn.com/210200-inspection/13329cf3-0a60-4206-bef3-11d147f41f59.jpg.296x216.jpg', '东林世家 5室2厅 158万', '东林世家  | 5室2厅 | 120平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共19层)2008年建塔楼  -  碧海', '158万', '单价13167元/平米')
('https://image1.ljcdn.com/210200-inspection/122647a2-c5a2-4081-bf10-dd31f270aa70.jpg.296x216.jpg', '八一路小区，春华112，低楼层，通厅通透，停车不收费', '八一路小区  | 2室2厅 | 80.6平米 | 南 北 | 简装', '低楼层(共3层)暂无数据  -  古城汇金', '51万', '单价6328元/平米')
('https://image1.ljcdn.com/210200-inspection/c63724e6-ad53-4346-96c1-840bc91f19cb.jpg.296x216.jpg', '金华小区二期 2室1厅 46万', '金华小区二期  | 2室1厅 | 72.6平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2006年建板楼  -  金华', '46万', '单价6337元/平米')
('https://image1.ljcdn.com/210200-inspection/7afcedde-3072-4b0e-a6fe-e2bbe58448d8.jpg.296x216.jpg', '东才苑精装修婚房，采光好，外扩10多平，送仓房', '东才苑  | 2室1厅 | 86.57平米 | 南 北 | 精装', '高楼层(共6层)1999年建板楼  -  古城汇金', '67万', '单价7740元/平米')
('https://image1.ljcdn.com/210200-inspection/39eaf375-18c8-4e65-9d1c-1e75b75b2a71.jpg.296x216.jpg', '自然天城B区 2室1厅 41万', '自然天城B区  | 2室1厅 | 55.42平米 | 西北 | 简装 | 有电梯', '中楼层(共28层)2010年建板楼  -  金纺', '41万', '单价7399元/平米')
('https://image1.ljcdn.com/210200-inspection/54ad1b44-ca85-4efe-ba9a-88947cf8ffc6.jpg.296x216.jpg', '东林世家 3室1厅 152万', '东林世家  | 3室1厅 | 81.6平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2008年建塔楼  -  碧海', '152万', '单价18628元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload82dcc1c8-c93a-45e7-8276-c825d54cbffa.jpg.296x216.jpg', '德泰岭秀逸城三室热卖户型，精装修，拎包入住，急售', '德泰岭秀逸城B区  | 3室2厅 | 131.49平米 | 南 北 | 精装 | 有电梯', '中楼层(共34层)2013年建板楼  -  桃园', '140万', '单价10648元/平米')
('https://image1.ljcdn.com/210200-inspection/5fe1cc10-400b-47f8-b086-1217a2262342.jpg.296x216.jpg', '金色阳光 2室2厅 75万', '金色阳光  | 2室2厅 | 86.76平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  金纺', '75万', '单价8645元/平米')
('https://image1.ljcdn.com/210200-inspection/a976b55e-4b56-48a4-a06d-947679165553.jpg.296x216.jpg', '通透户型 中间楼层 采光充足 交通便利 配套完', '金润小区B区  | 2室2厅 | 89.61平米 | 东 西 | 简装 | 无电梯', '高楼层(共6层)2010年建板楼  -  金润', '69万', '单价7701元/平米')
('https://image1.ljcdn.com/210200-inspection/8335cdcf-3653-455d-8eee-e9308c6e25a0.jpg.296x216.jpg', '此所在位置繁华，步行街 向应广场西侧', '金华小区一期  | 2室2厅 | 112.3平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2003年建板楼  -  金华', '84万', '单价7480元/平米')
('https://image1.ljcdn.com/210200-inspection/19abe39b-7ec1-4620-9713-c5072beb73fc.jpg.296x216.jpg', '光明商圈 劳动局小区 南北通透南客厅 大阳台采光充足', '劳动局小区  | 2室1厅 | 124.5平米 | 东 南 北 | 简装 | 无电梯', '中楼层(共8层)1999年建板楼  -  光明', '120万', '单价9639元/平米')
('https://image1.ljcdn.com/210200-inspection/721c458f-0004-421b-b562-13390eb2a71b.jpg.296x216.jpg', '凤凰山花园2室1厅采光好南向位置好', '凤凰山花园  | 2室1厅 | 66.54平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  桃园', '72.5万', '单价10896元/平米')
('https://image1.ljcdn.com/210200-inspection/4f847d78-c178-4539-8404-2ec3b116d0f1.jpg.296x216.jpg', '现代雅筑 站前商圈 两室一厅精装修中高楼层视野采光好', '现代雅筑  | 2室1厅 | 72.58平米 | 南 西 | 精装 | 有电梯', '高楼层(共30层)2009年建板楼  -  站前', '52万', '单价7165元/平米')
('https://image1.ljcdn.com/210200-inspection/48a72ee7-06ab-4031-8be9-03dedfd7f0d3.jpg.296x216.jpg', '恒达花园多层带电梯送超大阁楼精装修', '恒达花园  | 6室2厅 | 142.78平米 | 南 北 | 精装 | 有电梯', '高楼层(共7层)2006年建板楼  -  金华', '128万', '单价8965元/平米')
('https://image1.ljcdn.com/210200-inspection/a8616ba1-7854-4c39-80b6-0e87c4b6251e.jpg.296x216.jpg', '龙祥嘉园 2室2厅 71.5万', '龙祥嘉园  | 2室2厅 | 89.9平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2000年建板楼  -  金华', '71.5万', '单价7954元/平米')
('https://image1.ljcdn.com/210200-inspection/3bca5d33-ac0d-4411-9397-6417360e63a1.jpg.296x216.jpg', '新辉小区 2室1厅 56万', '新辉小区  | 2室1厅 | 64平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  古城汇金', '56万', '单价8750元/平米')
('https://image1.ljcdn.com/210200-inspection/5467d8c0-0ef2-4b3f-af13-be968bb0baa5.jpg.296x216.jpg', '五一路旁 繁华地脚 框架房  房主诚心出售 价位可议', '金纺小区  | 2室1厅 | 67.98平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  金纺', '41万', '单价6032元/平米')
('https://image1.ljcdn.com/210200-inspection/959082ad-81df-4708-8fae-a9e5ffeef524.jpg.296x216.jpg', '两室南北通厅 户型  精装修 拎包入住', '胜利西小区  | 2室2厅 | 117平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板楼  -  光明', '100万', '单价8548元/平米')
('https://image1.ljcdn.com/210200-inspection/c05bf5db-4afe-4311-b366-eb4056c79bf7.jpg.296x216.jpg', '民馨小区金润商圈，南北通透户型好。精装修拎包入住。', '民馨小区  | 2室1厅 | 56.23平米 | 南 | 精装', '低楼层(共7层)暂无数据  -  金润', '50万', '单价8893元/平米')
('https://image1.ljcdn.com/210200-inspection/f8a2b2f3-585e-402e-9165-c11a009dbe82.jpg.296x216.jpg', '小区位置好，视野开阔，户型正南北向', '悦泰山里  | 2室1厅 | 49.88平米 | 南 北 | 精装 | 有电梯', '中楼层(共16层)2009年建板楼  -  古城汇金', '75万', '单价15037元/平米')
('https://image1.ljcdn.com/210200-inspection/03f1bb5b-a941-4de3-9a35-33962811bc82.jpg.296x216.jpg', '生辉第一城 2室1厅 57万', '生辉第一城  | 2室1厅 | 47.5平米 | 南 | 简装 | 有电梯', '高楼层(共18层)2007年建板楼  -  城润', '57万', '单价12000元/平米')
('https://image1.ljcdn.com/210200-inspection/e9ca020c-9be2-4d86-a073-3346da296e3a.jpg.296x216.jpg', '金莲怡园 三室两厅一卫 阁楼 赠送两个卧室般大阳台', '金莲怡园  | 3室2厅 | 83.9平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  金纺', '70万', '单价8344元/平米')
('https://image1.ljcdn.com/210200-inspection/3ffee74e-d0db-4ee0-af95-faa56a79264c.jpg.296x216.jpg', '南北通厅通透经典户型，小区环境干净整洁。', '民馨小区  | 2室1厅 | 83.35平米 | 南 北 | 简装', '中楼层(共7层)暂无数据  -  金润', '66万', '单价7919元/平米')
('https://image1.ljcdn.com/210200-inspection/e9f2d451-00c0-4bb2-bb78-437b84317271.jpg.296x216.jpg', '金华小区，南北向两室，交通便利', '金华小区二期  | 2室2厅 | 96.19平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2006年建板楼  -  金华', '68万', '单价7070元/平米')
('https://image1.ljcdn.com/210200-inspection/f844f577-80ba-4ea9-8b80-f4502b826784.jpg.296x216.jpg', '为你而选，为你选家！为你为家！', '金华小区一期  | 2室1厅 | 98.4平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2003年建板楼  -  金华', '78万', '单价7927元/平米')
('https://image1.ljcdn.com/210200-inspection/test-5f48b926-e672-49c3-9c3d-be2cd586f8eb.png.296x216.jpg', '瀛海金洲南向两室户型，简单装修 较低楼层', '瀛海金洲  | 2室1厅 | 79.31平米 | 南 | 简装', '低楼层(共32层)2012年建板楼  -  南棉', '70万', '单价8827元/平米')
('https://image1.ljcdn.com/210200-inspection/f0742a0c-f2b1-46a6-aa2b-70dca57343e0.jpg.296x216.jpg', '伟桥金北嘉园 2室1厅 66万', '伟桥金北嘉园  | 2室1厅 | 83.24平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2012年建板楼  -  古城汇金', '66万', '单价7929元/平米')
('https://image1.ljcdn.com/210200-inspection/94e6139d-ae86-4b87-a3e3-ef15bedd53f3.jpg.296x216.jpg', '天鸿展视界 2室1厅 52万', '天鸿展视界  | 2室1厅 | 73.44平米 | 南 | 简装', '中楼层(共33层)板楼  -  古城汇金', '52万', '单价7081元/平米')
('https://image1.ljcdn.com/210200-inspection/a3be533d-027c-4140-a2a0-b67c20ebc18a.jpg.296x216.jpg', '盛滨花园B区三室房子，精装修，拎包入住', '盛滨花园B区  | 3室1厅 | 119.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  站前', '86万', '单价7214元/平米')
('https://image1.ljcdn.com/210200-inspection/5a179d35-c196-4676-a4dc-efae2da2e08c.jpg.296x216.jpg', '华夏金城多层的好房子！！！！！！！！', '华夏金城  | 3室2厅 | 112.09平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2008年建板楼  -  古城汇金', '123万', '单价10974元/平米')
('https://image1.ljcdn.com/210200-inspection/3ee06328-759e-4d2c-97da-72dcbc73decc.jpg.296x216.jpg', '鸿玮澜山二期 3室2厅 215万', '鸿玮澜山二期  | 3室2厅 | 119.24平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2015年建板楼  -  桃园', '215万', '单价18031元/平米')
('https://image1.ljcdn.com/210200-inspection/9ebda1aa-06dd-4029-936b-0d7f2d2f9c32.jpg.296x216.jpg', '南金书院交通便利配套齐全繁华地段 两室采光视野好', '桃园小区  | 2室1厅 | 71平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  桃园', '46万', '单价6479元/平米')
('https://image1.ljcdn.com/210200-inspection/ab86a408-5d73-4964-b382-01978b4c6a73.jpg.296x216.jpg', '芙蓉花园（金州） 2室1厅 110万', '芙蓉花园（金州）  | 2室1厅 | 88.89平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2007年建板楼  -  光明', '110万', '单价12375元/平米')
('https://image1.ljcdn.com/210200-inspection/8cf239a5-d28c-406e-a9f1-cb364f85b4e4.jpg.296x216.jpg', '两室两厅 户型好 南客厅 大阳台 采光好', '劳动局小区  | 2室2厅 | 90平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  光明', '59万', '单价6556元/平米')
('https://image1.ljcdn.com/210200-inspection/ce0edbe6-ac08-4872-84c0-a4873f1afb7a.jpg.296x216.jpg', '胜利小区 2室1厅 52万', '胜利小区  | 2室1厅 | 62平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  光明', '52万', '单价8388元/平米')
('https://image1.ljcdn.com/210200-inspection/e951488f-a4fc-4f9f-926f-e4514b612c5f.jpg.296x216.jpg', '生辉跃层，得房面积高，交通便利，', '生辉第一城  | 2室1厅 | 44平米 | 西 北 | 精装 | 有电梯', '高楼层(共18层)2007年建板楼  -  城润', '56万', '单价12728元/平米')
('https://image1.ljcdn.com/210200-inspection/869a7f96-e79c-4715-92e6-08469a29d69f.jpg.296x216.jpg', '桃园小区 1室1厅 33万', '桃园小区  | 1室1厅 | 49.33平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  桃园', '33万', '单价6690元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload67cc60fa-d590-43fc-a06d-d542572c254f.jpg.296x216.jpg', '近金发地，配套成熟，婚前小卧居刚需，视野采光好', '金地新里程  | 1室1厅 | 47.27平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2010年建板楼  -  城润', '32万', '单价6770元/平米')
('https://image1.ljcdn.com/210200-inspection/7842c453-dbb4-427e-9142-5ee46973ff48.jpg.296x216.jpg', '民馨小区 2室1厅 40万', '民馨小区  | 2室1厅 | 59.3平米 | 南 | 其他', '低楼层(共9层)暂无数据  -  金润', '40万', '单价6746元/平米')
('https://image1.ljcdn.com/210200-inspection/test-2d8ebb4c-61dc-4b47-a8ff-4d1ef49639e4.png.296x216.jpg', '花园小区 2室1厅 44万', '花园小区  | 2室1厅 | 53.9平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  碧海', '44万', '单价8164元/平米')
('https://image1.ljcdn.com/210200-inspection/27a1c6c6-0b37-4af3-afbd-4b7286058103.jpg.296x216.jpg', '金海嘉园 219 号楼   温馨 采光好', '金海嘉园  | 2室1厅 | 59.82平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2008年建板楼  -  金纺', '55万', '单价9195元/平米')
('https://image1.ljcdn.com/210200-inspection/88681bab-5403-4aa3-a1f8-85432d30e958.jpg.296x216.jpg', '康居小区 精装婚房 2室一厅 送仓房', '康居小区  | 2室1厅 | 65.63平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  金润', '44万', '单价6705元/平米')
('https://image1.ljcdn.com/210200-inspection/95c9bafd-5c21-47db-bd2a-541ecd212158.jpg.296x216.jpg', '拥军小区 2室2厅 65万', '拥军小区  | 2室2厅 | 89.84平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  光明', '65万', '单价7236元/平米')
('https://image1.ljcdn.com/210200-inspection/81fc9412-7a63-49a4-b7e8-67c3f53ce02d.jpg.296x216.jpg', '新希望乐城3室好房 赠送近30平米 精装修交付', '新希望乐城  | 3室1厅 | 89平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2015年建板楼  -  城润', '109万', '单价12248元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload066b5e53-2f81-483b-ac15-10ef99a591c3.jpg.296x216.jpg', '自然天城2室1厅1厨1卫采光好电梯楼', '自然天城B区  | 2室1厅 | 51.56平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2010年建板楼  -  金纺', '43万', '单价8340元/平米')
('https://image1.ljcdn.com/210200-inspection/beeec487-9216-4a6c-b936-9cd0e3b068fe.jpg.296x216.jpg', '精装修，中间楼层，无遮挡，视野宽广。', '鑫海阳光  | 2室1厅 | 102.84平米 | 南 西 北 | 精装 | 有电梯', '高楼层(共28层)2010年建板楼  -  金纺', '90万', '单价8752元/平米')
('https://image1.ljcdn.com/210200-inspection/02afbf2a-4df2-4a0d-8601-c93562e29796.jpg.296x216.jpg', '金州框架2楼精装修拎包入住南北通透好房子', '百畅园  | 2室1厅 | 76.11平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2010年建板楼  -  碧海', '57万', '单价7490元/平米')
('https://image1.ljcdn.com/210200-inspection/2a785391-c33a-44d6-b238-5c1324fac92b.jpg.296x216.jpg', '金海嘉园 中间楼层 五一路沿线 轻轨站旁', '金海嘉园  | 2室1厅 | 68.25平米 | 南 | 简装 | 有电梯', '高楼层(共28层)2007年建板楼  -  金纺', '58万', '单价8499元/平米')
('https://image1.ljcdn.com/210200-inspection/9c099e55-7e16-4c3c-9d36-b1a02fe56869.jpg.296x216.jpg', '宏意小区，多层框架楼，精装修，南北通透', '宏意小区  | 3室2厅 | 131.65平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2009年建板楼  -  金华', '82万', '单价6229元/平米')
('https://image1.ljcdn.com/210200-inspection/b863d7e3-0030-4c3d-9be4-46d46cb4d95d.jpg.296x216.jpg', '康居小区 2室1厅 50万', '康居小区  | 2室1厅 | 65.02平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2005年建板楼  -  金润', '50万', '单价7690元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadb2a49058-3bb6-446a-8f3d-961baf9c58e5.jpg.296x216.jpg', '采光充足    中间楼层    带仓房', '聚鑫小区一期  | 2室1厅 | 53.5平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1994年建板楼  -  金纺', '41万', '单价7664元/平米')
('https://image1.ljcdn.com/210200-inspection/933bb87a-d635-4724-98f3-3a73d9cdb181.jpg.296x216.jpg', '古城天下 1室1厅 28.5万', '古城天下  | 1室1厅 | 41.09平米 | 南 | 其他 | 有电梯', '中楼层(共16层)2004年建板楼  -  古城汇金', '28.5万', '单价6936元/平米')
('https://image1.ljcdn.com/210200-inspection/7eccfab8-2b23-406c-9043-f0b99f54efed.jpg.296x216.jpg', '瀛海金洲 两室一厅 南客厅 主卧带阳台 中间层采光好', '瀛海金洲  | 2室1厅 | 73.46平米 | 南 | 简装', '高楼层(共29层)2012年建板楼  -  南棉', '65万', '单价8849元/平米')
('https://image1.ljcdn.com/210200-inspection/293ff1ff-fd48-46bd-912e-526be95ec90e.jpg.296x216.jpg', '金地新里程 两室一厅 精装修  南北两室', '金地新里程  | 2室1厅 | 73.04平米 | 南 北 | 其他 | 有电梯', '高楼层(共24层)2008年建板楼  -  城润', '59万', '单价8078元/平米')
('https://image1.ljcdn.com/210200-inspection/68ddb77a-ae43-4d85-80e7-16726c35d8b9.jpg.296x216.jpg', '金源花园小区，顶楼复式户型，看好可议', '金源花园小区  | 3室1厅 | 105.91平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  站前', '61万', '单价5760元/平米')
('https://image1.ljcdn.com/210200-inspection/9d30a1f4-8ca6-48fb-ac06-1aa3be83aa03.jpg.296x216.jpg', '此房采光充，精装修，框架楼。坡上的房子', '桂林小区  | 2室1厅 | 68.15平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2006年建板楼  -  古城汇金', '42万', '单价6163元/平米')
('https://image1.ljcdn.com/210200-inspection/15b8affa-c203-47ca-991e-2bdad7492c29.jpg.296x216.jpg', '为你而选，为你选家！为你为家！', '金园新村  | 2室1厅 | 90.44平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  金华', '63万', '单价6966元/平米')
('https://image1.ljcdn.com/210200-inspection/cb54c176-5da7-4225-b366-3f8e7fcb7fd1.jpg.296x216.jpg', '光明现代城 2室1厅 67.5万', '光明现代城  | 2室1厅 | 86.51平米 | 南 北 | 精装', '中楼层(共5层)2004年建板楼  -  站前', '67.5万', '单价7803元/平米')
('https://image1.ljcdn.com/210200-inspection/951073c6-4fee-4f5f-81a7-80299ca02e05.jpg.296x216.jpg', '多层框架 装修良好南北通厅格局 采光充足视野宽阔', '金润小区A区  | 2室2厅 | 87.5平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  金润', '78万', '单价8915元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload88dc92cb-730b-4c89-a948-92fb2fe0d37e.jpg.296x216.jpg', '三室两厅带阳台，采光好，视野宽阔，毛坯房，配套成熟', '瑞栢中心  | 3室1厅 | 120.39平米 | 南 北 | 毛坯', '中楼层(共30层)2017年建板楼  -  连大', '140万', '单价11629元/平米')
('https://image1.ljcdn.com/210200-inspection/0714bab6-ca8e-464e-bdf1-a602a73142be.jpg.296x216.jpg', '金座商厦，两室两厅，中间楼层，成熟配套', '金座商厦  | 2室2厅 | 93.8平米 | 东 西 北 | 简装', '中楼层(共16层)2009年建板楼  -  古城汇金', '62万', '单价6610元/平米')
('https://image1.ljcdn.com/210200-inspection/acb59332-b29a-4bae-bb0e-6d8229945f99.jpg.296x216.jpg', '碧海尚城 三室南北通厅 精装修 楼层好', '碧海尚城  | 3室1厅 | 137平米 | 南 北 | 简装 | 有电梯', '高楼层(共19层)2007年建板楼  -  碧海', '145万', '单价10584元/平米')
('https://image1.ljcdn.com/210200-inspection/6a79edaf-79ec-4fb4-8f80-f1b7707b2dd6.jpg.296x216.jpg', '福佳新天地 两室一厅 中间楼层采光充足', '金州福佳新天地广场  | 2室2厅 | 80.41平米 | 南 西 | 精装 | 有电梯', '低楼层(共31层)2011年建板楼  -  光明', '83万', '单价10323元/平米')
('https://image1.ljcdn.com/210200-inspection/b5256cd3-6f61-42e4-b696-8f7488b40400.jpg.296x216.jpg', '414小区 2室1厅 43万', '414小区  | 2室1厅 | 62.44平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  古城汇金', '43万', '单价6887元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload454d9921-de20-409a-9524-21ef765a46a7.jpg.296x216.jpg', '永乐金庭，三室精装修，赠送平台', '永乐金庭  | 2室2厅 | 115.53平米 | 东南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  连大', '126万', '单价10907元/平米')
('https://image1.ljcdn.com/210200-inspection/f276aebd-6d73-4ee6-8dba-14504d0b52a1.jpg.296x216.jpg', '自然天城117三室两厅两卫清水采光好视线佳', '自然天城B区  | 3室2厅 | 138.69平米 | 东南 北 | 毛坯 | 有电梯', '高楼层(共28层)2010年建板楼  -  金纺', '108万', '单价7788元/平米')
('https://image1.ljcdn.com/210200-inspection/9a5eb3b5-9bae-4832-940a-326b9403e619.jpg.296x216.jpg', '装修保持干净，可以拎包入住！！', '金州东山路小区  | 2室1厅 | 52平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  金纺', '38万', '单价7308元/平米')
('https://image1.ljcdn.com/210200-inspection/f3b121dd-7b72-4071-b34c-756a6ccb324f.jpg.296x216.jpg', '聚鑫小区二期 2室1厅 56万', '聚鑫小区二期  | 2室1厅 | 66.75平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  金纺', '56万', '单价8390元/平米')
('https://image1.ljcdn.com/210200-inspection/6884c81a-f450-4752-8918-2fd52cd44909.jpg.296x216.jpg', '金州东山路小区 2室1厅 32万', '金州东山路小区  | 2室1厅 | 49平米 | 南 | 简装', '高楼层(共6层)板楼  -  金纺', '32万', '单价6531元/平米')
('https://image1.ljcdn.com/210200-inspection/test-6b0f4413-9499-451c-bf38-8fe56e81a871.png.296x216.jpg', '鸿玮澜山二期和院精装修多层三室', '鸿玮澜山二期  | 3室2厅 | 93.75平米 | 南 北 | 精装 | 有电梯', '中楼层(共9层)2015年建板楼  -  桃园', '150万', '单价16000元/平米')
('https://image1.ljcdn.com/210200-inspection/c318a1ee-4967-44f0-860f-919b5d5f93e1.jpg.296x216.jpg', '憬园河畔一楼带花园，拎包入住，南北通厅通透', '憬园河畔  | 2室1厅 | 98.83平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2009年建板楼  -  古城汇金', '85万', '单价8601元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload183a48d7-63f3-4b8d-a401-085ed7baeaa6.jpg.296x216.jpg', '职高小区\u3000采光充足\u3000１０１．红旗', '职高小区  | 1室1厅 | 47.94平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  光明', '39万', '单价8136元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload82ea3393-a3cb-4207-9670-258c5fcc46ad.jpg.296x216.jpg', '成熟小区 交通便利 生活配套齐全', '金州东山小区  | 2室1厅 | 62.5平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  金润', '36万', '单价5760元/平米')
('https://image1.ljcdn.com/210200-inspection/41d24143-bc43-4322-bdbb-613986a0a335.jpg.296x216.jpg', '海天新界 2室2厅 63万', '海天新界  | 2室2厅 | 79.55平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2011年建板楼  -  连大', '63万', '单价7920元/平米')
('https://image1.ljcdn.com/210200-inspection/90489e95-ee61-43a9-af73-11538492b16d.jpg.296x216.jpg', '福佳新天地 两室一厅 最前排楼 无挡 中间楼层采光充足', '金州福佳新天地广场  | 2室1厅 | 87.4平米 | 南 | 毛坯 | 有电梯', '中楼层(共31层)2011年建板楼  -  光明', '75万', '单价8582元/平米')
('https://image1.ljcdn.com/210200-inspection/fc66391b-4659-4d0f-9938-0296863ec6e8.jpg.296x216.jpg', '康居小区 2室1厅 54万', '康居小区  | 2室1厅 | 66.16平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  金润', '54万', '单价8163元/平米')
('https://image1.ljcdn.com/210200-inspection/4a38d9f8-e519-475f-adf0-79e7f2ac50d1.jpg.296x216.jpg', '南棉小区 两室两厅 南北通厅通透 简单装修 拎包入住', '南棉小区  | 2室1厅 | 88.83平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  南棉', '64万', '单价7205元/平米')
