('https://image1.ljcdn.com/442000-inspection/7ae8e557-7dac-4899-aa8c-c1d607532b3b.jpg.296x216.jpg', '世纪新城幸福时光 中楼层 东南朝向两房 视野无遮挡', '世纪新城二期幸福时光  ', '中楼层(共32层)2010年建板楼  -  博爱一南', '138万', '单价15056元/平米')
('https://image1.ljcdn.com/442000-inspection/54b6d736-fc7d-496e-a0eb-8d081965caf4.jpg.296x216.jpg', '世纪新城二期幸福时光 3室2厅 145万', '世纪新城二期幸福时光  ', '高楼层(共28层)2010年建板楼  -  博爱一南', '145万', '单价14078元/平米')
('https://image1.ljcdn.com/442000-inspection/03a761ca-c33e-47a1-89c6-e90626401c70.jpg.296x216.jpg', '中信左岸 复式单位 格局方正 空气流通', '中信左岸花园  ', '低楼层(共15层)板楼  -  博爱一南', '300万', '单价16854元/平米')
('https://image1.ljcdn.com/442000-inspection/27a54d1d-6216-40f7-ae43-f0aaf0253d2c.jpg.296x216.jpg', '世纪新城 雅居乐大盘  中楼层 安静舒适 装修保养好', '世纪新城三期  ', '中楼层(共30层)板楼  -  博爱一南', '170万', '单价16375元/平米')
('https://image1.ljcdn.com/442000-inspection/5bca024d-febd-4bbb-8859-d91111e28d4c.jpg.296x216.jpg', '出售中信左岸一楼复式，带花园！', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '300万', '单价15745元/平米')
('https://image1.ljcdn.com/442000-inspection/f650b7f7-18fa-4777-ba4c-8b668f9917f8.jpg.296x216.jpg', '时代倾城 4室2厅 198万', '时代倾城  ', '高楼层(共32层)2014年建塔楼  -  博爱一南', '198万', '单价13958元/平米')
('https://image1.ljcdn.com/442000-inspection/5b1af1eb-cf5d-40da-a4d1-616f0abda067.jpg.296x216.jpg', '华发四季，南北通透，中间位置安静', '华发四季  ', '低楼层(共32层)2019年建塔楼  -  溪角中学', '178万', '单价12822元/平米')
('https://image1.ljcdn.com/442000-inspection/143f3eb6-d680-4f97-952e-cfc6b7eb9c19.jpg.296x216.jpg', '时代倾城 4室2厅 188万', '时代倾城  ', '中楼层(共32层)2014年建塔楼  -  博爱一南', '188万', '单价13240元/平米')
('https://image1.ljcdn.com/442000-inspection/737e9b7d-c083-4090-b35b-dd04abbb29ab.jpg.296x216.jpg', '中海装修别墅，大花园，采光好。适宜居住', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '450万', '单价25548元/平米')
('https://image1.ljcdn.com/442000-inspection/b9acdb50-ad8e-4429-ba69-60709b1086ac.jpg.296x216.jpg', '中信左岸毛坯复式出售，带一车位', '中信左岸花园  ', '高楼层(共17层)板楼  -  博爱一南', '320万', '单价17978元/平米')
('https://image1.ljcdn.com/442000-inspection/53ee0f1d-4697-490d-adb5-b6daca2c80e7.jpg.296x216.jpg', '世纪新城三期 三房两厅两卫 小区舒适安逸', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '170万', '单价14600元/平米')
('https://image1.ljcdn.com/442000-inspection/9dba6455-80dc-4fe2-8fc1-d3f2156972d5.jpg.296x216.jpg', '中信左岸 南北对流精装 温馨舒适', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '152万', '单价13310元/平米')
('https://image1.ljcdn.com/442000-inspection/e1c4f61d-3566-4386-b4a0-73368f5099c2.jpg.296x216.jpg', '明月苑，高楼层 大平台，格局方正', '明月苑  ', '高楼层(共6层)2008年建塔楼  -  汽车总站', '190万', '单价9500元/平米')
('https://image1.ljcdn.com/442000-inspection/35728f05-2f56-4f5e-9332-3188878b799f.jpg.296x216.jpg', '高层物业 视野好 户型方正 带精装修', '时代倾城  ', '高楼层(共33层)2014年建塔楼  -  博爱一南', '210万', '单价15032元/平米')
('https://image1.ljcdn.com/442000-inspection/329292d6-fa32-4590-802b-8370c80728b9.jpg.296x216.jpg', '广联蓝爵花园 2室2厅 95万', '广联蓝爵花园  ', '低楼层(共16层)2014年建塔楼  -  溪角中学', '95万', '单价12348元/平米')
('https://image1.ljcdn.com/442000-inspection/985052e1-29df-4dae-91e3-d0be80593e0b.jpg.296x216.jpg', '时代倾城 毛坯3+2房 中楼层 户型实用', '时代倾城  ', '低楼层(共32层)2014年建塔楼  -  博爱一南', '158万', '单价14373元/平米')
('https://image1.ljcdn.com/442000-inspection/342bd416-1155-4f2a-9f08-e4071e750f19.jpg.296x216.jpg', '中海翠林 楼层中层 格局方正 南北对流', '中海翠林兰溪园  ', '中楼层(共6层)2009年建板楼  -  中海翠林', '152万', '单价12298元/平米')
('https://image1.ljcdn.com/442000-inspection/d96fcdb2-e156-4817-a0a6-32e5895beeb7.jpg.296x216.jpg', '满5年税费低 中层楼层 视野开阔 采光好', '锦绣沙溪  ', '中楼层(共6层)2000年建塔楼  -  星宝', '113万', '单价8371元/平米')
('https://image1.ljcdn.com/442000-inspection/cf348e99-cd6e-46e6-b140-76e8ec4ce63c.jpg.296x216.jpg', '时代倾城中楼层，视野开阔无遮挡。', '时代倾城  ', '中楼层(共31层)2014年建塔楼  -  博爱一南', '152.6万', '单价14000元/平米')
('https://image1.ljcdn.com/442000-inspection/759add96-3678-4ffd-b8c4-77706bf8da29.jpg.296x216.jpg', '时代倾城 实用3+2 还送大露台 稀售', '时代倾城  ', '高楼层(共24层)2012年建塔楼  -  博爱一南', '148万', '单价13940元/平米')
('https://image1.ljcdn.com/442000-inspection/13d627d1-e28b-4457-83c6-9cc1839c4fd8.jpg.296x216.jpg', '世纪新城精装3房出售，中间楼层 看别墅 只需契税', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '168万', '单价14359元/平米')
('https://image1.ljcdn.com/442000-inspection/ca795aca-deb6-4f40-a5f5-ea5770fe02d5.jpg.296x216.jpg', '温馨三房  精致装修  保养极佳   诚意出售', '世纪新城三期  ', '高楼层(共30层)板楼  -  博爱一南', '190万', '单价16751元/平米')
('https://image1.ljcdn.com/442000-inspection/bb410284-ea7f-45b5-b18b-c7ac6c0495f0.jpg.296x216.jpg', '中信左岸精装四房出售，保养好，家私新', '中信左岸花园  ', '中楼层(共17层)板楼  -  博爱一南', '200万', '单价16691元/平米')
('https://image1.ljcdn.com/442000-inspection/81623886-4ae0-4950-9a5d-d0036285f24c.jpg.296x216.jpg', '中海翠林兰溪园 两房两厅+入户花园 高楼层 看别墅', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '86万', '单价10277元/平米')
('https://image1.ljcdn.com/442000-inspection/234d2995-b4fa-4236-a77f-e2ef5fc093f9.jpg.296x216.jpg', '时代倾城 毛坯三房 自由装饰 格局方正', '时代倾城  ', '高楼层(共26层)2012年建塔楼  -  博爱一南', '155万', '单价13363元/平米')
('https://image1.ljcdn.com/442000-inspection/fb2cb499-62c2-48de-93d2-ba4b186201cc.jpg.296x216.jpg', '世纪新城 精装大3房 南北对流 格局方正实用 满五年', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '200万', '单价13987元/平米')
('https://image1.ljcdn.com/442000-inspection/8dbcd03e-2c81-40d0-a25a-951b1540ccd5.jpg.296x216.jpg', '户型方正，带精装修，高层景观视野开阔', '世纪新城三期  ', '高楼层(共30层)板楼  -  博爱一南', '200万', '单价15737元/平米')
('https://image1.ljcdn.com/442000-inspection/7fd501f9-036a-41bc-a553-fc1846b09358.jpg.296x216.jpg', '中海翠林兰溪园 3室1厅 75万', '中海翠林兰溪园  ', '中楼层(共5层)2009年建板楼  -  中海翠林', '75万', '单价9697元/平米')
('https://image1.ljcdn.com/442000-inspection/4c3c6d27-1a8d-471a-8a08-159aed8b4f55.jpg.296x216.jpg', '中海翠林兰溪园 带精装修 送家电家私', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '448万', '单价24087元/平米')
('https://image1.ljcdn.com/442000-inspection/d82b9710-a97e-4ed9-8327-0dfade44a218.jpg.296x216.jpg', '中海翠林 错层户型 带小花园 看房方便', '中海翠林兰溪园  ', '低楼层(共4层)2009年建板楼  -  中海翠林', '250万', '单价12377元/平米')
('https://image1.ljcdn.com/442000-inspection/d0068a71-10b3-4b92-8e27-fa0041912795.jpg.296x216.jpg', '金逸豪庭 3室2厅 95万', '金逸豪庭  ', '低楼层(共11层)2006年建塔楼  -  博爱一南', '95万', '单价12768元/平米')
('https://image1.ljcdn.com/442000-inspection/f8a7949b-2e8c-4193-8f59-c44a8dca772c.jpg.296x216.jpg', '电梯四房带装修 保养好 视野开阔', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '150万', '单价11905元/平米')
('https://image1.ljcdn.com/442000-inspection/f6427b22-cdcf-4c7b-810e-a4b96da1c6a6.jpg.296x216.jpg', '中信左岸 舒适三房 朝南不靠路 舒适安静', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '160万', '单价17175元/平米')
('https://image1.ljcdn.com/442000-inspection/3f86bd24-8be8-46ff-9ffe-68c8f8154cc2.jpg.296x216.jpg', '隆盛花园 三房  还有一个大平台', '隆盛花园  ', '高楼层(共7层)2006年建塔楼  -  厚山广场', '93万', '单价7478元/平米')
('https://image1.ljcdn.com/442000-inspection/1c513aea-19a0-4b19-b5a4-17f46bcecc6e.jpg.296x216.jpg', '中海翠林兰溪园 带装修两房，户型方正', '中海翠林兰溪园  ', '中楼层(共5层)2009年建板楼  -  中海翠林', '74万', '单价9519元/平米')
('https://image1.ljcdn.com/442000-inspection/905a16db-bbde-4b59-aa6e-7a2ece5224b3.jpg.296x216.jpg', '世纪新城 豪华三房 保养极好 产权清晰', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '210万', '单价16125元/平米')
('https://image1.ljcdn.com/442000-inspection/03af258d-8e56-4ee1-8053-9c2bea2df284.jpg.296x216.jpg', '满五唯一 望别墅 南北通透格局好 交通便利', '中海翠林兰溪园  ', '高楼层(共9层)2009年建板楼  -  中海翠林', '180万', '单价14264元/平米')
('https://image1.ljcdn.com/442000-inspection/d5da4362-97ae-49dc-abe9-fac407c6bfe3.jpg.296x216.jpg', '世纪新城 2房带装修 安静舒适即买即住', '世纪新城二期幸福时光  ', '低楼层(共32层)2010年建板楼  -  博爱一南', '135万', '单价15000元/平米')
('https://image1.ljcdn.com/442000-inspection/7f9ab855-6eab-48f5-bddb-119fa7455d83.jpg.296x216.jpg', '时代倾城 新装修2+1房 高层南向 诚意出售', '时代倾城  ', '中楼层(共23层)2013年建塔楼  -  博爱一南', '140万', '单价15881元/平米')
('https://image1.ljcdn.com/442000-inspection/9a7746bf-d3cf-4902-8e9a-4913d8de1796.jpg.296x216.jpg', '金逸豪庭 3室2厅 140万', '金逸豪庭  ', '中楼层(共17层)2006年建塔楼  -  博爱一南', '140万', '单价13208元/平米')
('https://image1.ljcdn.com/442000-inspection/ed22907a-6ec1-4e33-a585-041ad88cd5d6.jpg.296x216.jpg', '世纪新城一期 装修三房 满五税少 视野广', '世纪新城一期A区  ', '低楼层(共18层)2007年建板楼  -  博爱一南', '135万', '单价14831元/平米')
('https://image1.ljcdn.com/442000-inspection/2de2399d-3792-4578-9edd-613088f63d19.jpg.296x216.jpg', '雅居乐世纪新城 精装三房 东南向 格局舒适 中高楼', '世纪新城一期B区  ', '中楼层(共11层)2007年建板楼  -  博爱一南', '145万', '单价16478元/平米')
('https://image1.ljcdn.com/442000-inspection/54878bd6-f286-41a9-8762-b0e8020b5e94.jpg.296x216.jpg', '南北对流 东单边位 赠送平台超200平米私人使用', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '220万', '单价16261元/平米')
('https://image1.ljcdn.com/442000-inspection/69672c27-cbd0-47f3-bc9b-1e78a91a55e2.jpg.296x216.jpg', '中海翠林 装修电梯2房 东南向 满五唯一 看房方便', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '85万', '单价10898元/平米')
('https://image1.ljcdn.com/442000-inspection/ba9abb6d-d849-4de3-b23d-7af0009c0de8.jpg.296x216.jpg', '苏荷雅居 89平方米 三房两厅 装修三房两卫', '苏荷雅居  ', '中楼层(共18层)2002年建塔楼  -  溪角中学', '120万', '单价13347元/平米')
('https://image1.ljcdn.com/442000-inspection/b6a15b54-04b8-4b02-bb98-042823502e2b.jpg.296x216.jpg', '南向精装3房 视野开阔 无遮挡 通透 采光好 满5且唯一', '时代倾城  ', '高楼层(共24层)2012年建塔楼  -  博爱一南', '180万', '单价15654元/平米')
('https://image1.ljcdn.com/442000-inspection/05b3383a-83a4-4455-9f0f-f80dd5873159.jpg.296x216.jpg', '出售平湖秋月精装复试，带天台，拎包即住，前后无遮挡', '平湖秋月花园  ', '高楼层(共18层)2010年建塔楼  -  溪角中学', '120万', '单价14458元/平米')
('https://image1.ljcdn.com/442000-inspection/5dfc434c-2c46-4318-80b3-38dc2e176700.jpg.296x216.jpg', '星宝明珠公寓 一房一厅 70年产权住宅 位置旺 人流多', '星宝明珠花园  ', '高楼层(共18层)2010年建塔楼  -  星宝', '72万', '单价11431元/平米')
('https://image1.ljcdn.com/442000-inspection/2563b783-a33c-42b3-8215-5ef1e50f45d1.jpg.296x216.jpg', '中信左岸，毛坯三房，低价出售，欢迎看房，', '中信左岸花园  ', '中楼层(共14层)板楼  -  博爱一南', '135万', '单价12617元/平米')
('https://image1.ljcdn.com/442000-inspection/eee4b19a-27f3-48cb-a875-5d04eec49d85.jpg.296x216.jpg', '平湖秋月花园 电梯精装东向三房 业主诚意出售', '平湖秋月花园  ', '低楼层(共11层)2010年建塔楼  -  溪角中学', '120万', '单价11934元/平米')
('https://image1.ljcdn.com/442000-inspection/74f76bfa-f1b6-4bee-93d6-ed2abc7fcb17.jpg.296x216.jpg', '康桥活力城 精致2房 诚意出售  即买即住', '康桥活力城  ', '低楼层(共11层)2008年建板楼  -  星宝', '96万', '单价12100元/平米')
('https://image1.ljcdn.com/442000-inspection/b45b9a8a-9dc6-4aaf-9540-cdf7c3dcac33.jpg.296x216.jpg', '中海翠林 精装4房 南北对流 满五年税费少', '中海翠林兰溪园  ', '低楼层(共6层)2009年建塔楼  -  中海翠林', '138万', '单价10987元/平米')
('https://image1.ljcdn.com/442000-inspection/44b0eb87-f648-47a6-8225-95a682e0b48a.jpg.296x216.jpg', '宝嘉上筑 精装一房 满五唯一 诚售', '宝嘉上筑  ', '中楼层(共24层)2008年建塔楼  -  龙瑞', '58万', '单价14147元/平米')
('https://image1.ljcdn.com/442000-inspection/aa7c6025-26b5-42e1-8c25-742608208b42.jpg.296x216.jpg', '中海翠林兰溪园 带装修3房 小区中心位置 环境好', '中海翠林兰溪园  ', '高楼层(共6层)2009年建板楼  -  中海翠林', '130万', '单价11305元/平米')
('https://image1.ljcdn.com/442000-inspection/6a4e8014-87be-41ca-92b7-1e5b2e6abf46.jpg.296x216.jpg', '汇豪花园3房朝南，视野无遮挡，', '汇豪花园  ', '高楼层(共6层)2008年建塔楼  -  沙溪镇政府', '87万', '单价9798元/平米')
('https://image1.ljcdn.com/442000-inspection/212644cf-ac60-4b58-bb72-f2a83d8cf30e.jpg.296x216.jpg', '中海翠林 毛坯 电梯2房 格局方正 东南朝向 视野开阔', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '86万', '单价10000元/平米')
('https://image1.ljcdn.com/442000-inspection/56b9d99b-01b5-4de6-bbf4-2b542fd5f54b.jpg.296x216.jpg', '小区环境优美 绿化多 入住率高', '中信左岸花园  ', '高楼层(共17层)板楼  -  博爱一南', '168万', '单价14000元/平米')
('https://image1.ljcdn.com/442000-inspection/8cd4c7fb-887f-4503-8455-6aeff25095a4.jpg.296x216.jpg', '时代倾城 精装两房 高层南向 急售', '时代倾城  ', '高楼层(共32层)2012年建塔楼  -  博爱一南', '145万', '单价16291元/平米')
('https://image1.ljcdn.com/442000-inspection/b8f41225-8a4a-4c54-b529-4c15f9675a2f.jpg.296x216.jpg', '沙溪 世纪新城 三期 采光好 户型方正', '世纪新城三期  ', '高楼层(共30层)板楼  -  博爱一南', '200万', '单价15821元/平米')
('https://image1.ljcdn.com/442000-inspection/cb966900-b229-40d7-867f-2b4adb3a0c86.jpg.296x216.jpg', '世纪新城  低楼层南向 精装大3房 格局方正实用 保养好', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '173万', '单价13057元/平米')
('https://image1.ljcdn.com/442000-inspection/d1931266-d300-4bf7-9c27-588f95b671b3.jpg.296x216.jpg', '中海翠林 带装修2房 户型好 东南向', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '100万', '单价11036元/平米')
('https://image1.ljcdn.com/442000-inspection/a604a981-e808-411f-bfb5-fbaf63aaaae4.jpg.296x216.jpg', '世纪新城一期B区 3室2厅 155万', '世纪新城一期B区  ', '高楼层(共11层)2007年建板楼  -  博爱一南', '155万', '单价15507元/平米')
('https://image1.ljcdn.com/442000-inspection/20d21b57-1ed1-4d61-b052-cb1b7c27801b.jpg.296x216.jpg', '中山沙溪 时代倾城 高楼层 采光充足', '时代倾城  ', '高楼层(共26层)2012年建塔楼  -  博爱一南', '170万', '单价12912元/平米')
('https://image1.ljcdn.com/442000-inspection/5aa493bc-c489-47d7-94cc-ad6db51f1627.jpg1.jpg.296x216.jpg', '阳光半岛 1室1厅 58.3万', '阳光半岛  ', '低楼层(共15层)2008年建塔楼  -  星宝', '58.3万', '单价10505元/平米')
('https://image1.ljcdn.com/442000-inspection/1be4219b-a90a-4a26-b1b9-314137d554bb.jpg.296x216.jpg', '世纪新城 四房毛坯 带入户花园', '世纪新城三期  ', '中楼层(共30层)板楼  -  博爱一南', '215万', '单价14828元/平米')
('https://image1.ljcdn.com/442000-inspection/e9e66e45-0aa8-4d5f-a974-cdb80b584f35.jpg.296x216.jpg', '世纪新城 公寓住宅性质 70年大产权 满五唯一', '世纪新城一期A区  ', '低楼层(共24层)2007年建板楼  -  博爱一南', '100万', '单价16667元/平米')
('https://image1.ljcdn.com/442000-inspection/60f7425b-70b4-4174-a238-967fcfbbbfbc.jpg.296x216.jpg', '时代倾城 精装四房 南向 看花园 急售', '时代倾城  ', '低楼层(共26层)2012年建塔楼  -  博爱一南', '180万', '单价12993元/平米')
('https://image1.ljcdn.com/442000-inspection/8a44f9cd-7e00-4374-9542-4640a79e3986.jpg.296x216.jpg', '时代倾城 精装修2+1房 朝南高层', '时代倾城  ', '中楼层(共32层)2014年建塔楼  -  博爱一南', '154万', '单价20000元/平米')
('https://image1.ljcdn.com/442000-inspection/6a96da92-17bb-43da-84f3-ce28abe756f4.jpg.296x216.jpg', '时代倾城 精装大四房 高层南向 诚意急售', '时代倾城  ', '高楼层(共26层)2012年建塔楼  -  博爱一南', '186万', '单价13437元/平米')
('https://image1.ljcdn.com/442000-inspection/2ae356e0-c409-4e06-aa85-94e5fe0dbee8.jpg.296x216.jpg', '世纪新城 南向三房 精装修 看房方便', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '163.8万', '单价14000元/平米')
('https://image1.ljcdn.com/442000-inspection/91b5ec24-ba08-4ea6-8888-e478d205d817.jpg.296x216.jpg', '出售华发四季大别墅，六个房间，带私家花园！', '华发生态庄园  ', '低楼层(共3层)塔楼  -  溪角中学', '930万', '单价21251元/平米')
('https://image1.ljcdn.com/442000-inspection/33bf2c34-6021-4ed0-b860-db951be61f2e.jpg.296x216.jpg', '世纪新城三期 电梯精装三房 业主诚心出售', '世纪新城三期  ', '中楼层(共23层)板楼  -  博爱一南', '210万', '单价18422元/平米')
('https://image1.ljcdn.com/442000-inspection/c2d606a1-adb4-4fd7-940a-0d1518d3d090.jpg.296x216.jpg', '华发四季 精装大四房 稀售 高层朝向 无敌视眼', '华发四季  ', '高楼层(共32层)2019年建塔楼  -  溪角中学', '195万', '单价13969元/平米')
('https://image1.ljcdn.com/442000-inspection/46b66117-a879-4cfa-8276-8e987c47749f.jpg.296x216.jpg', '华发四季 毛坯靓房 方正实用 采光通风好', '华发四季  ', '高楼层(共32层)2019年建塔楼  -  溪角中学', '166万', '单价12969元/平米')
('https://image1.ljcdn.com/442000-inspection/6ebeb04d-8c03-44da-bbcd-bbed97560bcf.jpg.296x216.jpg', '时代倾城 精装修三房 朝北看花园 证满两年', '时代倾城  ', '低楼层(共26层)2012年建塔楼  -  博爱一南', '170万', '单价14783元/平米')
('https://image1.ljcdn.com/442000-inspection/548a5e87-b13a-4f95-a2da-80de692bd8d2.jpg.296x216.jpg', '户型方正 采光好 精装修拎包入住 产权清晰', '世纪新城三期  ', '中楼层(共24层)板楼  -  博爱一南', '123万', '单价13226元/平米')
('https://image1.ljcdn.com/442000-inspection/b8a52dcf-0f62-4deb-9c0d-093ec00656ba.jpg.296x216.jpg', '中海翠林兰溪园 双拼别墅 带简装修 位置安静', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '520万', '单价19189元/平米')
('https://image1.ljcdn.com/442000-inspection/355e7e2f-f580-40b7-9f80-bc8259d25236.jpg.296x216.jpg', '中海翠林兰溪园 电梯三房 带装修 南北通透', '中海翠林兰溪园  ', '中楼层(共9层)板楼  -  中海翠林', '145万', '单价11627元/平米')
('https://image1.ljcdn.com/442000-inspection/9a1bb65f-59a6-4baa-a4ad-44338653bd31.jpg.296x216.jpg', '世纪新城 南北对流 毛坯大三房 满两年 视野开阔', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '190万', '单价13381元/平米')
('https://image1.ljcdn.com/442000-inspection/f60a5734-4fb3-4fe3-bf31-576e5d81aec1.jpg.296x216.jpg', '中海翠林。精装四房，高楼层，视野好，诚心出售。', '中海翠林兰溪园  ', '高楼层(共18层)2009年建板楼  -  中海翠林', '155万', '单价11924元/平米')
('https://image1.ljcdn.com/442000-inspection/e1115a27-bc51-46fd-b185-aad629500742.jpg.296x216.jpg', '华发四季 精装四房 南北向 大社区', '华发四季  ', '中楼层(共32层)2019年建塔楼  -  溪角中学', '178万', '单价13907元/平米')
('https://image1.ljcdn.com/442000-inspection/72f3710e-f9e3-4724-aec5-e823e2a642dc.jpg.296x216.jpg', '世纪新城二期，毛坯三房，高楼层。', '世纪新城二期幸福时光  ', '高楼层(共28层)2010年建板楼  -  博爱一南', '226万', '单价20000元/平米')
('https://image1.ljcdn.com/442000-inspection/56be5b7a-3592-45e1-a5be-a27a3895784d.jpg.296x216.jpg', '世纪新城 三期 毛坯四房  大阳台 望花园', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '178万', '单价12362元/平米')
('https://image1.ljcdn.com/442000-inspection/82376338-f38f-4e94-bde9-5271349af6f1.jpg.296x216.jpg', '世纪新城C区 四房两厅 毛坯房 满两年', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '180万', '单价12500元/平米')
('https://image1.ljcdn.com/442000-inspection/7b89c829-ea86-4e23-8465-9876fbaec0bc.jpg.296x216.jpg', '中信左岸花园小区，中装三房，诚心出售。', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '160万', '单价14815元/平米')
('https://image1.ljcdn.com/442000-inspection/8ddd295e-c8ce-4838-9ea6-de1b52cd4f65.jpg.296x216.jpg', '星宝明珠花园 1室1厅 42万', '星宝明珠花园  ', '低楼层(共18层)2010年建塔楼  -  星宝', '42万', '单价11053元/平米')
('https://image1.ljcdn.com/442000-inspection/c0479730-a8e1-4ed7-b52d-952ba8d0c026.jpg.296x216.jpg', '世纪新城 精装复式四房 层高六米 送露台', '世纪新城三期  ', '高楼层(共23层)板楼  -  博爱一南', '200万', '单价16261元/平米')
('https://image1.ljcdn.com/442000-inspection/db11a95b-7f36-43f1-aff8-0a75c31195d7.jpg.296x216.jpg', '华发四季 三房二厅 格局方正 随时可看', '华发四季  ', '高楼层(共26层)2019年建塔楼  -  溪角中学', '155万', '单价13026元/平米')
('https://image1.ljcdn.com/442000-inspection/4d6558ec-2c1c-4930-abe4-fad0404c196c.jpg.296x216.jpg', '格局方正 采光通透 中楼层 视野好', '奥园金域  ', '低楼层(共32层)塔楼  -  汽车总站', '108万', '单价11740元/平米')
('https://image1.ljcdn.com/442000-inspection/091e52d2-79cb-4204-a17a-d2c4e2b5af2e.jpg.296x216.jpg', '精装套房  未出租过  保养很好  诚意出售', '宝嘉上筑  ', '高楼层(共28层)2008年建塔楼  -  龙瑞', '63万', '单价13393元/平米')
('https://image1.ljcdn.com/442000-inspection/8bd942ca-f9ea-4ab9-8fe9-6c7c8ba6bafc.jpg.296x216.jpg', '采光通风极佳 楼层好 视野开阔 首选中信左岸', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '150万', '单价16130元/平米')
('https://image1.ljcdn.com/442000-inspection/4c48a4b6-3077-4cb2-baf4-a4284f030548.jpg.296x216.jpg', '康桥活力城 南向 满五年 电梯 两房 有天台可供使用', '康桥活力城  ', '高楼层(共11层)2008年建板楼  -  星宝', '88万', '单价12055元/平米')
('https://image1.ljcdn.com/442000-inspection/e0daad50-3792-46e6-8948-d204c420c73b.jpg.296x216.jpg', '广联蓝爵毛坯三房，可做四房，户型方正。', '广联蓝爵花园  ', '低楼层(共26层)2014年建塔楼  -  溪角中学', '128万', '单价11429元/平米')
('https://image1.ljcdn.com/442000-inspection/3a9c482a-747d-43c4-8007-106084ead9c0.jpg.296x216.jpg', '世纪新城 朝南2房 带平台 精致装修 采光通风好', '世纪新城二期幸福时光  ', '低楼层(共32层)2010年建板楼  -  博爱一南', '150万', '单价16130元/平米')
('https://image1.ljcdn.com/442000-inspection/59771142-172b-443f-bb58-3a751c64a71c.jpg.296x216.jpg', '广联时代公寓 电梯公寓北向 红本在手', '广联时代公寓  ', '中楼层(共8层)2005年建塔楼  -  厚山广场', '25万', '单价10417元/平米')
('https://image1.ljcdn.com/442000-inspection/f1fbc377-e1e3-474f-9a5b-bfd3d1cf1560.jpg.296x216.jpg', '中信左岸花园 3室2厅 158万', '中信左岸花园  ', '低楼层(共14层)板楼  -  博爱一南', '158万', '单价15968元/平米')
('https://image1.ljcdn.com/442000-inspection/7acbbf58-617b-4157-a585-39ae803358d4.jpg.296x216.jpg', '宝嘉上筑 中层满五南向两房 业主诚售', '宝嘉上筑  ', '中楼层(共18层)2008年建塔楼  -  龙瑞', '115万', '单价14632元/平米')
('https://image1.ljcdn.com/442000-inspection/fe78f107-3352-4e20-ac46-3fdc4d206240.jpg.296x216.jpg', '时代倾城 带90平大平台 精装三房 急售', '时代倾城  ', '低楼层(共25层)2014年建塔楼  -  博爱一南', '168万', '单价13915元/平米')
('https://image1.ljcdn.com/442000-inspection/369412c4-a456-4e1c-a8e2-1bc0e361d64b.jpg.296x216.jpg', '中海翠林兰溪园 5室3厅 410万', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '410万', '单价19524元/平米')
('https://image1.ljcdn.com/442000-inspection/a7288811-8902-4963-b957-0d572a8a8c05.jpg.296x216.jpg', '世纪新城幸福时光 毛坯三房两厅 朝南单位 品牌物业', '世纪新城二期幸福时光  ', '低楼层(共28层)2010年建板楼  -  博爱一南', '165万', '单价14225元/平米')
('https://image1.ljcdn.com/442000-inspection/6b339fba-25da-4f10-acea-03a0dd26c06a.jpg.296x216.jpg', '世纪新城三期 2室2厅 168万', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '168万', '单价16311元/平米')
('https://image1.ljcdn.com/442000-inspection/9ebaa661-10ea-4cd6-8f2d-f11dfa84412c.jpg.296x216.jpg', '汉基花园 简装3房 中间楼层 诚意出售', '汉基花园  ', '高楼层(共7层)2010年建塔楼  -  星宝', '120万', '单价9310元/平米')
('https://image1.ljcdn.com/442000-inspection/770022f8-83e3-47c6-a5e1-00a1b29419ae.jpg.296x216.jpg', '中信左岸 精装4房 格局方正 南北对流', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '202.5万', '单价15000元/平米')
