('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/5434cc13-6868-4599-abed-6d1a29a5467a.jpg.296x216.jpg', '上夼西路南向好房，采光充足，配套设施齐全，交通便利', '上夼西路  | 2室1厅 | 48.29平米 | 南 | 其他', '高楼层(共6层)1996年建板楼  -  上夼', '50万', '单价10355元/平米')
('https://image1.ljcdn.com/370600-inspection/e104b039-6ec9-41e8-b276-0abea61c2d9d.JPG.296x216.jpg', '银都财富 海景三室 靠南大街 楼层高 视野好', '银都财富中心  | 3室1厅 | 123.74平米 | 西北 | 其他', '高楼层(共52层)2008年建塔楼  -  毓璜顶', '259万', '单价20931元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploada64f7b70-0a43-4a6e-9c13-5895e588eff5.JPG.296x216.jpg', '二中 南通路 框架新房 好楼层 可开阁楼 环境舒适', '环翠路  | 3室2厅 | 109.71平米 | 南 西 北 | 简装', '高楼层(共4层)1999年建板楼  -  南通路', '236万', '单价21512元/平米')
('https://image1.ljcdn.com/370600-inspection/4ce2b0a8-5759-4772-b3f9-2313413379d1.JPG.296x216.jpg', '三室两厅，装修较好，南北通透。', '黄务卧龙小区  | 3室2厅 | 78平米 | 南 北 | 精装', '低楼层(共6层)1993年建板楼  -  黄务', '78万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/c93ee1e3-08b6-43b1-af88-8849bc7a9653.JPG.296x216.jpg', '二中南通路 东风里两千年框架房 三室两厅 顶楼加阁楼', '东风里  | 3室2厅 | 128.17平米 | 南 北 | 其他', '高楼层(共6层)1985年建板楼  -  毓璜顶', '295万', '单价23017元/平米')
('https://image1.ljcdn.com/370600-inspection/e6397c49-0687-42a8-85b3-6d2c0f464562.jpg.296x216.jpg', '世茂海湾  海景效果无遮挡  楼层好', '世茂广场  | 3室2厅 | 172.59平米 | 南 西 北 | 简装', '低楼层(共66层)2008年建塔楼  -  解放路', '300万', '单价17383元/平米')
('https://image1.ljcdn.com/370600-inspection/0323687d-e5d4-4df6-9ced-69fc65dd1ebd.jpg.296x216.jpg', '厚安小区  两室一厅格局 价格便宜', '忠义街  | 2室1厅 | 52.23平米 | 东南 | 其他', '高楼层(共7层)板楼  -  厚安', '52万', '单价9956元/平米')
('https://image1.ljcdn.com/370600-inspection/c8953470-4629-4282-a1d0-1a12294ef800.jpg.296x216.jpg', '视野开阔，交通设施齐全，距离烟台山医院和海边500米', '北大街  | 1室1厅 | 31.24平米 | 南 | 其他', '中楼层(共7层)暂无数据  -  厚安', '78.5万', '单价25129元/平米')
('https://image1.ljcdn.com/370600-inspection/17dd0dcc-3933-4fe8-bc63-55bfee301bc5.JPG.296x216.jpg', '玺萌橘子洲 小两居 精装修拎包住 电梯房采光好 市证', '玺萌橘子洲  | 2室1厅 | 62.55平米 | 南 北 | 其他', '中楼层(共27层)2015年建塔楼  -  凤凰台', '63万', '单价10072元/平米')
('https://image1.ljcdn.com/370600-inspection/49202801-eaa4-4c4f-a3b5-b9d519f2d4cf.JPG.296x216.jpg', '锦绣新城东打头，双南卧，装修好，可以直接拎包入住', '锦绣新城一期  | 2室1厅 | 65.48平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  凤凰台', '66万', '单价10080元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload9290d51e-f5f6-4c5b-a3c1-91853670a25f.JPG.296x216.jpg', '带车位出售，装修保持不错，可入住。', '银都财富中心  | 3室1厅 | 106.1平米 | 西北 | 其他', '中楼层(共52层)2008年建塔楼  -  毓璜顶', '198万', '单价18662元/平米')
('https://image1.ljcdn.com/370600-inspection/f3432c92-ed88-41d2-bd86-c741563e5ed0.jpg.296x216.jpg', '一中冰心+精装+框架+商品房区政府三室，好楼层可贷款', '金沟寨路  | 3室2厅 | 83.55平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  二马路', '198万', '单价23699元/平米')
('https://image1.ljcdn.com/370600-inspection/c0759e92-4569-4ef7-afba-e22065e0e9d8.jpg.296x216.jpg', '十中 潇湘 通透 环境好 采光充足', '中兴街  | 3室1厅 | 74.09平米 | 南 北 | 简装', '高楼层(共7层)1989年建板楼  -  解放路', '122万', '单价16467元/平米')
('https://image1.ljcdn.com/370600-inspection/49faf8d1-b625-4954-ab6d-f407168a1ded.jpg.296x216.jpg', '通透两室+单价低+采光充足+看好可谈+停车方便', '三马路  | 2室1厅 | 64.27平米 | 南 北 | 简装', '高楼层(共7层)1989年建板楼  -  解放路', '108万', '单价16805元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload7c4fa6a4-bbf5-4fc0-aab1-74409cf59e50.jpg.296x216.jpg', '十中养正，中间楼层，采光好，双阳卧', '市府街  | 2室1厅 | 55.94平米 | 南 | 简装', '高楼层(共6层)1990年建板楼  -  解放路', '108万', '单价19307元/平米')
('https://image1.ljcdn.com/370600-inspection/8ec0c33e-b767-44c7-a4db-a7a1fb528929.JPG.296x216.jpg', '一楼带院子 赠送小棚 生活方便 适合老人一起住', '南通路  | 3室1厅 | 80.06平米 | 南 北 | 其他', '低楼层(共5层)1985年建板楼  -  毓璜顶', '200万', '单价24982元/平米')
('https://image1.ljcdn.com/370600-inspection/17a12852-82f1-472e-972b-1a2f90d1cf31.jpg.296x216.jpg', '三和绿景 双市证 可落户 可贷款 中间楼层 带小棚', '三和绿景小区  | 2室2厅 | 77.24平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  黄务', '100万', '单价12947元/平米')
('https://image1.ljcdn.com/370600-inspection/e7860c4c-70d9-47a8-ac3a-f8bad6adf3c6.jpg.296x216.jpg', '此房东打头哦，装修好，看山景色非常好', '万科海云台  | 2室2厅 | 95.52平米 | 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  幸福', '158万', '单价16542元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload2b65b62e-0081-4f9c-ad74-44ba44954f74.JPG.296x216.jpg', '70年产权  带网点小棚  西打头 南北通透  交通便利', '黄务中学家属楼  | 2室2厅 | 68.5平米 | 南 西 北 | 简装', '高楼层(共6层)暂无数据  -  黄务', '62万', '单价9052元/平米')
('https://image1.ljcdn.com/370600-inspection/f205418a-22a4-4ae3-912d-46052c9754eb.JPG.296x216.jpg', '佳隆花园三居室精装修东打头带小棚有车位看房方便', '佳隆花园  | 3室2厅 | 127.5平米 | 东 南 北 | 精装', '高楼层(共6层)2002年建板楼  -  世回尧', '148万', '单价11608元/平米')
('https://image1.ljcdn.com/370600-inspection/20263bd6-abcf-489f-b6b0-31df405a6d46.jpg.296x216.jpg', '南河南崖+大客厅双南卧+马赛克+一梯两户', '南河南崖  | 2室2厅 | 55.8平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  上夼', '58万', '单价10395元/平米')
('https://image1.ljcdn.com/370600-inspection/517b0dc5-4b39-4bf5-b92c-f37ba9e45009.jpg.296x216.jpg', '民生小区 南北通透 3楼  看房方便', '东兴街  | 2室2厅 | 62.68平米 | 南 北 | 简装', '中楼层(共5层)1989年建板楼  -  解放路', '132万', '单价21060元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload2a3fd810-b1bd-4ba3-98d1-f141d5ce913e.jpg.296x216.jpg', '东方巴黎  简单装修  采光好  拎包即住', '东方巴黎  | 3室1厅 | 74.77平米 | 南 北 | 其他', '高楼层(共7层)2005年建板楼  -  三站', '65万', '单价8694元/平米')
('https://image1.ljcdn.com/370600-inspection/b2f75967-c91f-4284-8e49-e4756fce177a.jpg.296x216.jpg', '环山路加油站旁+3楼+通透+2000年框架房', '环山路  | 2室2厅 | 76.02平米 | 南 北 | 精装', '中楼层(共5层)1992年建板楼  -  厚安', '180万', '单价23678元/平米')
('https://image1.ljcdn.com/370600-inspection/e2e61674-e886-4714-aa9c-6dc4cd5aa55d.JPG.296x216.jpg', '南大街附近 进门客厅 双南卧一北卧 生活方便 户型好', '大海阳东街  | 3室1厅 | 80.96平米 | 南 北 | 其他', '低楼层(共6层)1990年建板楼  -  文化路', '90万', '单价11117元/平米')
('https://image1.ljcdn.com/370600-inspection/f455baab-0047-4b43-90db-d27e58274798.jpg.296x216.jpg', '南北通透进门厅南北卧，拎包入住采光好', '文化宫后街  | 2室1厅 | 53.29平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  文化路', '49.8万', '单价9346元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload746a7079-b866-4e30-966c-09ea7b226a68.JPG.296x216.jpg', '只楚小区 南北通透 采光好 4楼层好 精装修', '只楚小区  | 2室2厅 | 89.92平米 | 南 北 | 其他', '中楼层(共6层)1999年建板楼  -  凤凰台', '70万', '单价7785元/平米')
('https://image1.ljcdn.com/370600-inspection/10d97324-7c0b-4f87-86ee-ffb56e6fb92f.jpg.296x216.jpg', '新上好楼层+南北通透+配套齐全+生活便利', '南迎祥路  | 3室1厅 | 52.89平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  上夼', '135万', '单价25525元/平米')
('https://image1.ljcdn.com/370600-inspection/4174a7f3-929e-44ea-ab5c-20b9ccba0e1b.JPG.296x216.jpg', '顶层复式 露台二层面积全赠送 看山看海 视野很好', '万科御龙山  | 3室2厅 | 142.57平米 | 南 北 | 其他', '高楼层(共18层)2015年建板楼  -  黄海', '370万', '单价25953元/平米')
('https://image1.ljcdn.com/370600-inspection/0a187bc1-88cf-422a-8036-c9cae3fc8609.jpg.296x216.jpg', '南通路+毓璜顶西路+拎包入住+南向2居', '毓璜顶西路  | 2室2厅 | 77.86平米 | 南 | 简装', '高楼层(共5层)1985年建板楼  -  文化路', '150万', '单价19266元/平米')
('https://image1.ljcdn.com/370600-inspection/test-e235c656-f5b7-4e2e-8480-597418340762.png.296x216.jpg', '通世里+南北通透中间楼层+看房有钥匙', '通世里  | 2室1厅 | 79.51平米 | 南 北 | 精装', '中楼层(共7层)1985年建板塔结合  -  南通路', '150万', '单价18866元/平米')
('https://image1.ljcdn.com/370600-inspection/5308c3b2-fee2-49c9-8a07-1005e3a3f17d.jpg.296x216.jpg', '南大街高层电梯房，采光好海景房，进口家具家电房。', '振华国际广场  | 3室1厅 | 108.11平米 | 西北 | 其他', '高楼层(共26层)2010年建板塔结合  -  三站', '155万', '单价14338元/平米')
('https://image1.ljcdn.com/370600-inspection/70eff277-8950-4df9-8f57-08d92b2b6ad1.JPG.296x216.jpg', '翡翠小区，坡下位置，2卧室朝阳，半地上小棚的1楼', '通世里  | 2室1厅 | 58.49平米 | 南 | 其他', '低楼层(共6层)1993年建板楼  -  南通路', '136万', '单价23252元/平米')
('https://image1.ljcdn.com/370600-inspection/3798ddb9-2ad6-4640-94ac-c2ee58cf886b.jpg.296x216.jpg', '房子格局好，双南卧室，采光充足，满五唯一，费用少。', '桃花街  | 3室2厅 | 79.36平米 | 南 北 | 简装', '高楼层(共6层)1992年建板楼  -  厚安', '99万', '单价12475元/平米')
('https://image1.ljcdn.com/370600-inspection/ffb0da40-af25-449e-8042-0f18741b7def.jpg.296x216.jpg', '上夼西路+三室顶加阁+中装修+实用面积大+产权明晰', '上夼西路  | 3室2厅 | 78.51平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  上夼', '103万', '单价13120元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadcb8a33d7-8a95-4a1e-a2c4-860039e953a0.JPG.296x216.jpg', '南通路+二中+南北通透+两室+户型方正', '东风里  | 2室2厅 | 85.5平米 | 南 北 | 精装', '中楼层(共5层)1985年建板楼  -  毓璜顶', '195万', '单价22808元/平米')
('https://image1.ljcdn.com/370600-inspection/ea74c690-8056-4d98-aca2-40bd4e0a0d8d.jpg.296x216.jpg', '三站东方巴黎 双南卧室 采光好 户型方正 看房方便', '东方巴黎  | 2室2厅 | 70.17平米 | 东 南 西 | 精装', '高楼层(共6层)2005年建板楼  -  三站', '84.8万', '单价12085元/平米')
('https://image1.ljcdn.com/370600-inspection/f3e3f683-295d-4d5d-a622-b3d9ae4bf380.jpg.296x216.jpg', '南沟街盛泰花苑 3楼半封闭小区，2001年框架房，好停车', '南沟街  | 3室2厅 | 132.2平米 | 南 北 | 其他', '中楼层(共7层)2001年建板楼  -  二马路', '300万', '单价22693元/平米')
('https://image1.ljcdn.com/370600-inspection/81b15324-a4bf-4ee6-9207-ca64ddb964be.JPG.296x216.jpg', '毓璜顶  二中  南北通透  采光好  离校近  配套齐全', '乐山里小区  | 2室1厅 | 60.43平米 | 南 北 | 其他', '高楼层(共6层)1986年建板楼  -  毓璜顶', '118万', '单价19527元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadaf50a963-c1e1-40eb-b1b9-2d2409057a8f.jpg.296x216.jpg', '配套设施齐全，采光好，交通便利', '新世界花园  | 2室2厅 | 84.02平米 | 南 西 北 | 其他', '高楼层(共7层)2005年建板楼  -  幸福', '90万', '单价10712元/平米')
('https://image1.ljcdn.com/370600-inspection/07cdfafe-c38b-4c2f-baa7-c5d0482905df.jpg.296x216.jpg', '车库上的一楼+进门厅双南卧一北卧，静装修拎包入住', '南沟街  | 3室2厅 | 132.2平米 | 南 北 | 精装', '低楼层(共7层)2001年建板楼  -  二马路', '318万', '单价24055元/平米')
('https://image1.ljcdn.com/370600-inspection/e8f9e545-9dfc-4696-bbf4-3066e1968e9a.jpg.296x216.jpg', '此房南北向采光充足，交通生活便利，适合陪读', '大兴街  | 2室1厅 | 55.83平米 | 南 北 | 其他', '低楼层(共6层)1989年建板楼  -  解放路', '130万', '单价23285元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload5c9337b2-8f63-455a-8778-7d348db88b68.jpg.296x216.jpg', '南山丽景精装房，刚需一居，可做两居，全明户型', '南山丽景花园  | 2室1厅 | 76.81平米 | 南 | 简装', '高楼层(共28层)2011年建板楼  -  山海南路', '93万', '单价12108元/平米')
('https://image1.ljcdn.com/370600-inspection/389b547c-a4cf-4484-8222-dd1b3538c1fe.jpg.296x216.jpg', '楼层好，采光充足，配套齐全，视野开阔。', '福源路  | 2室1厅 | 64.89平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  幸福', '61.6万', '单价9493元/平米')
('https://image1.ljcdn.com/370600-inspection/1af3dbde-e204-4c34-a2c4-ad1c5259f3a3.jpg.296x216.jpg', '新出盛泰花园+静海山庄北+02年框架+3楼3室', '南沟街  | 3室2厅 | 91.34平米 | 南 北 | 其他', '中楼层(共7层)2001年建板楼  -  二马路', '240万', '单价26276元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload555dcad2-d4db-4543-801e-b0cf2458c2b8.JPG.296x216.jpg', '佳隆花园 精装三居室  南北通透 市政可贷款 产权清晰', '佳隆花园  | 3室2厅 | 88.56平米 | 南 北 | 其他', '中楼层(共6层)2002年建板楼  -  世回尧', '112万', '单价12647元/平米')
('https://image1.ljcdn.com/370600-inspection/86f31d1b-fa29-40d1-a4db-ce1af8513992.jpg.296x216.jpg', '市府街+一梯两户+南北通透+2室+煤暖棚齐+采光好', '升平街  | 2室1厅 | 62.1平米 | 南 北 | 简装', '高楼层(共6层)1989年建板楼  -  厚安', '118万', '单价19002元/平米')
('https://image1.ljcdn.com/370600-inspection/a6b47f07-1dbe-4bd6-b039-a175242f1219.JPG.296x216.jpg', '文化路  中间楼层 精装修 采光好 南北通透 拎包入住', '文化路  | 2室1厅 | 55.39平米 | 南 北 | 其他', '中楼层(共6层)1988年建板楼  -  文化路', '65万', '单价11735元/平米')
('https://image1.ljcdn.com/370600-inspection/bb139afa-7285-4307-a53b-3240bdef79f0.jpg.296x216.jpg', '年代新框架房  南北通透采光好，带平台，交通便利', '大海阳路  | 4室2厅 | 155.35平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  三站', '175万', '单价11265元/平米')
('https://image1.ljcdn.com/370600-inspection/da06799a-87c4-42b8-ac24-f708d9ffdd8c.JPG.296x216.jpg', '越秀星汇凤凰 大三居精装修拎包入住可商贷', '越秀星汇凤凰  | 3室2厅 | 114.2平米 | 南 北 | 其他', '高楼层(共22层)2013年建板楼  -  凤凰台', '175万', '单价15324元/平米')
('https://image1.ljcdn.com/370600-inspection/e488e5cc-a320-4e7e-b4eb-f24aaac24bf1.jpg.296x216.jpg', '南北通透低楼层超大主卧，厨房三面窗，户型方正无缺角', '蓁山花园  | 2室1厅 | 61.2平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  世回尧', '74.5万', '单价12174元/平米')
('https://image1.ljcdn.com/370600-inspection/9ec0033b-eaa2-4ec0-959b-3f8ce8cff4bd.jpg.296x216.jpg', '三马路公交站点旁，出行方便，二楼好楼层适合老人居住', '忠义街  | 1室1厅 | 48.43平米 | 东 | 其他', '低楼层(共7层)1990年建板楼  -  厚安', '52万', '单价10738元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload61beb74f-ba0a-4245-9570-052428365cc0.jpg.296x216.jpg', '迎春巷+南北通透格局好+可改做门头房', '迎春巷  | 2室1厅 | 57.88平米 | 南 北 | 精装', '低楼层(共6层)1995年建板楼  -  文化路', '80万', '单价13822元/平米')
('https://image1.ljcdn.com/370600-inspection/164d88d3-99c4-4dc8-b7fc-bf7fddd58dc9.JPG.296x216.jpg', '大海阳文明社区 进门厅双南卧 中等装修 一楼 年代新', '大海阳路  | 2室2厅 | 62.1平米 | 南 北 | 其他', '低楼层(共6层)1997年建板楼  -  三站', '65万', '单价10467元/平米')
('https://image1.ljcdn.com/370600-inspection/3d1ff6ff-f097-4188-9064-1896e0ed40fb.jpg.296x216.jpg', '翡翠路+两居室+南北通透+打头房+看房方便+采光好', '翡翠路  | 2室2厅 | 61.41平米 | 南 西 北 | 其他', '高楼层(共7层)1996年建板楼  -  上夼', '64万', '单价10422元/平米')
('https://image1.ljcdn.com/370600-inspection/8c22a232-4486-48db-bf19-dffbe90f437c.JPG.296x216.jpg', '产权清晰 满五唯一  南北通透 户型方正 采光无遮挡', '迎春里  | 3室0厅 | 57平米 | 南 北 | 简装', '高楼层(共7层)1988年建板楼  -  毓璜顶', '114万', '单价20000元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload12622bb0-8da4-4adb-8b95-6e3e17282619.jpg.296x216.jpg', '万科海云台 三室 海景房 高楼层 视野开阔 前后无遮挡', '万科海云台  | 3室2厅 | 137.93平米 | 南 北 | 其他', '高楼层(共18层)2011年建板楼  -  幸福', '200万', '单价14501元/平米')
('https://image1.ljcdn.com/370600-inspection/8a915e3b-c0c3-4d2e-b659-b63c5d9f314b.jpg.296x216.jpg', '市里封闭小区，精装修南北通透一梯两户3室2厅，', '福莱花苑  | 3室2厅 | 129.67平米 | 南 北 | 简装', '高楼层(共7层)2004年建板楼  -  厚安', '196万', '单价15116元/平米')
('https://image1.ljcdn.com/370600-inspection/176e816e-2151-40ed-ae28-93e20ae7297d.jpg.296x216.jpg', '一中葡萄山，2楼，精装修，南北通透，采光好', '南迎祥路  | 2室2厅 | 69.04平米 | 南 北 | 精装', '中楼层(共5层)1988年建板楼  -  上夼', '163万', '单价23610元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb85eddae-4657-499d-b707-77b26286725d.jpg.296x216.jpg', '南大街北地脚好，东打头，采光好，厨房很大', '桃花街  | 3室2厅 | 73.97平米 | 南 北 | 其他', '高楼层(共6层)1992年建板楼  -  厚安', '84万', '单价11356元/平米')
('https://image1.ljcdn.com/370600-inspection/2a699815-2990-444a-a6bd-8a4ce9b70bc3.JPG.296x216.jpg', '此房纯南向小户型+房子年代新公摊小+不浪费实用空间', '通世里  | 2室1厅 | 58.16平米 | 南 | 其他', '高楼层(共5层)1996年建板楼  -  南通路', '102万', '单价17538元/平米')
('https://image1.ljcdn.com/370600-inspection/b0fca3cc-aff5-43b4-9077-cd063107dcc4.jpg.296x216.jpg', '金沟寨冰心+中装+框架商品房区政府三室，好楼层可贷款', '金沟寨五街  | 3室2厅 | 82.98平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  二马路', '210万', '单价25308元/平米')
('https://image1.ljcdn.com/370600-inspection/2921d25c-3630-4279-b2a0-ec2f39dd7ba3.jpg.296x216.jpg', '三站东方巴黎南通伸南街三居室  看房方便', '通伸南街  | 3室2厅 | 95.01平米 | 南 北 | 其他', '中楼层(共7层)2003年建板楼  -  三站', '123万', '单价12947元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload7b366e94-b832-4895-ad7f-c647a1684d58.jpg.296x216.jpg', '一中国翠+落户小房+年代新+中楼层+采光好', '金沟寨五街  | 1室1厅 | 41.04平米 | 南 | 简装', '中楼层(共6层)2000年建板楼  -  二马路', '125万', '单价30459元/平米')
('https://image1.ljcdn.com/370600-inspection/648c260c-8ac4-4533-8b87-bd5e21011f09.jpg.296x216.jpg', '南北通透+98年马赛克+三楼单价低+南北卧室', '芝罘里  | 2室2厅 | 57.88平米 | 南 北 | 简装', '中楼层(共6层)1994年建板楼  -  解放路', '127万', '单价21942元/平米')
('https://image1.ljcdn.com/370600-inspection/492580d9-9007-4f7e-b1e4-c1dac009ccbf.JPG.296x216.jpg', '2004年的多层房子 只楚路上双阳卧 三室户型低楼层', '金晖花园  | 3室2厅 | 95平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  新桥', '107万', '单价11264元/平米')
('https://image1.ljcdn.com/370600-inspection/e6376371-2d86-41cc-83bc-b4a4ebc06b72.jpg.296x216.jpg', '西炮台东路，08年，拎包入住，低点少，采光通风效果好', '西炮台东路  | 2室1厅 | 61.03平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  三站', '53万', '单价8685元/平米')
('https://image1.ljcdn.com/370600-inspection/060e87cc-7edf-402d-904f-69820a969121.jpg.296x216.jpg', '佳隆学府铭座 3室2厅 155万', '佳隆学府铭座  | 3室2厅 | 92.44平米 | 南 北 | 其他', '中楼层(共12层)2011年建板楼  -  世回尧', '155万', '单价16768元/平米')
('https://image1.ljcdn.com/370600-inspection/ad41ac14-f687-43c2-9501-b51695c1d46f.jpg.296x216.jpg', '迎祥路马赛克房，好楼层，带露台，全明户型', '迎祥路  | 2室1厅 | 64.03平米 | 南 西 北 | 简装', '低楼层(共6层)1988年建板楼  -  厚安', '170万', '单价26551元/平米')
('https://image1.ljcdn.com/370600-inspection/2c516a78-9077-4229-b497-198fa61b06c9.jpg.296x216.jpg', '南通路+顶加阁+三室一厅南北通透户型方正', '环翠路  | 3室1厅 | 80.53平米 | 南 北 | 精装', '高楼层(共5层)1999年建板楼  -  南通路', '170万', '单价21111元/平米')
('https://image1.ljcdn.com/370600-inspection/1ff3465d-470e-4831-8abf-23fb606de3dd.jpg.296x216.jpg', '纯框架结构、业主一直自住、房子保持良好拎包入住', '上夼西路  | 2室2厅 | 82.45平米 | 南 北 | 其他', '中楼层(共7层)1999年建板楼  -  上夼', '105万', '单价12735元/平米')
('https://image1.ljcdn.com/370600-inspection/5c0e365d-2a42-48ea-b18a-547d79a4d110.jpg.296x216.jpg', '翡翠路+一楼带小院+采光+出行方便', '翡翠路  | 2室1厅 | 62.81平米 | 西南 | 其他', '低楼层(共7层)1996年建板楼  -  上夼', '83.9万', '单价13358元/平米')
('https://image1.ljcdn.com/370600-inspection/c7a3c856-5c6c-4709-a59e-85ce96089e49.jpg.296x216.jpg', '福山路位置三校之间+南北通透全明户型+视野开阔装修好', '福山路  | 2室1厅 | 61.55平米 | 南 北 | 精装', '高楼层(共6层)1983年建板楼  -  二马路', '155万', '单价25183元/平米')
('https://image1.ljcdn.com/370600-inspection/96f2ce60-a2ea-43e7-bfb5-617a6511b0a3.JPG.296x216.jpg', '楼层低，南北通透，采光视野好，生活便利', '福乐里  | 3室1厅 | 77.16平米 | 南 北 | 其他', '低楼层(共6层)1985年建板楼  -  毓璜顶', '160万', '单价20737元/平米')
('https://image1.ljcdn.com/370600-inspection/940f6479-ff15-4744-9bbc-1d8a52f081fa.JPG.296x216.jpg', '二中南通路、翡翠框架房、3室2厅南北通透、中间楼层', '通世里  | 3室2厅 | 91.86平米 | 南 北 | 简装', '中楼层(共7层)2000年建板塔结合  -  南通路', '180万', '单价19596元/平米')
('https://image1.ljcdn.com/370600-inspection/bffc99ee-416f-434e-938c-2148630c92ab.jpg.296x216.jpg', '十中+南山路+楼层好+进门厅+双南卧+采光好+格局好', '民生街  | 2室1厅 | 54.67平米 | 南 | 简装', '中楼层(共6层)1989年建板楼  -  解放路', '116万', '单价21219元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload7667d0e4-850a-4a4b-9a3b-b97e4a2b0c5e.jpg.296x216.jpg', '中间楼层+电梯房+两室+东南朝向', '福来里  | 2室1厅 | 91.3平米 | 东南 | 其他', '低楼层(共28层)2004年建板楼  -  厚安', '126万', '单价13801元/平米')
('https://image1.ljcdn.com/370600-inspection/f3859369-160f-4700-909c-f814af37bc03.jpg.296x216.jpg', '西海岸海景房，复试结构，南北通透采光充足', '西海岸路38号  | 4室2厅 | 144.49平米 | 南 北 | 其他', '高楼层(共16层)2007年建板楼  -  幸福', '246万', '单价17026元/平米')
('https://image1.ljcdn.com/370600-inspection/e2ce7e0b-5c45-4024-b773-2c6a93269080.JPG.296x216.jpg', '振华国际 南大街 交通便利 采光充足 精装修', '振华国际广场  | 1室1厅 | 56.07平米 | 西 | 精装', '中楼层(共26层)2010年建板塔结合  -  三站', '76万', '单价13555元/平米')
('https://image1.ljcdn.com/370600-inspection/2625c000-d4d4-4cee-ba39-5ee1f0347202.JPG.296x216.jpg', '文化四巷 低楼层 南北通透 拎包注入 适合老人居住', '文化四巷  | 2室1厅 | 70.78平米 | 南 北 | 其他', '中楼层(共4层)1989年建板楼  -  文化路', '66万', '单价9325元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload26c3111c-85a9-4e3e-8a17-775ccf94bda5.jpg.296x216.jpg', '四马路 电梯房 南向 采光无遮挡 装修好 拎包入住', '四马路  | 1室1厅 | 51.63平米 | 东南 | 简装', '中楼层(共30层)1998年建板塔结合  -  二马路', '95万', '单价18401元/平米')
('https://image1.ljcdn.com/370600-inspection/7f0e9a0d-d987-473f-868f-8a54fcba71f5.jpg.296x216.jpg', '塔山东路   2楼精装修，2000年框架房', '塔山东路  | 2室2厅 | 80平米 | 南 北 | 其他', '低楼层(共7层)2000年建板楼  -  上夼', '96.8万', '单价12100元/平米')
('https://image1.ljcdn.com/370600-inspection/c0e75ecd-c838-43d2-8f7f-1574332ae706.jpg.296x216.jpg', '新世界花园  两室一厅  南北通透  拎包入住', '新世界花园  | 2室1厅 | 79.53平米 | 南 北 | 其他', '中楼层(共20层)2005年建板楼  -  幸福', '87万', '单价10940元/平米')
('https://image1.ljcdn.com/370600-inspection/8525aa7a-fe5e-4501-a52c-8d5e94d25a38.jpg.296x216.jpg', '小户型 装修别致 拎包入住 双阳卧室', '幸福里  | 2室1厅 | 53.44平米 | 南 | 其他', '高楼层(共5层)暂无数据  -  幸福', '63万', '单价11789元/平米')
('https://image1.ljcdn.com/370600-inspection/1a4d74fe-b89c-4c5e-9940-eaffc31a7bce.jpg.296x216.jpg', '塔山东路2000年框架中间楼层精装修南北通透好停车', '塔山东路  | 2室2厅 | 80.66平米 | 南 北 | 其他', '中楼层(共7层)2000年建板楼  -  上夼', '105万', '单价13018元/平米')
