('https://image1.ljcdn.com/310000-inspection/2f9fa6ab-9f0c-4960-a978-dceb7fe2ca2a.jpg.296x216.jpg', '住宅产权，看房方便，满五年，高区视野无遮挡', '庐迅大厦  | 2室2厅 | 95.79平米 | 东 | 其他 | 有电梯', '高楼层(共23层)塔楼  -  鲁迅公园', '490万', '单价51154元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadd018effb-b241-456a-98ff-93642c70e4ec.jpg.296x216.jpg', '交通便利，邻地铁口，配套齐全，户型方正，婚房精装', '玉龙大厦  | 2室2厅 | 99.52平米 | 南 | 精装 | 有电梯', '低楼层(共26层)1998年建塔楼  -  鲁迅公园', '570万', '单价57275元/平米')
('https://image1.ljcdn.com/310000-inspection/25ad868d-9eb6-46de-b9cf-1d23ae538fbf.jpg.296x216.jpg', '怡景大厦，两房朝南，边套全明，采光充足，中式风格', '怡景大厦  | 2室2厅 | 91.16平米 | 南 | 其他 | 有电梯', '低楼层(共22层)1996年建塔楼  -  鲁迅公园', '560万', '单价61431元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload83adca03-063a-4392-ba10-60f2229e038b.jpg.296x216.jpg', '玉龙大厦 2室1厅 643万', '玉龙大厦  | 2室1厅 | 99平米 | 南 | 其他 | 有电梯', '中楼层(共26层)1998年建塔楼  -  鲁迅公园', '643万', '单价64950元/平米')
('https://image1.ljcdn.com/310000-inspection/7f3c0e83-2108-4183-8d78-1a616b05fb84.jpg.296x216.jpg', '刚需型小一房  适宜居住 只要你有时间 基本都方便看房', '万康家园  | 1室1厅 | 37.96平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  江湾镇', '190万', '单价50053元/平米')
('https://image1.ljcdn.com/310000-inspection/test-343b67ae-e9ec-44fe-8521-30145fbdfe3b.png.296x216.jpg', '凯虹家园 2室2厅 700万', '凯虹家园  | 2室2厅 | 98.11平米 | 南 | 简装 | 有电梯', '高楼层(共33层)2001年建板楼  -  临平路', '700万', '单价71349元/平米')
('https://image1.ljcdn.com/310000-inspection/test-24107527-1f35-466a-adb5-1166d1daea3b.png.296x216.jpg', '忠烈小区 2室1厅 345万', '忠烈小区  | 2室1厅 | 61.89平米 | 南 | 精装 | 无电梯', '中楼层(共6层)板楼  -  江湾镇', '345万', '单价55745元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170328/1f0f9cc5-043a-459a-991b-067f5040314b.jpg.296x216.jpg', '近3/8号线地铁虹口足球场，内环内繁华地段。', '同鸣小区  | 3室2厅 | 102平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  鲁迅公园', '700万', '单价68628元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6a9a20f2-64fa-4c2a-8c60-63695868da8b.png.296x216.jpg', '南北两房  一梯两户  钥匙房  正对花园  半深井采光', '文苑小区(虹口)  | 2室1厅 | 56.8平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  凉城', '310万', '单价54578元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171223/daa89249-d21e-4724-85be-4f952cf4d0dc.jpg.296x216.jpg', '朝南一室户，中间楼层，小区靠中位置，看房方便', '密云路471弄  | 1室1厅 | 39.6平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1983年建板楼  -  曲阳', '255万', '单价64394元/平米')
('https://image1.ljcdn.com/310000-inspection/4c375905-f95c-4ab2-8a25-78e6cb180548.jpg.296x216.jpg', '带阁楼正规三房 使用面积100平 配套成熟 上学方便', '广中四村  | 3室1厅 | 66.82平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1957年建板楼  -  凉城', '370万', '单价55373元/平米')
('https://image1.ljcdn.com/310000-inspection/d94dec40-3715-4da5-bb6d-261c4c12756b.jpg.296x216.jpg', '正规一室一厅，边套全明，房型好，单价低', '何家宅小区  | 1室1厅 | 43.85平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1992年建板楼  -  鲁迅公园', '245万', '单价55873元/平米')
('https://image1.ljcdn.com/310000-inspection/884e18c8-5e77-4aa9-b99c-dc630093981f.jpg.296x216.jpg', '枫叶公寓+全明大三房+送两个车位+1T2户+看房方便', '枫叶公寓  | 3室2厅 | 126平米 | 南 北 | 精装', '中楼层(共7层)2001年建板楼  -  江湾镇', '822万', '单价65239元/平米')
('https://image1.ljcdn.com/310000-inspection/ced34bfd-b8ae-48ff-b5c4-5c87742d4d2e.jpg.296x216.jpg', '国贸花园 3室2厅 850万', '国贸花园  | 3室2厅 | 134平米 | 南 北 | 其他 | 有电梯', '低楼层(共26层)1997年建塔楼  -  四川北路', '850万', '单价63433元/平米')
('https://image1.ljcdn.com/310000-inspection/b66d6792-456d-4442-9c1c-e1e211605148.jpg.296x216.jpg', '垦业小区 2室1厅 445万', '垦业小区  | 2室1厅 | 65平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1985年建板楼  -  临平路', '445万', '单价68462元/平米')
('https://image1.ljcdn.com/310000-inspection/b5304f06-abd1-4b7e-890a-6d32af27885b.jpg.296x216.jpg', '晨林花苑 1室1厅 475万', '晨林花苑  | 1室1厅 | 60.91平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  临平路', '475万', '单价77984元/平米')
('https://image1.ljcdn.com/310000-inspection/test-418ba47c-29e0-4cde-a14c-c730b3df30a7.png.296x216.jpg', '精选小三房，这么好的房子，业主这么舍得卖呢？', '星苑小区  | 3室1厅 | 76.09平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  凉城', '420万', '单价55198元/平米')
('https://image1.ljcdn.com/310000-inspection/test-546522ec-df14-4a4a-b1fa-03ed368f1f11.png.296x216.jpg', '仁德小区 1室1厅 195万', '仁德小区  | 1室1厅 | 40.58平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  江湾镇', '195万', '单价48054元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171210/b358e7d1-f996-4697-9a99-3c351c379cb5.jpg.296x216.jpg', '2006年次新房，房东一手买进，满五唯一，房东诚意出售', '欣逸家园  | 2室2厅 | 99.17平米 | 南 | 精装 | 有电梯', '高楼层(共15层)2006年建板楼  -  江湾镇', '710万', '单价71595元/平米')
('https://image1.ljcdn.com/310000-inspection/0ead3c94-b70d-4bef-81af-4a5b06fca3ef.jpg.296x216.jpg', '3号大柏树300米 小户型正式两房 总价低 一梯三户边户', '灵新小区  | 2室0厅 | 41.39平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  凉城', '219万', '单价52912元/平米')
('https://image1.ljcdn.com/310000-inspection/1b9a5fa5-f64e-4a8a-9df1-8d6067b16f38.jpg.296x216.jpg', '大柏树.赤峰地铁》《电梯两房朝南.停车方便. 舒适 ！', '开隆公寓  | 3室2厅 | 145.34平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)1998年建塔楼  -  凉城', '899万', '单价61855元/平米')
('https://image1.ljcdn.com/310000-inspection/test-812b09d0-2c2d-4294-a1e4-f942728b1c3b.png.296x216.jpg', '临平路户型正气  有钥匙看房方便', '虹口现代公寓  | 3室2厅 | 126.01平米 | 南 西 北 | 精装 | 有电梯', '低楼层(共34层)2002年建板楼  -  临平路', '905万', '单价71820元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/8ba5e4e0-5f51-48d2-be50-d604564778ab.png.280x210.jpg', '恒升半岛 1室1厅 395万', '恒升半岛  | 1室1厅 | 51.7平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2001年建塔楼  -  北外滩', '395万', '单价76403元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171221/c71be3b9-b0d8-43c3-9680-dd03890d68f2.jpg.296x216.jpg', '售后公房+中间楼层+满五唯一+全明户型+急售', '商洛小区  | 2室1厅 | 70.5平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1960年建板楼  -  凉城', '360万', '单价51064元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2951dc0a-4e1a-4173-8e86-743c590e4e70.png.296x216.jpg', '房东急卖，精装2年，5F，南北通风，价格可谈，90年！', '四平路幸福村  | 2室1厅 | 55.52平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  曲阳', '335万', '单价60339元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6cf93ced-cc3c-4231-b910-f1c9d9807470.png.296x216.jpg', '纪念小区+位置好+双南户型+距地铁500米', '纪念小区  | 2室1厅 | 63.01平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  江湾镇', '360万', '单价57134元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/17c59a4c-b326-45f2-a963-9c52649b396a.png.280x210.jpg', '正气西边套房型 南北通风 通风阳光好 近地铁 三轨之间', '祥东小区(虹口)  | 2室0厅 | 48.27平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1982年建板楼  -  曲阳', '300万', '单价62151元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/f8d1f203-8050-4a73-afc2-485d1609f98b.png.280x210.jpg', '瑞虹新城旁电梯全南两房+售后公房税费少+看房方便', '大连小区  | 2室1厅 | 73.06平米 | 南 | 简装 | 有电梯', '高楼层(共25层)1994年建塔楼  -  临平路', '540万', '单价73912元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2a245747-d5c3-4b58-aa6c-4b57f9fb87e8.jpg.296x216.jpg', '氧吧小区+出门即达环城4号线地铁+爆款小两房', '紫虹嘉苑  | 2室2厅 | 84.3平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2005年建板楼  -  临平路', '690万', '单价81851元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171226/ca76118d-a48b-4682-85ea-7de98185ff12.jpg.296x216.jpg', '三门二小区 1室1厅 260万', '三门二小区  | 1室1厅 | 48.22平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1997年建板楼  -  江湾镇', '260万', '单价53920元/平米')
('https://image1.ljcdn.com/310000-inspection/c998f4e5-454a-466c-86e4-9b56fab20c05.jpg.296x216.jpg', '户型好 精装修 拎包住  业主诚卖 前后无遮挡', '文华苑(虹口)  | 2室1厅 | 68.22平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1997年建板楼  -  凉城', '315万', '单价46175元/平米')
('https://image1.ljcdn.com/310000-inspection/f4d9aa61-9950-4313-bdcf-1d842e1d4ea4.jpg.296x216.jpg', '朝南两房，地铁沿线，总价低，采光无遮挡。', '纪念小区  | 2室1厅 | 43.23平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  江湾镇', '255万', '单价58987元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/858c4dc0-6083-4142-a750-d25fdedef5a1.png.280x210.jpg', '同济大学复旦大学双校区，看房方便', '运光路53号  | 2室1厅 | 52.64平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1982年建板楼  -  曲阳', '325万', '单价61741元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161115/58559cf8-fa11-4f15-abe6-3ee27d2c00be.jpg.296x216.jpg', '宏惠花苑 2室2厅 750万', '宏惠花苑  | 2室2厅 | 100.02平米 | 南 | 简装 | 有电梯', '低楼层(共7层)2002年建板楼  -  北外滩', '750万', '单价74986元/平米')
('https://image1.ljcdn.com/310000-inspection/bf795bf8-a456-4418-91d3-32a4d75298a8.jpg.296x216.jpg', '本小区三期2004年竣工，全南户型看小区花园全景', '香港丽园  | 2室2厅 | 106.51平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2004年建塔楼  -  临平路', '828万', '单价77740元/平米')
('https://image1.ljcdn.com/310000-inspection/test-11ab82ad-ccd7-44d8-9ed1-f8d5bf9c0525.png.296x216.jpg', '距地铁200米，板式南北4房，地铁口的4房，看房有钥匙', '瑞嘉苑  | 4室2厅 | 143.74平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2004年建板楼  -  临平路', '1080万', '单价75136元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/eb454467-75b2-4b61-96b4-1d894295895b.png.280x210.jpg', '灵新小区，近地铁3号线大柏树400米，可落户，可贷款', '灵新小区  | 1室0厅 | 35.54平米 | 南 西南 | 简装 | 无电梯', '高楼层(共5层)1984年建板楼  -  凉城', '180万', '单价50648元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2c4e9bb6-7d9e-4bba-a0cf-8cac57a3c628.png.296x216.jpg', '南北全明的两房，税费各付，总价低，得房率高，四楼', '广中扩大小区  | 2室1厅 | 55.22平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1989年建板楼  -  凉城', '310万', '单价56140元/平米')
('https://image1.ljcdn.com/310000-inspection/dbeda0dd-1b61-4b2e-92c2-ea995a91f563.jpg.296x216.jpg', '广中二村，满五，交通便利，随时看房，', '广中二村  | 2室0厅 | 46.71平米 | 东南 | 其他 | 无电梯', '低楼层(共4层)板楼  -  凉城', '278万', '单价59517元/平米')
('https://image1.ljcdn.com/310000-inspection/2f34dec5-ad15-4a12-b832-da81bfa4ab32.jpg.296x216.jpg', '两房朝南，厨卫全明，带20平大花园', '虹口玫瑰苑  | 3室1厅 | 96.78平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  江湾镇', '618万', '单价63857元/平米')
('https://image1.ljcdn.com/310000-inspection/6b4849c7-b3bd-4436-92b1-2dcaae7b3a97.jpg.296x216.jpg', '业主诚售！可改三房！税费各付！价格可谈！看房方便！', '广裕小区  | 2室1厅 | 93.75平米 | 南 | 其他 | 有电梯', '低楼层(共24层)1998年建塔楼  -  江湾镇', '450万', '单价48000元/平米')
('https://image1.ljcdn.com/310000-inspection/test-54b28951-5ede-47e3-810c-d2aa9172afe2.png.296x216.jpg', '售后公房 满五唯一  边套全明通透 八扇窗户 全明户型', '秀苑小区  | 2室1厅 | 76.74平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  凉城', '470万', '单价61246元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161217/bcc3197b-d41e-4ec5-82b8-12c8d99b9b9d.jpg.296x216.jpg', '虹口凉城电梯大三房+南北通风+精装修+看房方便', '典雅公寓  | 3室2厅 | 135.45平米 | 南 | 精装 | 有电梯', '中楼层(共8层)2000年建板楼  -  凉城', '920万', '单价67922元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171126/17832569-5821-4431-92ea-69d5d4ea96f3.jpg.296x216.jpg', '婚房装修 内环内 电梯房 全明户型业主诚意出售急急急', '邮电二村  | 2室1厅 | 66.04平米 | 东 西 | 精装 | 有电梯', '低楼层(共24层)1994年建塔楼  -  曲阳', '520万', '单价78741元/平米')
('https://image1.ljcdn.com/310000-inspection/923c0ab6-45af-43f4-903c-9d52faf488d9.jpg.296x216.jpg', '华科公寓+地铁口精装两房+可上凉二+采光无挡+闹中取静', '华科公寓  | 2室1厅 | 74.45平米 | 西南 | 精装 | 有电梯', '中楼层(共24层)1998年建板楼  -  凉城', '448万', '单价60175元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f5335de4-09ee-4bff-af71-549328a9a39d.png.296x216.jpg', '运光小区 1室1厅 228万', '运光小区  | 1室1厅 | 38平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1983年建板楼  -  曲阳', '228万', '单价60000元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170519/55ca3b9c-3390-4b3a-8adc-91c0adb19dba.jpg.296x216.jpg', '溧阳华府(公寓) 2室2厅 1020万', '溧阳华府(公寓)  | 2室2厅 | 134.35平米 | 南 | 简装 | 有电梯', '低楼层(共35层)2011年建板楼  -  鲁迅公园', '1020万', '单价75922元/平米')
('https://image1.ljcdn.com/310000-inspection/efe8b640-27a1-4e9e-acc2-a225dd103acc.jpg.296x216.jpg', '建明花苑 2室2厅 620万', '建明花苑  | 2室2厅 | 89.89平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  凉城', '620万', '单价68974元/平米')
('https://image1.ljcdn.com/310000-inspection/3cf20829-cc8c-4395-b079-68688ce9350d.jpg.296x216.jpg', '南北通，采光好，虹口足球场，虹口龙之梦，鲁迅公园', '宝虹新苑  | 3室2厅 | 134.51平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  四川北路', '980万', '单价72858元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171231/947e822e-28bd-4b97-99e5-979ebc01df9d.jpg.296x216.jpg', '边套可改2房，环境好，双地铁（8号10号站）可做阁楼', '祥东小区(虹口)  | 1室1厅 | 42.76平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1982年建板楼  -  曲阳', '235万', '单价54958元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/82a87f6e-599e-494c-8796-07f6fa6084b1.png.280x210.jpg', '店长推荐 中间楼层 一梯两户 双南户型精装 满五唯一', '胜利小区(虹口)  | 2室1厅 | 64.52平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1995年建板楼  -  江湾镇', '330万', '单价51147元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/9d756e03-098c-4126-b206-194183c9fd6d.png.280x210.jpg', '双南两房 户型方正 精装修满五唯一', '沽源路111弄  | 2室1厅 | 48.44平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  江湾镇', '235万', '单价48514元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/2bc5514b-d366-491b-8d9e-40a7a4c4b0a5.png.280x210.jpg', '东边套，一房朝东，一房朝南，全明户型，业主置换卖房', '欧四小区  | 2室0厅 | 43.85平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  鲁迅公园', '304万', '单价69328元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9d36c6d1-5764-4afe-97c6-8f4cc7342b3e.png.296x216.jpg', '虬龙公寓 3室1厅 710万', '虬龙公寓  | 3室1厅 | 100.36平米 | 西南 | 其他 | 有电梯', '高楼层(共20层)塔楼  -  四川北路', '710万', '单价70746元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151223/86468f63-742c-48ac-8061-13af6a8f8412.jpg.296x216.jpg', '中虹明珠苑 2室2厅 890万', '中虹明珠苑  | 2室2厅 | 119.02平米 | 南 北 | 其他 | 有电梯', '低楼层(共13层)2006年建板楼  -  北外滩', '890万', '单价74778元/平米')
('https://image1.ljcdn.com/310000-inspection/4b31da00-159c-415a-bc0c-9df5ee7a768d.jpg.296x216.jpg', '此户型终于出售了 两房正南房型正气 景观楼层随时可看', '邮电二村  | 2室1厅 | 72.6平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)塔楼  -  曲阳', '605万', '单价83334元/平米')
('https://image1.ljcdn.com/310000-inspection/1d3b39c1-af7c-47b5-adb9-428491c05d17.jpg.296x216.jpg', '东四小区 2室1厅 620万', '东四小区  | 2室1厅 | 78.81平米 | 南 | 精装 | 有电梯', '低楼层(共13层)1986年建塔楼  -  曲阳', '620万', '单价78671元/平米')
('https://image1.ljcdn.com/310000-inspection/9b1ce548-864b-4742-8650-3d5c8563948a.jpg.296x216.jpg', '大三小区 2室0厅 285万', '大三小区  | 2室0厅 | 46.4平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1975年建板楼  -  曲阳', '285万', '单价61423元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170705/644a6ee0-9aaf-459e-b880-33978ea12c27.jpg.296x216.jpg', '两房朝南 视野好通风采光很好 周 边配套完善', '辉华大楼  | 2室2厅 | 76.6平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)1993年建塔楼  -  曲阳', '470万', '单价61358元/平米')
('https://image1.ljcdn.com/310000-inspection/288854a4-1078-40a7-ba86-9a637814ef75.jpg.296x216.jpg', '丰镇小区 医疗 公园 地铁都在您身边 配套成熟', '丰镇小区  | 1室1厅 | 39.19平米 | 西南 | 其他 | 无电梯', '低楼层(共6层)1989年建板楼  -  江湾镇', '230万', '单价58689元/平米')
('https://image1.ljcdn.com/310000-inspection/test-42e9fe47-232a-47a6-9048-1615c3bc1914.png.296x216.jpg', '观光电梯可看北外滩景观 一梯一户大平层 单价低', '浦江名邸  | 4室2厅 | 319.68平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2004年建板楼  -  临平路', '1870万', '单价58496元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c86ffcb0-5c16-4d37-9bf9-0d142988b6a4.png.296x216.jpg', '楼层好+次新房一梯一户，赠送产权车位+高区景观房A+', '复城国际(公寓)  | 3室2厅 | 150.29平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)2008年建板楼  -  曲阳', '1149万', '单价76453元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bc1d454f-477f-48ca-81e2-c672be63bb91.png.296x216.jpg', '凉城一村，双南户型，厨卫全明，精装修，一梯两户！', '凉城一村  | 2室1厅 | 64.03平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1991年建板楼  -  凉城', '325万', '单价50758元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload542cfa7a-6a4f-46e0-b368-f8f168d6f81d.jpg.296x216.jpg', '海虹大楼+南北小户型+总价低+采光好+空气好+全明户型', '海虹大楼  | 1室1厅 | 37.34平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1994年建板楼  -  凉城', '198万', '单价53027元/平米')
('https://image1.ljcdn.com/310000-inspection/4a2dfa0f-774b-49f7-90cb-59e173725b17.jpg.296x216.jpg', '近地铁+售后公房+楼层好+精装修拎包入住+南北通', '东宝兴路254弄28支弄  | 3室0厅 | 77.56平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1986年建板楼  -  四川北路', '580万', '单价74781元/平米')
('https://image1.ljcdn.com/310000-inspection/test-41444a5d-403a-458e-a7ea-933d18103e58.png.296x216.jpg', '2005年人车分流，低于市场百万，中区景观，地铁3号线', '中环明珠  | 3室2厅 | 137.91平米 | 南 北 | 精装 | 有电梯', '中楼层(共17层)2005年建板楼  -  凉城', '970万', '单价70336元/平米')
('https://image1.ljcdn.com/310000-inspection/test-814acaa5-8fc4-4677-bd21-b74b8c964837.png.296x216.jpg', '8号线曲阳站 旁边是上海首家家乐福 配套成熟 小户型', '玉四小区  | 1室0厅 | 35.69平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1983年建板楼  -  曲阳', '213万', '单价59681元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload05fcd62a-2077-425d-9128-5b180dfc1847.jpg.296x216.jpg', '满2年税少《南北通》带看火热 业主置换别墅 看中面谈', '瑞虹新城璟庭  | 3室2厅 | 140.74平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2014年建板楼  -  临平路', '1480万', '单价105159元/平米')
('https://image1.ljcdn.com/310000-inspection/13b0219b-3ae0-4c9b-9a77-ceebd000b76f.jpg.296x216.jpg', '锦苑小区精装修一室一厅采光无遮挡近大柏树站诚意出售', '锦苑小区(虹口)  | 1室1厅 | 38.6平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  凉城', '200万', '单价51814元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/fe4c8a0e-24b9-419c-99dd-e95379c82cc1.png.280x210.jpg', '鲁迅公园旁，南北两房，满五唯一，10/8号双轨交通', '欧五小区  | 2室1厅 | 48.75平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1991年建板楼  -  鲁迅公园', '270万', '单价55385元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170408/3c932c6f-92a5-4c5d-bdeb-8698890e6b27.jpg.296x216.jpg', '小区在售楼层最搞的，满五看房方便，到价签字', '建邦16区  | 2室2厅 | 99.42平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2011年建板楼  -  临平路', '958万', '单价96359元/平米')
('https://image1.ljcdn.com/310000-inspection/05131909-f733-42e1-ab61-072aece46caa.jpg.296x216.jpg', '平和大楼 1室1厅 385万', '平和大楼  | 1室1厅 | 59.42平米 | 东 | 精装 | 有电梯', '高楼层(共14层)1991年建塔楼  -  临平路', '385万', '单价64793元/平米')
('https://image1.ljcdn.com/310000-inspection/627ca989-2e68-4aeb-9794-16e3d9f2971f.jpg.296x216.jpg', '江湾房源，小两室，总价低于市场价。', '新一小区  | 2室1厅 | 55.46平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1986年建板楼  -  江湾镇', '310万', '单价55897元/平米')
('https://image1.ljcdn.com/310000-inspection/3970f57c-f24b-4b11-a8fe-33e44deff67d.jpg.296x216.jpg', '商洛小区 3室1厅 499万', '商洛小区  | 3室1厅 | 97平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1960年建板楼  -  凉城', '499万', '单价51444元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9a0b35ff-5d31-496c-938b-9ee644555d80.png.296x216.jpg', '钥匙在链家，中间楼层，单价五万低于市场价 诚意出售', '华严路68弄  | 1室1厅 | 45.35平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)1995年建板楼  -  江湾镇', '220万', '单价48512元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a3e96d6d-c551-4500-894a-54b34d26c5d9.png.296x216.jpg', '豪景苑、业主自己承担个税、增值税！！各付价！！', '豪景苑  | 3室2厅 | 153.88平米 | 南 | 其他 | 有电梯', '低楼层(共38层)2013年建板楼  -  北外滩', '1530万', '单价99429元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8728c031-6126-48f9-acde-d3fe734a6fd7.png.296x216.jpg', '天宝西路252弄 1室0厅 180万', '天宝西路252弄  | 1室0厅 | 32.29平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1957年建板楼  -  曲阳', '180万', '单价55745元/平米')
('https://image1.ljcdn.com/310000-inspection/d751d320-f42e-47f0-9cd1-d08bf764e111.jpg.296x216.jpg', '密三小区 1室0厅 220万', '密三小区  | 1室0厅 | 33.82平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1981年建板楼  -  曲阳', '220万', '单价65051元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/44306bb2-7fae-44d9-be0d-45170e204138.png.280x210.jpg', '85年建造！不一样的选择，不一样的体验花园式温馨小屋', '玉田新村  | 2室1厅 | 51.35平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1985年建板楼  -  曲阳', '335万', '单价65239元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b43abbeb-7ccb-4fa3-9d60-b0ae40a7773a.png.296x216.jpg', '东体小区 1室1厅 255万', '东体小区  | 1室1厅 | 39.47平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1981年建板楼  -  曲阳', '255万', '单价64607元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e5716c15-52e0-4c31-8ca8-a30f2990c9b1.png.296x216.jpg', '宏苑小区 2室1厅 295万', '宏苑小区  | 2室1厅 | 50.4平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  凉城', '295万', '单价58532元/平米')
('https://image1.ljcdn.com/310000-inspection/test-16ee2a23-5c9d-47a0-8a99-d4723f0a5121.png.296x216.jpg', '地铁口公园旁，10年次新小区，紧靠瑞虹新天地看房方便', '中信和平家园  | 2室2厅 | 89.17平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2010年建板楼  -  临平路', '830万', '单价93081元/平米')
('https://image1.ljcdn.com/310000-inspection/ff4a7582-8dbd-4f51-b936-0744b62e21c9.jpg.296x216.jpg', '装电梯，满五唯一，精装3房，南北全明，地铁3号线', '纪念一小区  | 3室1厅 | 84.36平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  江湾镇', '455万', '单价53936元/平米')
