('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/7052c17b-3fdd-4b7c-949e-20f2bfeac03b.jpg.296x216.jpg', '发能太阳海岸 户型方正 两房朝南 中间楼层', '发能太阳海岸  | 2室1厅 | 69.17平米 | 南 | 其他', '中楼层(共30层)2010年建塔楼  -  笔架山', '150万', '单价21686元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1920b5f5-6d2c-4893-afb0-aec5ac357f93.jpg.296x216.jpg', '单价不高 总价低  精装大两房', '水墨兰庭  | 2室2厅 | 107.98平米 | 南 | 其他', '中楼层(共9层)2005年建板楼  -  笔架山', '230万', '单价21301元/平米')
('https://image1.ljcdn.com/340100-inspection/5cbb74a7-47dc-47aa-949a-feecfe8ac35a.jpg.296x216.jpg', '乐富强御龙湾 2室1厅 158万', '乐富强御龙湾  | 2室1厅 | 77.58平米 | 西北 | 其他', '高楼层(共32层)2011年建塔楼  -  笔架山', '158万', '单价20367元/平米')
('https://image1.ljcdn.com/340100-inspection/4a9ac9ce-02b9-43aa-b910-e9b8a7a971bd.jpg.296x216.jpg', '丹青花园 133.52平 256万', '丹青花园  | 3室2厅 | 133.52平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '228万', '单价17077元/平米')
('https://image1.ljcdn.com/340100-inspection/877a978d-00e8-4642-9ea6-1bf5376c6353.jpg.296x216.jpg', '为你而选 为你为家 嘉和苑大两房 采光好 位置好', '嘉和苑小区  | 2室2厅 | 88平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  荷叶地', '160万', '单价18182元/平米')
('https://image1.ljcdn.com/340100-inspection/6bd67d31-5d57-4e77-af83-d37f63f71b10.jpg.296x216.jpg', '南北通透 好楼栋位置  生活便利 采光充足', '翠庭园  | 2室2厅 | 71平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  笔架山', '160万', '单价22536元/平米')
('https://image1.ljcdn.com/340100-inspection/ed36a39c-3dd2-43eb-9529-48d72595fac6.JPG.296x216.jpg', '宋都西湖花苑 通透大三房 视野开阔', '宋都西湖花苑  | 3室2厅 | 129.17平米 | 南 北 | 其他', '中楼层(共18层)2007年建板楼  -  笔架山', '338万', '单价26168元/平米')
('https://image1.ljcdn.com/340100-inspection/4f44682c-2bf7-44f5-9ad6-a070f7a00152.jpg.296x216.jpg', '政务区 毛坯 有钥匙 满二 朝南  配套成熟', '天鹅湖一号  | 2室2厅 | 85平米 | 南 | 其他', '高楼层(共34层)2011年建塔楼  -  荷叶地', '230万', '单价27059元/平米')
('https://image1.ljcdn.com/340100-inspection/5372ae78-1214-40fa-bb65-b0aeeb400c12.JPG.296x216.jpg', '全新装修小户型，总价低，小区地段好，景观小区', '融科九重锦  | 2室1厅 | 66.36平米 | 南 | 其他', '高楼层(共26层)2010年建塔楼  -  笔架山', '165万', '单价24865元/平米')
('https://image1.ljcdn.com/340100-inspection/f0e36c6f-68c1-4d40-9449-369f2d4fd420.JPG.296x216.jpg', '交通便利 配套齐全 采光良好 看房方便', 'imore公寓  | 1室1厅 | 72.49平米 | 南 | 其他', '中楼层(共35层)2014年建塔楼  -  笔架山', '136万', '单价18762元/平米')
('https://image1.ljcdn.com/340100-inspection/826ef072-ced0-4080-93e2-30c08656672e.jpg.296x216.jpg', '楼层采光好，大户型南北通透，满五年', '恒大华府  | 3室2厅 | 186.7平米 | 南 北 | 其他', '高楼层(共32层)2012年建板楼  -  兴园', '365万', '单价19551元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6baf4391-6247-476d-8ac1-e610dced0e73.jpg.296x216.jpg', '满五年、大四房，楼幢楼层好，采光充足，精品装修', '丹青花园  | 3室2厅 | 143.95平米 | 南 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '296万', '单价20563元/平米')
('https://image1.ljcdn.com/340100-inspection/50637ece-b64d-4dff-a7e0-9e3f0e4d7658.jpg.296x216.jpg', '文一名门首府 3室2厅 198万', '文一名门首府  | 3室2厅 | 89.56平米 | 南 | 其他', '低楼层(共34层)2017年建塔楼  -  兴园', '198万', '单价22109元/平米')
('https://image1.ljcdn.com/340100-inspection/ddd9e1c6-7fdc-4f60-b1dd-4685f01ec352.JPG.296x216.jpg', '山水名城 1室2厅 170万', '山水名城  | 1室2厅 | 72.96平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  笔架山', '170万', '单价23301元/平米')
('https://image1.ljcdn.com/340100-inspection/45550444-5d36-4dac-8385-adc2a0a9e7e9.jpg.296x216.jpg', '小两居朝南 中装 满5年 50中 急售', '陶然居  | 2室2厅 | 77.09平米 | 南 | 其他', '中楼层(共18层)2009年建板楼  -  荷叶地', '150万', '单价19458元/平米')
('https://image1.ljcdn.com/340100-inspection/01f458c5-0e9a-46c6-aa52-39fe0cc6efb7.jpg.296x216.jpg', '四方新村 2室1厅 100万', '四方新村  | 2室1厅 | 57.04平米 | 南 | 其他', '高楼层(共6层)1990年建板楼  -  荷叶地', '100万', '单价17532元/平米')
('https://image1.ljcdn.com/340100-inspection/0a7f4245-c31a-4f35-9de5-8b9c7ff27c8e.JPG.296x216.jpg', '凯旋门 精装三房 楼层好 采光好  满两年 带车位', '凯旋门  | 3室2厅 | 135.01平米 | 南 北 | 其他', '高楼层(共41层)2012年建塔楼  -  荷叶地', '400万', '单价29628元/平米')
('https://image1.ljcdn.com/340100-inspection/4d413c6b-0089-48c0-9220-55c232d6524e.jpg.296x216.jpg', '发能太阳海岸诚心出售南北小三居室', '发能太阳海岸  | 3室1厅 | 75.26平米 | 南 北 | 其他', '中楼层(共30层)2010年建塔楼  -  笔架山', '170万', '单价22589元/平米')
('https://image1.ljcdn.com/340100-inspection/04d727b5-f388-407d-bc0d-6f3f658bb04c.jpg.296x216.jpg', '天鹅湾花园 天鹅湖万达广场 配套成熟', '天鹅湾花园  | 2室2厅 | 91平米 | 南 北 | 其他', '中楼层(共26层)2008年建塔楼  -  笔架山', '219万', '单价24066元/平米')
('https://image1.ljcdn.com/340100-inspection/5a1343c8-704c-4ff1-8f0e-d88690394fca.JPG.296x216.jpg', '琥珀五环城小三房  楼栋位置安静  居家装修 诚心出售', '琥珀五环城和风阁  | 3室2厅 | 97.66平米 | 南 | 其他', '低楼层(共31层)2016年建塔楼  -  荷叶地', '200万', '单价20480元/平米')
('https://image1.ljcdn.com/340100-inspection/e8204108-fc4a-4a14-9a07-bd50ef9c7a4a.JPG.296x216.jpg', '高楼层三房，视野好。包含产权车位。', '国贸天琴湾  | 3室2厅 | 121.49平米 | 南 北 | 其他', '高楼层(共34层)2012年建塔楼  -  笔架山', '325万', '单价26752元/平米')
('https://image1.ljcdn.com/340100-inspection/e269e8cf-c5c2-4071-9632-b1f9612299b6.jpg.296x216.jpg', '满五年，大两居，精装修，市政供暖', '天鹅湖畔  | 2室2厅 | 118.43平米 | 南 | 其他', '高楼层(共27层)2008年建塔楼  -  笔架山', '335万', '单价28287元/平米')
('https://image1.ljcdn.com/340100-inspection/9ac7ec6e-f38c-405e-9d50-5a9b7b40a29e.jpg.296x216.jpg', '旭辉花园精装三房，南北通透，拎包即住！', '旭辉花园  | 3室2厅 | 88.52平米 | 南 北 | 其他', '高楼层(共34层)2012年建板楼  -  荷叶地', '219万', '单价24741元/平米')
('https://image1.ljcdn.com/340100-inspection/794f388f-fb7c-414b-9a53-6130f553b8c4.jpg.296x216.jpg', '户型方正，楼层好，全天采光无遮挡。', '绿怡居西小高层  | 3室2厅 | 143.64平米 | 南 | 其他', '低楼层(共11层)2004年建板楼  -  荷叶地', '225万', '单价15665元/平米')
('https://image1.ljcdn.com/340100-inspection/2472d557-b7b9-44a6-8808-1970eb27f444.jpg.296x216.jpg', '国建香榭水都，五室两厅，不含双税，送车位、家电！', '国建香榭水都  | 4室2厅 | 185.07平米 | 南 北 | 其他', '低楼层(共11层)2008年建塔楼  -  笔架山', '416万', '单价22478元/平米')
('https://image1.ljcdn.com/340100-inspection/79d501ca-cf5c-4b69-aeaf-990993ffa429.jpg.296x216.jpg', '绿怡居多层大两房   中高楼层   户型正气  满两年', '绿怡居西区  | 2室1厅 | 70.07平米 | 南 | 其他', '中楼层(共6层)2004年建板楼  -  荷叶地', '129万', '单价18411元/平米')
('https://image1.ljcdn.com/340100-inspection/1509b796-a584-40f5-9d9d-e02947f9f8be.jpg.296x216.jpg', '此房户型方正，通风性好，精装自住装修，采光充足！', '天鹅湖一号  | 2室2厅 | 85.16平米 | 南 | 其他', '高楼层(共34层)2011年建塔楼  -  荷叶地', '200万', '单价23486元/平米')
('https://image1.ljcdn.com/340100-inspection/1ac1eec9-d8fa-4fe0-9e4b-9d83ff95c72b.jpg.296x216.jpg', '美丽的天鹅湖，好房在天鹅湖一号', '天鹅湖一号  | 2室2厅 | 85.5平米 | 南 | 其他', '中楼层(共34层)2011年建塔楼  -  荷叶地', '208万', '单价24328元/平米')
('https://image1.ljcdn.com/340100-inspection/a338a0e7-de18-4772-85b5-e0bf7d8c264d.jpg.296x216.jpg', '满两年，南北通透，位置安静，大三房，精装修入住', '国际丽晶城  | 3室2厅 | 120.67平米 | 南 北 | 其他', '低楼层(共18层)2006年建塔楼  -  笔架山', '270万', '单价22376元/平米')
('https://image1.ljcdn.com/340100-inspection/ab988d66-f28f-43d9-b26e-991f0b7814cf.JPG.296x216.jpg', '融科九重锦新上两居室，视野开阔，采光充足。', '融科九重锦  | 2室2厅 | 84.11平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '210万', '单价24968元/平米')
('https://image1.ljcdn.com/340100-inspection/f3181714-d311-46d6-8517-ca764b24d839.jpg.296x216.jpg', '纯毛坯 户型好 有车位另算 户型方正 南北通透', '凯旋门  | 3室2厅 | 145平米 | 南 北 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '420万', '单价28966元/平米')
('https://image1.ljcdn.com/340100-inspection/86cae925-e426-429b-86ce-5aadb0de4551.JPG.296x216.jpg', '满五年，楼层好，业主诚心卖，交通便利 .繁华地段', '森林海  | 2室2厅 | 99.07平米 | 南 | 其他', '中楼层(共32层)2010年建塔楼  -  笔架山', '215万', '单价21702元/平米')
('https://image1.ljcdn.com/340100-inspection/7e762ef5-f034-4be4-ab6b-23f11b3e74eb.JPG.296x216.jpg', '精装修带暖气  交通便利 配套成熟 两房朝南', '绿地花都蓝蝶苑  | 2室1厅 | 83平米 | 南 | 其他', '中楼层(共18层)2010年建塔楼  -  笔架山', '245万', '单价29519元/平米')
('https://image1.ljcdn.com/340100-inspection/2e7cc3d8-8639-48be-a935-0f1c5e113dbb.JPG.296x216.jpg', '满五唯一 产权清晰 交通便利 配套成熟 业主诚售', '颐园世家  | 3室2厅 | 159.29平米 | 南 北 | 其他', '低楼层(共16层)2005年建板楼  -  笔架山', '370万', '单价23229元/平米')
('https://image1.ljcdn.com/340100-inspection/bd7bde46-6aec-4171-9257-107935da42a8.jpg.296x216.jpg', '楼层较低，配套齐全，适合老人居住', '发能太阳海岸  | 3室2厅 | 109.03平米 | 南 北 | 其他', '低楼层(共30层)2010年建塔楼  -  笔架山', '258万', '单价23664元/平米')
('https://image1.ljcdn.com/340100-inspection/71714047-5a54-4862-ba70-82c476ecfde6.jpg.296x216.jpg', '绿怡居 多层公摊小 总价低 配套齐全', '绿怡居东小高层  | 3室2厅 | 127.36平米 | 南 | 其他', '中楼层(共11层)2004年建塔楼  -  荷叶地', '210万', '单价16489元/平米')
('https://image1.ljcdn.com/340100-inspection/00af6a94-046c-4a4e-bfe6-65532bc2f0bd.jpg.296x216.jpg', '满5唯一，房型正气，精装修，五十中，置换诚售', '宋都西湖花苑  | 3室2厅 | 137.05平米 | 南 | 其他', '低楼层(共11层)2007年建板楼  -  笔架山', '335万', '单价24444元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfe6f9e55-e2d5-4b03-b5a9-3edcbd45d4ae.jpg.296x216.jpg', '五环城和风阁 满两年的三居室 南北通 东边户 诚心卖', '琥珀五环城和风阁  | 3室2厅 | 127.01平米 | 南 北 | 其他', '高楼层(共31层)2016年建塔楼  -  荷叶地', '266万', '单价20944元/平米')
('https://image1.ljcdn.com/340100-inspection/533e3136-033d-4d40-a407-e3797b5c70ca.jpg.296x216.jpg', '凯旋门一期 毛坯2房  南北双阳台 随时看房', '凯旋门  | 2室2厅 | 170.1平米 | 南 北 | 其他', '低楼层(共47层)2012年建塔楼  -  荷叶地', '410万', '单价24104元/平米')
('https://image1.ljcdn.com/340100-inspection/58afca21-4c05-42ae-aa2e-a7e1f47fa747.jpg.296x216.jpg', '恒大华府 精装两房  楼层位置好 视野开阔', '恒大华府  | 2室2厅 | 84.67平米 | 东 | 其他', '低楼层(共32层)2011年建板楼  -  兴园', '182万', '单价21496元/平米')
('https://image1.ljcdn.com/340100-inspection/a7114679-c9b7-47b9-add7-5d6536f6474b.jpg.296x216.jpg', '此房楼层好，采光好，位置安静，适合居家。', '翠庭园  | 3室1厅 | 90.87平米 | 南 | 其他', '低楼层(共6层)2000年建板楼  -  笔架山', '188万', '单价20689元/平米')
('https://image1.ljcdn.com/340100-inspection/1c1bf1e8-5edb-435a-bdaa-2be6dc36b1e6.jpg.296x216.jpg', '雏菊苑   中高楼层三房   户型方正   采光好', '雏菊苑  | 3室2厅 | 129.31平米 | 南 | 其他', '高楼层(共18层)2005年建塔楼  -  荷叶地', '336万', '单价25985元/平米')
('https://image1.ljcdn.com/340100-inspection/1d3337d3-588d-4c52-9e66-85410c80372b.jpg.296x216.jpg', '华邦世贸城  采光好 视野好 位置安静', '华邦世贸城  | 3室2厅 | 111.98平米 | 南 | 其他', '低楼层(共33层)2013年建板楼  -  荷叶地', '225万', '单价20093元/平米')
('https://image1.ljcdn.com/340100-inspection/bcbd0814-bf81-4152-be98-d7a2a2355ada.JPG.296x216.jpg', '宋都中间位置 小三房 精装修装修 随时看房 满五唯一', '宋都西湖花苑  | 3室2厅 | 96.25平米 | 南 | 其他', '高楼层(共18层)2007年建板楼  -  笔架山', '277万', '单价28780元/平米')
('https://image1.ljcdn.com/340100-inspection/c25bda62-666d-4f72-a1e5-dcf60a647f38.jpg.296x216.jpg', '茗香苑方正户型，中间楼层朝南大两室，', '茗香苑  | 2室2厅 | 90.52平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '190万', '单价20990元/平米')
('https://image1.ljcdn.com/340100-inspection/b0c61c13-4412-40be-a498-41dcc16635ef.jpg.296x216.jpg', '保利香槟国际南北通透   全明户型双卫  楼层好', '保利香槟国际  | 3室2厅 | 114.72平米 | 南 北 | 其他', '中楼层(共41层)2015年建塔楼  -  兴园', '298万', '单价25977元/平米')
('https://image1.ljcdn.com/340100-inspection/916e3602-0db0-42bf-a6c9-f9c59983d39a.jpg.296x216.jpg', '中铁四局和谐家园多层2楼，大三室！', '和谐家园  | 3室2厅 | 152.8平米 | 南 | 其他', '低楼层(共11层)2009年建板楼  -  荷叶地', '270万', '单价17671元/平米')
('https://image1.ljcdn.com/340100-inspection/e9dc6b83-6e83-431c-b189-245c7a9842ba.jpg.296x216.jpg', '70年产权，低总价，配套齐全，看房方便', '亚华新城邦雅轩  | 1室1厅 | 32.7平米 | 南 | 其他', '中楼层(共5层)2005年建板楼  -  荷叶地', '62万', '单价18961元/平米')
('https://image1.ljcdn.com/340100-inspection/9cc93ace-733f-434b-9e19-f7016c3198e5.jpg.296x216.jpg', '国际花都雏菊苑  户型方正  中高楼层 装修好', '雏菊苑  | 3室2厅 | 110.87平米 | 南 北 | 其他', '高楼层(共24层)2005年建塔楼  -  荷叶地', '266万', '单价23993元/平米')
('https://image1.ljcdn.com/340100-inspection/4cf62ed1-ab86-4415-93c7-3374b7a3f06d.JPG.296x216.jpg', '水墨 一居室 楼层好 视野好 朝北是公园！', '水墨兰庭  | 1室1厅 | 45.14平米 | 北 | 其他', '低楼层(共24层)2005年建塔楼  -  笔架山', '119万', '单价26363元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2b98a8df-c502-4cd9-b4d2-4c8ce6edbb2f.jpg.296x216.jpg', '楼层好    交通便利       户型好', '乐富强御龙湾  | 3室2厅 | 109.09平米 | 南 北 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '280万', '单价25667元/平米')
('https://image1.ljcdn.com/340100-inspection/ed82ade5-0de3-4686-86dc-1677298eee5a.jpg.296x216.jpg', '南北通透 自住清爽精装 满两年 户型正气', '国际花都郁金苑  | 3室2厅 | 116.43平米 | 南 北 | 其他', '低楼层(共10层)2003年建板楼  -  荷叶地', '224万', '单价19240元/平米')
('https://image1.ljcdn.com/340100-inspection/c77ea0fd-4594-48f1-aac9-6bfc1f989cfb.jpg.296x216.jpg', '户型方正，自住装修，业主诚心卖房，适合改善人群', '合肥恒润花园  | 3室2厅 | 139.07平米 | 南 | 其他', '中楼层(共16层)2006年建板楼  -  笔架山', '319.7万', '单价22989元/平米')
('https://image1.ljcdn.com/340100-inspection/a8155b72-167a-4d15-86a8-35cc4db8f696.JPG.296x216.jpg', '国贸天琴湾 2室2厅 230万', '国贸天琴湾  | 2室2厅 | 96.46平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  笔架山', '230万', '单价23845元/平米')
('https://image1.ljcdn.com/340100-inspection/bb1ac2c4-844a-4e8f-b57f-561362813944.JPG.296x216.jpg', '信达水岸茗都   2室2厅1厨1卫', '信达水岸茗都  | 2室2厅 | 95.57平米 | 南 北 | 其他', '低楼层(共24层)2008年建板楼  -  笔架山', '235万', '单价24590元/平米')
('https://image1.ljcdn.com/340100-inspection/4727f678-82b2-4dd2-b80f-770882cf416a.jpg.296x216.jpg', '融侨边户大四房，南北通透通风好，采光刺眼，看房方便', '融侨天骏  | 4室2厅 | 128.51平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '315万', '单价24512元/平米')
('https://image1.ljcdn.com/340100-inspection/1524f038-c18a-4e47-b20b-ede1ed26ccf5.jpg.296x216.jpg', '中间楼层 采光无遮挡 交通便利 配套成熟', '茗香苑  | 3室2厅 | 112.18平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '210万', '单价18720元/平米')
('https://image1.ljcdn.com/340100-inspection/8816dea6-13db-4a6b-9051-3c10bfb98740.jpg.296x216.jpg', '政务区，中间楼层两房，采光无遮挡。', '茗香苑  | 2室2厅 | 91.03平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  荷叶地', '180万', '单价19774元/平米')
('https://image1.ljcdn.com/340100-inspection/155c96ef-205f-456a-ae78-19a29a65512e.jpg.296x216.jpg', '为你而选为你为家 凯旋门一期 品质小区 中间楼层', '凯旋门  | 2室2厅 | 114.23平米 | 南 | 其他', '低楼层(共47层)2012年建塔楼  -  荷叶地', '318万', '单价27839元/平米')
('https://image1.ljcdn.com/340100-inspection/acf75727-aacb-4019-a189-2f6123dd8971.jpg.296x216.jpg', '为你而选为你为家 凯旋门精装修2居室 低楼层 适合老人', '凯旋门  | 2室2厅 | 82.89平米 | 南 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '258万', '单价31126元/平米')
('https://image1.ljcdn.com/340100-inspection/fd425a6a-48b9-4d4e-9f0e-0edc0e058bf5.jpg.296x216.jpg', '为你而选，刚需两居室，看房方便，楼层低不影响采光。', '琥珀五环城和雅阁  | 2室1厅 | 78.1平米 | 南 | 其他', '低楼层(共32层)2011年建塔楼  -  荷叶地', '165万', '单价21127元/平米')
('https://image1.ljcdn.com/340100-inspection/88a5b7aa-6355-40ec-aac2-cdb1af44175c.jpg.296x216.jpg', '新地中心   开发商统一精装修  位置好  业主诚售', '新地中心  | 3室2厅 | 159.17平米 | 南 | 其他', '低楼层(共40层)2012年建塔楼  -  荷叶地', '410万', '单价25759元/平米')
('https://image1.ljcdn.com/340100-inspection/0f87951d-8256-40a8-a81c-032e8ee670c0.JPG.296x216.jpg', '视野开阔采光无遮挡，满两年诚心出售，自住看房提前约', '国贸天琴湾  | 2室2厅 | 88.45平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  笔架山', '218万', '单价24647元/平米')
('https://image1.ljcdn.com/340100-inspection/53e4cee6-2810-40c0-99a3-c9260e89abb6.jpg.296x216.jpg', '政务天鹅湖旁 ，此房办证满2，楼层好，采光充足，自住', '华邦世贸城  | 3室2厅 | 106.8平米 | 南 北 | 其他', '高楼层(共30层)2013年建板楼  -  荷叶地', '240万', '单价22472元/平米')
('https://image1.ljcdn.com/340100-inspection/ccf80b42-7f7c-4fd9-bf6c-f58be755602b.jpg.296x216.jpg', '此房楼层好，位置好，视野好，业主诚心出售', '凯旋门  | 3室2厅 | 135.3平米 | 南 北 | 其他', '高楼层(共41层)2012年建塔楼  -  荷叶地', '400万', '单价29564元/平米')
('https://image1.ljcdn.com/340100-inspection/500ef173-56b4-4a8b-ae75-e40ed277f2be.jpg.296x216.jpg', '嘉和苑  大三房 两房朝南 位置安静 楼层好 采光很好', '嘉和苑小区  | 3室2厅 | 95.86平米 | 南 北 | 其他', '中楼层(共6层)2008年建板楼  -  荷叶地', '168万', '单价17526元/平米')
('https://image1.ljcdn.com/340100-inspection/4e885f90-8c73-446c-8d59-2a3c8150222c.jpg.296x216.jpg', '满五唯一，顶楼复式带电梯，露台全赠送', '绿怡居西小高层  | 5室2厅 | 212平米 | 南 | 简装', '高楼层(共11层)2004年建板楼  -  荷叶地', '250万', '单价11793元/平米')
('https://image1.ljcdn.com/340100-inspection/1bf3e4bc-8b7f-4c82-82ea-2c9aef1db931.jpg.296x216.jpg', '为你而选为你为家浅水湾，三房，视野好，采光好', '浅水湾  | 3室2厅 | 122.6平米 | 南 | 其他', '中楼层(共6层)2004年建塔楼  -  荷叶地', '245万', '单价19984元/平米')
('https://image1.ljcdn.com/340100-inspection/f7330ee2-85e1-4da0-aa0e-b7ae585b83a4.jpg.296x216.jpg', '岸上玫瑰 3室2厅 350万', '岸上玫瑰  | 3室2厅 | 130.32平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  笔架山', '350万', '单价26857元/平米')
('https://image1.ljcdn.com/340100-inspection/42720184-05d0-4780-a538-25cad750e124.JPG.296x216.jpg', '汇林阁东区 居家装修 3居室 满五年', '汇林阁东区  | 3室2厅 | 99.87平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  笔架山', '198万', '单价19826元/平米')
('https://image1.ljcdn.com/340100-inspection/30624abb-6cff-4af6-a32e-81b02bd8a5c6.JPG.296x216.jpg', '融侨天骏 3室1厅 230万', '融侨天骏  | 3室1厅 | 100.7平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '230万', '单价22841元/平米')
('https://image1.ljcdn.com/340100-inspection/a6582a74-684b-47c4-ae4e-d0a97d0128a1.jpg.296x216.jpg', '为你而选为你为家 凯旋门一期毛坯2房 中层 随时看房', '凯旋门  | 2室2厅 | 170.45平米 | 南 | 其他', '高楼层(共47层)2012年建塔楼  -  荷叶地', '394万', '单价23116元/平米')
('https://image1.ljcdn.com/340100-inspection/7581b0d9-e572-44b6-8acb-95b9aeff3466.jpg.296x216.jpg', '此房满5年，没有增值税，楼层高，采光无遮', '丹青花园  | 3室2厅 | 117.89平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  荷叶地', '225万', '单价19086元/平米')
('https://image1.ljcdn.com/340100-inspection/ef45fc04-bc8d-4a23-857a-786bb426bb2f.JPG.296x216.jpg', '发能太阳海岸 4室2厅 315万', '发能太阳海岸  | 4室2厅 | 146.93平米 | 南 北 | 其他', '高楼层(共32层)2010年建塔楼  -  笔架山', '315万', '单价21439元/平米')
('https://image1.ljcdn.com/340100-inspection/37807c83-acb3-4ccb-b979-58349a44c06d.jpg.296x216.jpg', '为你而选为你为家 凯旋门一期 精装修 拎包入住', '凯旋门  | 2室2厅 | 199.87平米 | 南 北 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '600万', '单价30020元/平米')
('https://image1.ljcdn.com/340100-inspection/e07bf6b1-635a-4b40-a403-614e82508ea0.JPG.296x216.jpg', '融侨天骏  南北通透  三房 看房方便', '融侨天骏  | 3室2厅 | 97平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '245万', '单价25258元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd0f74a96-f4f5-4f45-a631-21806c236bf0.jpg.296x216.jpg', '楼层低 适宜老人居住 业主诚心卖', '发能太阳海岸  | 3室1厅 | 110.4平米 | 南 | 其他', '低楼层(共29层)2010年建塔楼  -  笔架山', '223万', '单价20200元/平米')
('https://image1.ljcdn.com/340100-inspection/18ce746d-349a-455f-a3df-e18ea872384d.jpg.296x216.jpg', '政务区文一 精装修 南北通透 采光好 诚心出售 含车位', '文一名门首府  | 4室2厅 | 129.79平米 | 南 北 | 其他', '低楼层(共34层)2017年建塔楼  -  兴园', '318万', '单价24502元/平米')
('https://image1.ljcdn.com/340100-inspection/8511c2de-187d-4415-bebe-b4c5b5cf61d2.jpg.296x216.jpg', '御龙湾经典两房 动静分离 采光无挡', '乐富强御龙湾  | 2室2厅 | 87.28平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  笔架山', '205万', '单价23488元/平米')
('https://image1.ljcdn.com/340100-inspection/79777bd6-be35-4854-8849-54c6ad8acb25.JPG.296x216.jpg', '森林海  中间户型  诚心出售  采光好', '森林海  | 2室2厅 | 100.31平米 | 南 | 其他', '高楼层(共32层)2010年建塔楼  -  笔架山', '220万', '单价21933元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadfb216f7b-4e8f-48a4-a818-ece569770099.jpg.296x216.jpg', '中间楼层采光好无遮挡，居家装修，拎包入住', '天鹅湖九号  | 3室2厅 | 96.29平米 | 南 | 其他', '中楼层(共23层)2012年建板楼  -  荷叶地', '195万', '单价20252元/平米')
('https://image1.ljcdn.com/340100-inspection/cb96418d-01b7-484a-aa5e-90705818e4f1.jpg.296x216.jpg', '新上一居室，诚心出售，看房方便', '森林海  | 1室1厅 | 60.94平米 | 西 | 简装', '高楼层(共28层)2010年建塔楼  -  笔架山', '140万', '单价22974元/平米')
('https://image1.ljcdn.com/340100-inspection/5716d4f6-29a5-4282-be3e-683eac549b06.JPG.296x216.jpg', '天鹅湖万达广场，朝北，65平，拎包即住', '天鹅湖万达广场  | 0室1厅 | 65.19平米 | 东 北 | 其他', '中楼层(共24层)2009年建板塔结合  -  笔架山', '65万', '单价9971元/平米')
('https://image1.ljcdn.com/340100-inspection/fc472eba-ac0e-4a50-b409-3890521d70d1.jpg.296x216.jpg', '为你而选，为你而家，华邦世贸城精装三室，居家之选', '华邦世贸城  | 3室2厅 | 117平米 | 南 北 | 其他', '低楼层(共30层)2013年建板楼  -  荷叶地', '276万', '单价23590元/平米')
('https://image1.ljcdn.com/340100-inspection/2f6565e5-0fe3-487a-852e-15ac34635cf2.jpg.296x216.jpg', '中间楼层     三房     视野好', '国际丽晶城  | 3室2厅 | 91.33平米 | 南 北 | 其他', '中楼层(共26层)2006年建塔楼  -  笔架山', '248万', '单价27155元/平米')
('https://image1.ljcdn.com/340100-inspection/c9842a9e-e8d4-4477-ac51-efc673c1c834.JPG.296x216.jpg', '森林海大两房  楼层好 采光好', '森林海  | 2室2厅 | 103.99平米 | 南 | 其他', '高楼层(共32层)2010年建塔楼  -  笔架山', '260万', '单价25003元/平米')
