('https://image1.ljcdn.com/340100-inspection/0d3ee94d-bdc6-4564-a0d1-4fb2a8bf040b.JPG.296x216.jpg', '此房满两年， 视野开阔采光好 精装，南北通透', '东冠繁华逸城  | 3室2厅 | 90.72平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  黄小', '148万', '单价16314元/平米')
('https://image1.ljcdn.com/340100-inspection/test-b6105798-cbf1-49c8-912d-deb9e681fbdf.png.296x216.jpg', '东冠多层好房 可改3房 采光10 西政务', '东冠繁华逸城  | 2室2厅 | 88.66平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '137万', '单价15453元/平米')
('https://image1.ljcdn.com/340100-inspection/3aa6b2dd-7914-48eb-96f5-7ae115008fef.jpg.296x216.jpg', '开发商统一精装 拎包入住 小区环境新 紧邻政务区', '鼎元公馆  | 3室2厅 | 87平米 | 南 | 其他', '中楼层(共26层)暂无数据  -  黄小', '141万', '单价16207元/平米')
('https://image1.ljcdn.com/340100-inspection/7c30f1aa-6e54-4eb7-8fd9-0cdbabde320b.jpg.296x216.jpg', '三室中楼层纯毛坯电梯洋房上架啦', '文一名门绿洲  | 3室2厅 | 103平米 | 南 北 | 其他', '中楼层(共8层)暂无数据  -  繁华新园', '165万', '单价16020元/平米')
('https://image1.ljcdn.com/340100-inspection/99dd22b1-b431-4b5c-912f-dd3719deaafb.JPG.296x216.jpg', '禹洲华侨城三期荷园 2室1厅 158万', '禹洲华侨城三期荷园  | 2室1厅 | 88.74平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '158万', '单价17805元/平米')
('https://image1.ljcdn.com/340100-inspection/b6a83a3e-ee2f-452e-9493-1a7637849a87.jpg.296x216.jpg', '房子户型方正 满两年 顶层复式空间大 送车位', '东冠繁华逸城  | 3室2厅 | 98.75平米 | 南 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '149万', '单价15089元/平米')
('https://image1.ljcdn.com/340100-inspection/87a236a6-f32f-47aa-add3-7535bc4f68c5.jpg.296x216.jpg', '南北通透采光无影响 精装修 肥西产证业主诚售', '禹洲天玺  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共39层)暂无数据  -  繁华新园', '165万', '单价15866元/平米')
('https://image1.ljcdn.com/340100-inspection/44c67e3d-4ce2-4369-813b-c4c3a6cf59bb.JPG.296x216.jpg', '房子是商品房产权清晰。房子产证不满2年 带产权车位', '鼎元公馆  | 2室2厅 | 86.46平米 | 南 | 其他', '高楼层(共26层)暂无数据  -  黄小', '135万', '单价15615元/平米')
('https://image1.ljcdn.com/340100-inspection/d8c8bb8a-2b04-427d-8454-8db4aea9824f.JPG.296x216.jpg', '此房满五年免增值税，自住精装修。', '长安萨尔斯堡  | 3室2厅 | 108.84平米 | 南 | 其他', '高楼层(共11层)2011年建板楼  -  桃花工业园', '169万', '单价15528元/平米')
('https://image1.ljcdn.com/340100-inspection/test-468b6114-a1d0-4cbd-a3d0-0ee2f5b3044e.png.296x216.jpg', '为你而选 为你为家  边套户型 房东诚售', '禹洲华侨城三期荷园  | 3室2厅 | 101.22平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  染坊', '185万', '单价18278元/平米')
('https://image1.ljcdn.com/340100-inspection/13714e49-7087-408e-8b0f-80ef34b1d64e.JPG.296x216.jpg', '东冠繁华逸城 2室2厅 140万', '东冠繁华逸城  | 2室2厅 | 89.78平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '140万', '单价15594元/平米')
('https://image1.ljcdn.com/340100-inspection/68cc6ab7-d896-4e4c-a219-82e3d1c0dad9.JPG.296x216.jpg', '开发商精装，未居住过，带产权车位，采光视野好。', '鼎元公馆  | 3室2厅 | 92.71平米 | 南 | 其他', '低楼层(共26层)暂无数据  -  黄小', '148万', '单价15964元/平米')
('https://image1.ljcdn.com/340100-inspection/46d0e288-5116-4d6b-9c74-cce4058880fb.JPG.296x216.jpg', '禹洲华侨城三期荷园 78平米 中装修 中上楼层 采光好', '禹洲华侨城三期荷园  | 2室2厅 | 78.46平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  染坊', '143万', '单价18226元/平米')
('https://image1.ljcdn.com/340100-inspection/test-03bf2711-8539-4a4b-bd41-52728c55417e.png.296x216.jpg', '禹洲首付2.5成 满2年 业主诚心卖 采光无影响 交通方便', '禹洲华侨城三期荷园  | 2室2厅 | 78.4平米 | 南 | 毛坯', '中楼层(共33层)2014年建塔楼  -  染坊', '134万', '单价17092元/平米')
('https://image1.ljcdn.com/340100-inspection/bd408037-fed2-4788-ab4d-dd6195cc7b91.jpg.296x216.jpg', '两房朝南采光好拎包入住业主诚售', '东冠繁华逸城  | 2室1厅 | 89.7平米 | 南 | 其他', '高楼层(共18层)2014年建塔楼  -  黄小', '143万', '单价15943元/平米')
('https://image1.ljcdn.com/340100-inspection/1cb5582f-8cef-48ee-814e-6d23c63e8f43.jpg.296x216.jpg', '品质小区，环境优美，湖景公园景观，户型方正。', '新华御湖庄园  | 4室2厅 | 188.59平米 | 南 | 其他', '中楼层(共14层)板塔结合  -  柏堰', '390万', '单价20680元/平米')
('https://image1.ljcdn.com/340100-inspection/ad5c9acb-5bc5-4c01-9415-c20ced547a60.JPG.296x216.jpg', '长安萨尔斯堡 3室2厅 178万', '长安萨尔斯堡  | 3室2厅 | 107.94平米 | 南 北 | 其他', '中楼层(共6层)2011年建板楼  -  桃花工业园', '178万', '单价16491元/平米')
('https://image1.ljcdn.com/340100-inspection/test-ce32c704-c313-4620-825b-eb2241c1a870.png.296x216.jpg', '新小区 户型方正 小三房 房东诚售', '文一名门御府  | 3室2厅 | 89.11平米 | 南 | 其他', '低楼层(共34层)塔楼  -  黄小', '125万', '单价14028元/平米')
('https://image1.ljcdn.com/340100-inspection/4f7a6e24-bcfb-4cd2-bcf2-50243f714054.JPG.296x216.jpg', '满二年，免增值税，采光无遮挡，拎包入住', '长安一品  | 2室2厅 | 59.8平米 | 南 | 其他', '高楼层(共32层)2013年建板楼  -  桃花工业园', '98万', '单价16388元/平米')
('https://image1.ljcdn.com/340100-inspection/40470115-68a2-4386-a818-620326efaafc.jpg.296x216.jpg', '新华御湖庄园，洋房，大四房，南北通透，环境好。', '新华御湖庄园  | 4室2厅 | 188.4平米 | 南 北 | 其他', '低楼层(共15层)塔楼  -  柏堰', '380万', '单价20170元/平米')
('https://image1.ljcdn.com/340100-inspection/0a0516c3-f99c-4af0-b1ce-be00ecf6778b.JPG.296x216.jpg', '原树提香 2室2厅 145万', '原树提香  | 2室2厅 | 82.83平米 | 南 | 其他', '中楼层(共34层)2017年建塔楼  -  桃花工业园', '145万', '单价17506元/平米')
('https://image1.ljcdn.com/340100-inspection/fd438df0-4865-4ed0-a364-bc03bf4f38c3.JPG.296x216.jpg', '此房精装拎包入住 采光充足 户型好 环境优美南北通透', '禹洲华侨城二期柳园  | 2室2厅 | 82平米 | 南 北 | 精装', '高楼层(共6层)2012年建塔楼  -  染坊', '158万', '单价19269元/平米')
('https://image1.ljcdn.com/340100-inspection/f590521c-f266-4d17-bac0-9c621f2c3c40.jpg.296x216.jpg', '精装20万 带地暖 品质入住大两室', '东冠繁华逸城  | 2室1厅 | 89平米 | 南 | 其他', '中楼层(共18层)2014年建塔楼  -  黄小', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload94e5d645-e1e3-457c-818a-da8fbcdac6a8.jpg.296x216.jpg', '采光充足 视野开阔 交通便利 满2 位置优越', '禹洲华侨城二期柳园  | 3室2厅 | 117.06平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  染坊', '200万', '单价17086元/平米')
('https://image1.ljcdn.com/340100-inspection/317d8655-fd48-477f-928d-3606b5943869.JPG.296x216.jpg', '原树提香 通透两居 精装修 业主诚心出售', '原树提香  | 2室2厅 | 82.82平米 | 南 | 其他', '高楼层(共34层)2017年建板楼  -  桃花工业园', '148万', '单价17871元/平米')
('https://image1.ljcdn.com/340100-inspection/aa1065ab-3b0e-44e7-a99d-856397af23ec.JPG.296x216.jpg', '新上精装两房，看房方便，交通方便', '长安萨尔斯堡  | 2室2厅 | 85.16平米 | 南 | 其他', '低楼层(共18层)2011年建板楼  -  桃花工业园', '144万', '单价16910元/平米')
('https://image1.ljcdn.com/340100-inspection/8d6a2fa2-6f6c-45ab-8cfb-0eb87ce1f93b.JPG.296x216.jpg', '长安一品 2室1厅 105万', '长安一品  | 2室1厅 | 56.58平米 | 南 | 其他', '低楼层(共32层)2013年建板楼  -  桃花工业园', '105万', '单价18558元/平米')
('https://image1.ljcdn.com/340100-inspection/29ce682e-be0e-4507-ad12-7979244c0834.jpg.296x216.jpg', '温馨如家  旭日长安品质两房  房东诚售', '旭日长安  | 2室1厅 | 71.95平米 | 南 | 其他', '中楼层(共16层)2009年建塔楼  -  黄小', '120万', '单价16679元/平米')
('https://image1.ljcdn.com/340100-inspection/9dec3f72-d6a3-4afb-bd48-473df6820ac4.JPG.296x216.jpg', '幸福大街西区 2室1厅 125万', '幸福大街西区  | 2室1厅 | 75.5平米 | 南 北 | 其他', '中楼层(共6层)2011年建板楼  -  桃花工业园', '125万', '单价16557元/平米')
('https://image1.ljcdn.com/340100-inspection/ed116b92-f46d-4642-b887-94f79fd6f5d4.jpg.296x216.jpg', '肥西产权 精装刚需两房 南北通透 采光无遮挡', '长安萨尔斯堡  | 2室2厅 | 93.29平米 | 南 北 | 其他', '高楼层(共11层)2011年建板楼  -  桃花工业园', '150万', '单价16079元/平米')
('https://image1.ljcdn.com/340100-inspection/test-bf11506e-7535-47b9-b734-ae143292ab1c.png.296x216.jpg', '禹洲华侨城二期柳园 2室2厅 135万', '禹洲华侨城二期柳园  | 2室2厅 | 78.23平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  染坊', '135万', '单价17257元/平米')
('https://image1.ljcdn.com/340100-inspection/test-0daf6fa2-a682-4007-898b-de321271bc88.png.296x216.jpg', '禹洲华侨城荷园 热卖户型 价格实惠 品质小区', '禹洲华侨城三期荷园  | 2室2厅 | 93.07平米 | 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  染坊', '148万', '单价15903元/平米')
('https://image1.ljcdn.com/340100-inspection/c2e476c9-ac47-4252-a915-cabec892e269.jpg.296x216.jpg', '已下产证  南北通透简装 前面洋房采光好视野无遮挡', '文一名门绿洲  | 3室2厅 | 86.86平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  繁华新园', '138万', '单价15888元/平米')
('https://image1.ljcdn.com/340100-inspection/c0597ef0-c88f-4cd0-8413-e97a297f8295.JPG.296x216.jpg', '翡翠湖旁 成熟小区 多层通透三房诚售', '学林雅苑  | 3室2厅 | 98.19平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '153万', '单价15583元/平米')
('https://image1.ljcdn.com/340100-inspection/48d25993-9092-454b-8695-55b5d411b30c.jpg.296x216.jpg', '禹洲华侨城枫园精装小两房 采光好 业主诚心出售', '禹洲华侨城三期枫园  | 2室2厅 | 52.95平米 | 南 | 其他', '低楼层(共24层)2016年建塔楼  -  染坊', '96万', '单价18131元/平米')
('https://image1.ljcdn.com/340100-inspection/e4e7ee26-d13a-4829-a8fc-448e1af52754.JPG.296x216.jpg', '翡翠湖通透大三房 户型方正 经典多层住宅 业主诚售', '学林雅苑  | 3室1厅 | 120.07平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  桃花工业园', '190万', '单价15825元/平米')
('https://image1.ljcdn.com/340100-inspection/70377278-28f7-45a3-a4d3-20da3ea8ff37.JPG.296x216.jpg', '小区环境优美配套设施完善 房东诚心', '幸福大街西区  | 1室1厅 | 30.94平米 | 北 | 其他', '中楼层(共23层)2011年建板楼  -  桃花工业园', '42万', '单价13575元/平米')
('https://image1.ljcdn.com/340100-inspection/5713adac-2bfa-4ffb-a387-5fbc38e6f3b6.jpg.296x216.jpg', '此房满两年。居家装修 楼层好采光足，户型方正通风好', '禹洲华侨城一期  | 3室1厅 | 94平米 | 南 北 | 其他', '低楼层(共33层)2010年建板楼  -  染坊', '165万', '单价17554元/平米')
('https://image1.ljcdn.com/340100-inspection/test-b267f720-4205-4882-9c0a-3a51e5963c6d.png.296x216.jpg', '肥西产证南北通透楼层好业主诚售', '文一名门绿洲  | 3室2厅 | 85.46平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  繁华新园', '120万', '单价14042元/平米')
('https://image1.ljcdn.com/340100-inspection/954b0d22-62d8-4be4-8ed9-7ac0385878ac.JPG.296x216.jpg', '肥西产证 两个卧室带大飘窗 采光无遮挡 拎包入住', '禹洲天玺  | 3室2厅 | 99.68平米 | 南 北 | 其他', '低楼层(共41层)2016年建塔楼  -  繁华新园', '143万', '单价14346元/平米')
('https://image1.ljcdn.com/340100-inspection/d4d0c43f-4754-4acc-95d1-71772ced5c6a.jpg.296x216.jpg', '信地华地城 花园洋房 三开间朝南 温馨大四房 环境优美', '信地华地城  | 4室2厅 | 134.97平米 | 南 北 | 其他', '低楼层(共6层)板塔结合  -  繁华新园', '240万', '单价17782元/平米')
('https://image1.ljcdn.com/340100-inspection/59496a3c-fa63-44fe-82b3-dd3a9ff901db.JPG.296x216.jpg', '南北通透，户型方正，采光好，视野好', '幸福大街西区  | 2室2厅 | 83.73平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  桃花工业园', '131万', '单价15646元/平米')
('https://image1.ljcdn.com/340100-inspection/729c27b5-804b-4e4a-8c4e-9b3125b8fc6a.jpg.600x (1).jpg.296x216.jpg', '东冠多层紧凑型小三房 业主诚心出售', '东冠繁华逸城  | 3室2厅 | 88.88平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  黄小', '150万', '单价16877元/平米')
('https://image1.ljcdn.com/340100-inspection/test-ab8622e3-63c8-44fa-89b7-10bbd975232f.png.296x216.jpg', '肥西产证 品牌开发商 精装修样板房 采光充足 拎包入住', '禹洲天玺  | 4室2厅 | 110.07平米 | 南 北 | 精装', '低楼层(共41层)2016年建塔楼  -  繁华新园', '160万', '单价14537元/平米')
('https://image1.ljcdn.com/340100-inspection/6b49ff57-6bcc-474e-82e2-b66c9c5b363e.jpg.296x216.jpg', '肥西产权 小区位置好 满两年 刚需两房 看房方便', '禹洲华侨城三期荷园  | 2室2厅 | 77.46平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '130万', '单价16783元/平米')
('https://image1.ljcdn.com/340100-inspection/45f918ab-216f-42d2-ae8b-ccdd1c54ff62.JPG.296x216.jpg', '翡翠湖畔 多层复式 精装修 带露台', '学林雅苑  | 3室2厅 | 131.72平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '170万', '单价12907元/平米')
('https://image1.ljcdn.com/340100-inspection/9ec1c190-ca12-444d-8203-9320c76f48e7.JPG.296x216.jpg', '文一名门绿洲 花园洋房 顶楼复式 全新毛坯', '文一名门绿洲  | 3室2厅 | 101.4平米 | 南 | 其他', '高楼层(共8层)暂无数据  -  繁华新园', '160万', '单价15780元/平米')
('https://image1.ljcdn.com/340100-inspection/9fa850b8-69ee-4eae-8d29-92168ca50ba0.jpg.296x216.jpg', '禹洲边户三房 满两年 户型方正 赠送多户型好 环境优美', '禹洲华侨城二期柳园  | 3室2厅 | 106.24平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  染坊', '180万', '单价16943元/平米')
('https://image1.ljcdn.com/340100-inspection/641f4d5b-540a-40ac-93b8-c2c011a06fb9.JPG.296x216.jpg', '简装三房 三开间朝南 看房方便', '禹洲天玺  | 3室2厅 | 99.01平米 | 南 | 其他', '低楼层(共34层)板塔结合  -  繁华新园', '150万', '单价15150元/平米')
('https://image1.ljcdn.com/340100-inspection/1a7f8013-b7ea-419e-a08c-2dbbced50ed7.jpg.296x216.jpg', '禹洲华侨城二期，大三房，精装修，楼层好，采光好', '禹洲华侨城二期柳园  | 3室2厅 | 111.2平米 | 南 | 其他', '中楼层(共6层)2012年建塔楼  -  染坊', '210万', '单价18885元/平米')
('https://image1.ljcdn.com/340100-inspection/ede4a24b-a6ae-4ac5-8e98-bf92060f5a1f.JPG.296x216.jpg', '肥西产证  2房可改3房  自住装修', '南空花园小区  | 2室2厅 | 92.14平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  桃花工业园', '127万', '单价13784元/平米')
('https://image1.ljcdn.com/340100-inspection/e70847ef-4d27-4bee-b5c1-e8715faffd2b.JPG.296x216.jpg', '肥西产证 居家装修 满两年通透户型拎包入住', '东冠繁华逸城  | 2室2厅 | 89.01平米 | 南 北 | 其他', '中楼层(共11层)2014年建板楼  -  黄小', '135万', '单价15167元/平米')
('https://image1.ljcdn.com/340100-inspection/2cca3e8b-a35f-4412-80af-891842838085.jpg.296x216.jpg', '房主诚心售出 全明户型 ，南北通透。', '新华阳光国际  | 3室2厅 | 86.15平米 | 南 | 其他', '高楼层(共6层)2011年建板塔结合  -  柏堰', '160万', '单价18573元/平米')
('https://image1.ljcdn.com/340100-inspection/baeeb4c1-3a42-4207-8ed7-e56ab3e44647.JPG.296x216.jpg', '翡翠湖畔  复式  小区成熟  配套设施完善', '学林雅苑  | 4室2厅 | 143平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '198万', '单价13847元/平米')
('https://image1.ljcdn.com/340100-inspection/167dc4bd-a82e-4fa5-a644-f57b14880c5a.jpg.296x216.jpg', '肥西产证业主诚售精装修拎包入住三开间朝南采光无遮挡', '东冠繁华逸城  | 3室2厅 | 117.55平米 | 南 | 其他', '中楼层(共6层)2014年建板楼  -  黄小', '180万', '单价15313元/平米')
('https://image1.ljcdn.com/340100-inspection/e29698f9-7d84-4e71-8a8d-2da1b75314f5.JPG.296x216.jpg', '肥西产证 户型方正三房 采光好 环境好 交通便利', '长安萨尔斯堡  | 3室2厅 | 114.81平米 | 南 | 其他', '中楼层(共18层)2011年建板楼  -  桃花工业园', '170万', '单价14808元/平米')
('https://image1.ljcdn.com/340100-inspection/bbbd8900-14f3-434a-86d0-2a6f1b59f73e.jpg.296x216.jpg', '带车位 花园洋房 肥西产证 精装三居室 满2年 送家私', '文一名门御府  | 3室1厅 | 87.09平米 | 南 北 | 其他', '低楼层(共5层)板楼  -  黄小', '145万', '单价16650元/平米')
('https://image1.ljcdn.com/340100-inspection/439667fd-d4a9-4d44-8c7b-c0108eca4ed2.jpg.296x216.jpg', '满两年，视野开阔采光好。精装修，交通出行便捷', '东冠繁华逸城  | 2室1厅 | 87.65平米 | 南 | 其他', '中楼层(共6层)2014年建板楼  -  黄小', '150万', '单价17114元/平米')
('https://image1.ljcdn.com/340100-inspection/5bcf332c-4441-48f9-abab-e2d220b22703.jpg.296x216.jpg', '东冠多层好房，复式房赠送面积大', '东冠繁华逸城  | 2室2厅 | 88.28平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '160万', '单价18125元/平米')
('https://image1.ljcdn.com/340100-inspection/8189c36c-d258-49af-b54c-b8b05ab26330.JPG.296x216.jpg', '翡翠湖畔 品质小区 精装修三房 诚售', '学林雅苑  | 3室2厅 | 141.7平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  桃花工业园', '200万', '单价14115元/平米')
('https://image1.ljcdn.com/340100-inspection/9347439e-f1c3-4348-a180-5961d15b644a.jpg.296x216.jpg', '精致三房 禹州柳园二期 大厨房 带车位', '禹洲华侨城二期柳园  | 3室2厅 | 112.73平米 | 南 北 | 其他', '低楼层(共6层)2014年建塔楼  -  染坊', '200万', '单价17742元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade9f6bcad-74f5-4b59-95c1-eba9235094f9.jpg.296x216.jpg', '温馨如家 旭日长安品质复式三房 房东诚售', '旭日长安  | 3室2厅 | 111.64平米 | 南 | 其他', '高楼层(共11层)2009年建塔楼  -  黄小', '142万', '单价12720元/平米')
('https://image1.ljcdn.com/340100-inspection/a860fe75-d963-46eb-903f-a96d16de28e4.jpg.296x216.jpg', '禹洲华侨城一期 3室2厅 180万', '禹洲华侨城一期  | 3室2厅 | 117平米 | 南 北 | 其他', '低楼层(共6层)2010年建板楼  -  染坊', '180万', '单价15385元/平米')
('https://image1.ljcdn.com/340100-inspection/test-fd5b8e2b-4c35-496d-b03b-0059c35e8407.png.296x216.jpg', '全实木家具 有产证 户型方正 东边户！', '信地华地城  | 3室2厅 | 98.61平米 | 南 北 | 其他', '中楼层(共33层)板塔结合  -  繁华新园', '163万', '单价16530元/平米')
('https://image1.ljcdn.com/340100-inspection/aacaa766-da09-458d-9dac-6b7abb8438aa.jpg.296x216.jpg', '满两年， 采光好  ，可以拎包入住', '禹洲华侨城二期柳园  | 3室2厅 | 102.08平米 | 南 北 | 其他', '中楼层(共33层)2012年建塔楼  -  染坊', '185万', '单价18124元/平米')
('https://image1.ljcdn.com/340100-inspection/5a4843ad-a5dd-4686-bb8a-aa389daa0706.jpg.296x216.jpg', '东冠繁华逸城 多层复式 精装修 业主诚心售', '东冠繁华逸城  | 5室3厅 | 87.77平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '143万', '单价16293元/平米')
('https://image1.ljcdn.com/340100-inspection/e401bd49-b568-48fa-b2de-579d2e1f05cf.jpg.296x216.jpg', '肥西产证业主诚售南北通透户型好采光棒不靠路位置好', '东冠繁华逸城  | 2室2厅 | 89.99平米 | 南 北 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '145万', '单价16113元/平米')
('https://image1.ljcdn.com/340100-inspection/1a954840-270f-477f-8ca1-251793d35d82.JPG.296x216.jpg', '朝南两房，户型方正，楼层很好，采光亮眼', '多伦多花园  | 2室2厅 | 85.6平米 | 南 | 其他', '中楼层(共17层)2015年建板楼  -  桃花工业园', '145万', '单价16940元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/c4885f41-9dab-4d93-9cce-19925a33e6eb.png.280x210.jpg', '禹洲华侨城二期柳园 4室2厅 210万', '禹洲华侨城二期柳园  | 4室2厅 | 116.65平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  染坊', '210万', '单价18003元/平米')
('https://image1.ljcdn.com/340100-inspection/test-1d0d758d-c7cf-4f72-a8c4-637e4033eb3c.png.296x216.jpg', '楼层好+采光无遮挡+位置好+带车位', '信地华地城  | 3室2厅 | 98.67平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  繁华新园', '150万', '单价15203元/平米')
('https://image1.ljcdn.com/340100-inspection/83a0ed2f-0e44-48f9-8074-b2c94750a185.JPG.296x216.jpg', '十几万精装全送 满两年税费少，朝南户型', '长安一品  | 2室2厅 | 57.09平米 | 南 | 其他', '中楼层(共32层)2013年建板楼  -  桃花工业园', '95万', '单价16641元/平米')
('https://image1.ljcdn.com/340100-inspection/aa14c680-af7f-47ec-a6df-c70e254681e3.JPG.296x216.jpg', '翡翠湖畔 南北通透 小区成熟 周边配套好', '学林雅苑  | 3室2厅 | 110.09平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '160万', '单价14534元/平米')
('https://image1.ljcdn.com/340100-inspection/efae87c8-df16-4124-bf77-51976e45cc41.JPG.296x216.jpg', '翡翠湖畔大四房，小高层带电梯，南北通透', '学林雅苑  | 4室2厅 | 177.37平米 | 南 北 | 其他', '中楼层(共18层)2006年建塔楼  -  桃花工业园', '220万', '单价12404元/平米')
('https://image1.ljcdn.com/340100-inspection/d4621220-b435-4960-bdef-80431b486b46.jpg.296x216.jpg', '此房楼栋位置好 采光充足 业主诚心出售', '禹洲华侨城三期荷园  | 3室2厅 | 106.5平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '180万', '单价16902元/平米')
('', '满五年税费少，精装修拎包入住，户型方正', '东冠繁华逸城  | 2室2厅 | 86平米 | 南 | 其他', '低楼层(共11层)2014年建板楼  -  黄小', '150万', '单价17442元/平米')
('https://image1.ljcdn.com/340100-inspection/e0a31441-dcc8-435c-8cc1-66258e86e79c.jpg.296x216.jpg', '幸福大街 便宜优惠 独居必备 翡翠湖', '幸福大街西区  | 1室1厅 | 30.94平米 | 西北 | 其他', '低楼层(共23层)2011年建板楼  -  桃花工业园', '45万', '单价14545元/平米')
('https://image1.ljcdn.com/340100-inspection/58fcbc74-8695-4a05-ba99-872b288b36a9.JPG.296x216.jpg', '精装修，满2年，温馨三房，不靠火车道', '禹洲华侨城二期柳园  | 3室3厅 | 105.56平米 | 南 | 其他', '高楼层(共6层)2012年建塔楼  -  染坊', '220万', '单价20842元/平米')
('https://image1.ljcdn.com/340100-inspection/95ec86e0-14fe-4f13-b3bc-038367647c25.jpg.296x216.jpg', '禹洲三期荷园大两房，双阳台，精装修', '禹洲华侨城三期荷园  | 2室1厅 | 88.97平米 | 南 | 其他', '低楼层(共33层)2014年建塔楼  -  染坊', '165万', '单价18546元/平米')
('https://image1.ljcdn.com/340100-inspection/e0d09421-39f8-4a68-9ae3-97e70355982d.JPG.296x216.jpg', '南北通透大四房 采光好 楼层佳 精装 肥西产权', '长安萨尔斯堡  | 4室2厅 | 113.99平米 | 南 北 | 其他', '低楼层(共18层)2011年建板楼  -  桃花工业园', '176万', '单价15440元/平米')
('https://image1.ljcdn.com/340100-inspection/556ed581-48d9-4fc2-aa76-b52de6955b8b.JPG.296x216.jpg', '肥西产权，改动户型，居家精装修，业主诚售，拎包即住', '禹洲华侨城三期荷园  | 2室2厅 | 72.31平米 | 南 | 其他', '高楼层(共28层)2014年建塔楼  -  染坊', '131万', '单价18117元/平米')
('https://image1.ljcdn.com/340100-inspection/5a7279da-633d-4925-9e2c-fb0694ae2da9.JPG.296x216.jpg', '刚需主力户型  户型通透，精装修，户型方正，出行方便', '原树提香  | 2室1厅 | 59.57平米 | 南 | 其他', '低楼层(共34层)2017年建塔楼  -  桃花工业园', '113万', '单价18970元/平米')
('https://image1.ljcdn.com/340100-inspection/fba19dc8-72e6-4019-9b93-181aec5333a3.jpg.296x216.jpg', '禹洲华侨城三期枫园 4室2厅 226万', '禹洲华侨城三期枫园  | 4室2厅 | 126平米 | 东南 | 其他', '低楼层(共18层)2016年建塔楼  -  染坊', '226万', '单价17937元/平米')
('https://image1.ljcdn.com/340100-inspection/test-991e06b0-ae46-4314-86ce-baea0225e0f2.png.296x216.jpg', '肥西产证，南北通透，采光不挡，视野好', '信地华地城  | 3室2厅 | 98.69平米 | 南 北 | 其他', '低楼层(共32层)2016年建塔楼  -  繁华新园', '155万', '单价15706元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbd32cb3e-1c41-4e8f-8d17-07d8b8434a74.jpg.296x216.jpg', '南北通透户型，阳光好，精装修适宜刚需户', '长安萨尔斯堡  | 2室2厅 | 91.97平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  桃花工业园', '158万', '单价17180元/平米')
('https://image1.ljcdn.com/340100-inspection/fd10bdcb-13ac-4812-a250-ecab22be67ea.jpg.296x216.jpg', '肥西产证顶楼复式多层业主诚售拎包入住', '东冠繁华逸城  | 3室2厅 | 112.79平米 | 南 | 其他', '高楼层(共11层)2014年建板楼  -  黄小', '170万', '单价15073元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadb564b612-675a-4046-b1a5-668733433cba.jpg.296x216.jpg', '太平洋森活广场精装三房 业主诚心出售', '太平洋森活广场  | 3室1厅 | 116.4平米 | 南 | 其他', '低楼层(共34层)塔楼  -  染坊', '145万', '单价12458元/平米')
